response_time,norm_time
0.318,397.606
0.513,397.932
0.137,398.218
0.279,398.394
0.478,398.762
0.396,399.055
0.211,399.347
0.192,399.592
0.226,399.842
0.434,400.159
0.474,400.489
0.14,400.762
0.648,401.084
0.462,401.394
0.233,401.702
0.314,401.913
0.501,402.272
0.248,402.532
0.306,402.753
0.388,402.957
0.403,403.161
0.677,403.34
0.367,403.501
0.2,403.641
0.695,404.057
0.229,404.278
0.545,404.551
0.301,404.754
0.494,404.957
0.323,405.225
0.487,405.411
0.42,405.697
0.478,405.932
0.381,406.177
0.417,406.418
0.447,406.704
0.394,406.903
0.472,407.208
0.321,407.426
0.286,407.588
0.556,407.967
0.819,408.284
0.363,408.644
0.155,408.982
0.338,409.337
0.262,409.527
0.154,409.896
0.558,410.072
0.177,410.455
0.319,410.736
0.106,411.047
0.35,411.237
0.405,411.623
0.436,411.93
0.31,412.206
0.238,412.566
0.256,412.807
0.396,413.233
0.356,413.668
0.687,413.953
0.387,414.203
0.357,414.521
0.406,414.825
0.434,415.228
0.169,415.362
0.218,415.537
0.443,415.808
0.284,415.966
0.116,416.478
0.37,416.883
0.323,417.155
0.106,417.454
0.242,417.644
0.225,417.866
0.196,418.253
0.447,418.602
0.452,418.857
0.13,419.139
0.498,419.357
0.365,419.727
0.397,420.103
0.499,420.274
0.232,420.517
0.343,420.804
0.138,421.065
0.553,421.343
0.248,421.713
0.148,421.973
0.347,422.386
0.233,422.691
0.401,423.022
0.331,423.212
0.36,423.585
0.133,423.929
0.228,424.1
0.231,424.351
0.569,424.713
0.472,425.1
0.343,425.368
0.437,425.607
0.12,425.991
0.404,426.314
0.241,426.578
0.183,426.945
0.366,427.212
0.496,427.479
0.535,427.743
0.123,427.975
0.146,428.218
0.261,428.502
0.43,428.748
0.464,429.021
0.182,429.328
0.54,429.612
0.42,429.947
0.127,430.138
0.492,430.474
0.224,430.727
0.494,431.12
0.308,431.375
0.422,431.726
0.246,432.072
0.138,432.441
0.178,432.741
0.453,432.986
0.253,433.29
0.277,433.601
0.467,433.929
0.226,434.218
0.201,434.494
0.16,434.835
0.169,435.131
0.402,435.438
0.392,435.73
0.239,435.874
0.514,436.157
0.461,436.494
0.252,436.728
0.147,436.958
0.356,437.242
0.201,437.435
0.474,437.823
0.239,438.242
0.267,438.583
0.36,438.886
0.281,439.292
0.571,439.52
0.449,439.784
0.504,440.058
0.199,440.458
0.479,440.659
0.324,440.918
0.286,441.173
0.158,441.46
0.417,441.759
0.529,442.168
0.411,442.465
0.416,442.831
0.57,443.083
0.114,443.217
0.367,443.539
0.504,443.822
0.476,444.039
0.456,444.364
0.389,444.634
0.315,444.788
0.195,445.217
0.272,445.609
0.211,445.833
0.502,446.077
0.541,446.32
0.151,446.687
0.212,446.991
0.473,447.318
0.472,447.617
0.14,447.848
0.236,448.177
0.306,448.502
0.216,448.718
0.328,449.081
0.229,449.331
0.266,449.499
0.441,449.864
0.237,450.137
0.41,450.392
0.419,450.649
0.391,451.165
0.531,451.406
0.388,451.738
0.515,452.052
0.125,452.334
0.244,452.607
0.441,452.952
0.285,453.178
0.236,453.578
0.53,453.92
0.528,454.225
0.5,454.48
0.367,454.705
0.366,455.046
0.472,455.353
0.323,455.597
0.291,455.82
0.19,456.142
0.198,456.379
0.285,456.577
0.242,456.818
0.301,457.217
0.218,457.524
0.294,457.814
0.361,458.241
0.453,458.447
0.434,458.837
0.235,459.175
