cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
225,289,20.16,10,0,0,25,425
229,310,20.97,10,0,0,19,426
270,266,18.06,10,0,0,24,427
358,230,15.98,12,0,0,23,428
295,251,21.04,11,0,0,16,429
253,314,14.61,10,1,1,26,430
297,247,17.17,11,0,0,26,431
269,269,17.26,10,0,0,24,432
316,279,16.57,11,0,0,23,433
280,302,18.51,10,0,0,24,434
256,280,16.1,10,0,1,22,435
322,283,19.3,10,0,1,25,436
377,282,10.86,10,0,0,25,437
268,266,20.99,11,0,1,24,438
333,273,18.98,11,0,1,21,439
246,266,21.81,10,0,0,26,440
268,279,18.84,10,1,0,26,441
324,288,20.97,10,1,1,22,442
297,269,17.35,10,1,0,28,443
276,286,18.27,10,1,0,23,444
299,258,18.04,10,0,0,29,445
329,262,17.08,10,0,0,28,446
296,308,19.04,10,0,1,21,447
303,260,15.5,11,1,1,35,448
197,262,15.26,11,1,1,27,449
275,279,15.72,10,0,1,23,450
155,279,15.93,8,0,0,26,451
332,273,18.55,8,0,0,29,452
264,241,17.23,8,0,1,25,453
313,268,16.1,8,0,0,28,454
416,235,16.09,8,1,0,29,455
415,262,17.0,8,0,1,29,456
404,278,20.37,8,0,1,27,457
409,255,17.63,8,0,1,27,458
406,250,18.67,8,1,1,27,459
414,280,15.7,8,2,1,29,460
410,241,15.19,8,1,1,27,461
411,262,14.63,8,2,0,27,462
412,271,16.46,8,0,0,29,463
418,296,21.46,8,1,0,28,464
408,284,18.06,8,0,0,28,465
417,243,16.79,8,0,0,29,466
414,296,17.36,8,0,0,27,467
409,291,16.36,8,0,2,28,468
415,249,16.39,8,0,0,29,469
415,282,18.07,8,1,0,28,470
420,277,19.45,8,0,1,29,471
409,315,15.53,8,0,2,29,472
413,244,18.14,8,1,1,29,473
410,254,18.38,8,1,1,29,474
408,327,17.41,8,1,0,25,475
345,263,18.85,8,0,0,27,476
417,248,15.74,8,1,0,28,477
417,270,17.19,8,1,0,29,478
410,268,18.21,8,1,0,25,479
418,234,20.5,8,1,0,24,480
418,308,18.33,8,0,0,24,481
411,280,18.09,8,1,2,25,482
410,244,15.63,8,1,1,25,483
419,233,19.36,8,1,1,25,484
233,263,15.03,8,1,0,25,485
250,243,16.57,8,1,1,24,486
273,307,18.7,8,1,0,25,487
197,259,19.2,8,0,0,25,488
276,266,17.88,8,1,0,25,489
277,290,20.32,8,1,0,24,490
259,256,15.18,8,1,1,25,491
287,263,20.09,8,0,0,25,492
227,243,18.91,8,1,0,25,493
246,226,18.0,8,1,1,25,494
246,197,19.57,8,0,0,25,495
253,238,16.56,8,1,0,25,496
226,266,18.45,8,1,1,25,497
255,270,19.65,8,1,1,24,498
248,274,17.6,8,1,0,25,499
286,245,16.61,8,1,1,25,500
243,220,14.89,8,1,0,24,501
275,254,21.12,4,1,1,25,502
269,249,20.93,9,1,0,25,503
336,292,19.23,10,1,1,25,504
162,276,19.07,9,1,1,25,505
307,276,19.92,10,1,1,23,506
273,264,19.7,10,1,0,21,507
300,282,18.18,10,1,0,21,508
281,284,13.51,10,1,1,22,509
316,290,15.54,10,1,0,21,510
283,286,17.16,10,1,0,21,511
294,267,15.98,10,0,0,23,512
301,263,20.36,9,1,2,21,513
279,286,18.28,9,1,1,21,514
372,270,19.49,9,1,1,15,515
366,266,18.1,9,1,0,22,516
346,296,20.31,9,0,1,22,517
333,279,21.55,9,1,0,19,518
302,298,18.5,10,1,1,23,519
333,298,14.76,9,0,0,20,520
331,277,23.08,9,1,1,23,521
324,272,21.59,10,0,0,23,522
372,286,20.35,10,1,1,22,523
318,287,20.11,9,1,2,22,524
373,282,19.35,10,1,1,21,525
353,282,20.15,10,1,1,22,526
355,281,16.75,9,1,0,21,527
339,282,23.68,9,1,0,21,528
370,282,21.35,10,0,2,22,529
360,281,17.59,9,1,0,19,530
364,282,21.28,10,1,1,22,531
357,282,19.78,9,1,1,22,532
331,282,21.7,9,1,2,22,533
350,282,19.24,9,0,0,25,534
350,281,17.38,9,1,1,25,535
354,282,16.61,9,1,1,20,536
339,281,18.02,10,1,0,21,537
322,282,19.67,10,1,0,20,538
335,282,16.25,9,1,1,22,539
349,282,19.04,9,1,0,22,540
304,282,21.1,9,1,1,21,541
383,282,18.73,10,1,0,21,542
403,272,17.21,9,1,0,21,543
386,282,19.11,9,1,1,26,544
336,256,16.16,9,1,1,22,545
388,265,18.48,9,0,0,22,546
357,276,17.25,9,1,2,21,547
316,270,13.76,9,1,0,22,548
356,258,16.4,9,1,0,23,549
319,287,19.15,10,1,0,21,550
389,286,16.75,9,0,0,19,551
359,271,12.96,9,0,1,23,552
409,272,20.16,9,1,1,22,553
324,249,16.39,7,0,0,23,554
402,263,15.66,8,0,0,22,555
347,271,18.6,8,0,2,21,556
341,253,16.56,9,0,0,23,557
319,275,19.89,9,1,0,20,558
413,276,17.42,8,0,1,19,559
349,263,17.57,9,1,0,23,560
415,269,19.58,9,0,1,23,561
284,280,13.75,9,0,1,24,562
349,263,14.01,9,1,0,22,563
370,301,18.1,8,0,1,24,564
389,268,17.61,8,0,0,23,565
329,303,16.4,8,1,1,22,566
378,273,19.16,8,0,1,20,567
353,312,16.42,8,0,0,22,568
343,274,18.06,8,0,0,22,569
298,258,22.62,9,0,0,23,570
342,268,16.84,8,0,0,23,571
314,240,17.44,8,1,0,22,572
323,272,19.77,9,1,1,22,573
351,282,16.18,9,0,0,23,574
440,262,14.17,8,0,0,21,575
373,222,19.73,8,1,1,22,576
461,271,14.56,10,1,1,22,577
662,283,20.84,8,0,1,20,578
458,330,15.8,8,0,0,20,579
414,256,17.31,8,0,1,23,580
326,264,15.91,10,1,0,21,581
300,254,15.48,10,1,0,20,582
427,261,14.72,13,1,0,23,583
431,241,16.6,10,0,2,19,584
442,146,16.39,10,0,1,23,585
445,299,14.98,10,0,1,23,586
450,308,16.23,9,1,0,28,587
407,307,17.02,10,0,0,28,588
384,307,17.83,10,1,1,28,589
342,291,16.32,9,0,0,28,590
351,307,19.03,10,0,1,28,591
374,305,15.73,10,0,0,27,592
421,314,14.07,10,0,0,25,593
318,323,14.65,10,0,0,28,594
382,304,16.32,10,0,0,28,595
423,323,17.26,10,0,1,27,596
399,289,16.73,10,0,1,29,597
336,285,15.43,10,0,2,27,598
422,292,16.4,9,0,0,27,599
411,309,14.69,7,0,1,28,600
395,314,12.53,10,0,1,28,601
360,299,22.2,10,1,0,25,602
285,305,17.46,9,1,0,29,603
398,287,20.01,10,1,0,26,604
292,235,15.59,10,0,0,29,605
322,252,14.56,9,1,0,29,606
342,254,18.71,10,0,0,28,607
310,235,15.84,10,0,1,26,608
299,238,16.71,10,0,0,26,609
355,221,20.02,9,0,1,28,610
296,276,17.74,10,1,1,27,611
323,237,18.44,10,1,0,27,612
332,233,17.38,9,1,0,29,613
311,248,16.6,10,1,1,22,614
296,257,15.3,10,0,0,21,615
320,247,18.03,9,0,2,20,616
335,218,16.41,10,0,1,21,617
323,252,15.31,9,1,0,20,618
323,225,15.33,10,1,1,21,619
318,270,19.17,9,0,0,21,620
302,319,16.5,10,1,1,21,621
298,253,18.75,9,0,0,21,622
342,235,20.57,10,1,1,21,623
321,230,18.98,9,1,0,21,624
336,323,17.68,9,0,1,20,625
296,294,21.43,11,1,1,21,626
295,327,22.61,10,1,0,21,627
293,243,19.53,10,0,1,20,628
332,313,19.18,10,1,0,21,629
319,315,20.81,10,1,1,21,630
372,318,15.49,10,1,0,23,631
288,306,21.19,10,0,0,22,632
328,324,19.73,9,1,0,21,633
271,327,16.71,9,1,1,21,634
382,325,21.45,9,1,0,23,635
360,321,19.48,9,1,1,22,636
350,306,20.99,9,0,0,22,637
358,325,20.54,9,1,1,22,638
397,328,19.55,9,1,1,21,639
367,326,15.94,9,1,0,21,640
370,317,19.61,9,1,0,23,641
377,319,20.39,9,1,0,23,642
435,324,20.6,9,0,0,20,643
380,320,20.1,9,1,1,26,644
385,329,19.08,9,1,0,27,645
368,297,20.89,9,1,0,21,646
359,279,17.09,8,0,0,21,647
341,284,18.89,8,0,1,28,648
373,268,19.41,9,0,0,23,649
381,258,21.3,9,1,1,20,650
375,193,24.35,9,0,0,22,651
348,273,18.83,9,0,3,20,652
377,260,20.27,8,0,0,21,653
359,269,17.49,9,0,0,23,654
354,294,16.24,9,0,1,24,655
365,317,21.89,9,1,1,21,656
342,258,19.97,9,0,1,22,657
386,252,18.63,8,0,0,19,658
384,250,13.01,10,1,0,21,659
382,290,19.48,10,0,1,18,660
365,261,19.77,10,1,1,22,661
380,303,17.64,10,0,0,21,662
381,291,20.8,10,1,0,30,663
366,287,18.26,10,1,2,21,664
318,240,19.48,10,0,2,20,665
281,228,20.21,10,0,0,22,666
352,232,18.06,10,0,0,20,667
306,225,17.26,10,0,0,22,668
339,233,19.43,10,0,1,25,669
309,241,15.66,10,1,1,25,670
321,221,17.72,10,1,1,25,671
325,238,18.29,10,0,0,25,672
271,244,18.37,10,1,1,25,673
309,231,18.14,10,0,1,26,674
318,240,17.59,10,0,0,25,675
290,241,19.43,10,0,1,25,676
287,237,18.32,10,0,2,26,677
343,237,18.41,10,0,1,24,678
299,224,19.13,10,0,0,23,679
323,230,17.74,10,0,1,25,680
334,236,17.11,10,0,0,22,681
380,139,16.87,10,0,0,25,682
313,229,17.29,10,0,0,28,683
302,230,18.24,10,1,0,25,684
318,242,16.78,7,1,0,25,685
314,246,18.86,8,0,1,27,686
269,256,17.5,8,0,0,22,687
332,239,17.9,7,0,0,26,688
334,244,17.25,8,1,0,23,689
340,278,18.41,7,1,1,26,690
300,252,20.06,7,1,0,26,691
313,276,19.76,8,0,1,26,692
298,274,19.39,7,1,1,22,693
298,244,20.8,8,0,1,24,694
308,248,18.78,8,1,0,23,695
278,268,12.64,7,1,0,25,696
305,246,18.67,8,0,1,25,697
308,255,18.51,7,1,1,25,698
282,290,17.41,8,1,1,21,699
302,266,17.44,8,0,1,20,700
284,246,17.9,8,0,1,23,701
500,260,17.51,8,0,0,23,702
304,231,21.81,5,1,0,27,703
300,268,22.41,8,1,1,22,704
278,254,18.9,7,0,0,19,705
311,289,20.01,4,1,1,25,706
286,265,17.05,8,0,0,24,707
285,270,18.78,7,0,0,23,708
249,242,19.68,8,0,1,24,709
304,232,18.75,8,0,0,21,710
297,291,20.17,9,0,0,28,711
301,299,19.63,8,0,1,24,712
286,264,17.5,9,0,0,21,713
306,248,18.83,9,0,1,24,714
278,278,19.85,8,0,0,27,715
293,271,18.42,8,0,0,25,716
303,290,19.36,8,1,0,24,717
292,285,17.38,8,1,1,25,718
286,261,17.32,8,1,0,25,719
300,273,20.18,8,1,1,24,720
306,278,21.28,9,0,0,26,721
277,251,18.73,9,0,0,27,722
270,272,13.17,8,1,0,24,723
328,208,20.41,9,0,0,25,724
321,271,20.32,8,0,0,26,725
312,279,16.33,8,0,0,24,726
370,285,19.06,8,0,0,25,727
340,283,15.85,9,1,0,24,728
219,271,14.78,8,0,1,24,729
324,277,19.12,9,0,3,25,730
379,341,18.69,8,1,0,27,731
469,262,16.96,8,1,1,26,732
301,267,17.25,9,1,0,24,733
347,281,16.41,9,1,0,24,734
350,278,16.67,8,0,0,24,735
316,278,15.91,8,1,1,23,736
265,263,15.07,9,1,2,26,737
376,276,16.15,10,1,1,27,738
308,275,16.23,10,1,2,24,739
310,277,16.36,10,1,0,25,740
338,273,17.62,10,1,0,24,741
366,271,16.56,10,1,1,27,742
441,266,16.94,10,1,0,25,743
329,278,17.28,10,1,1,24,744
306,279,16.57,10,1,1,22,745
277,279,16.82,10,1,0,25,746
416,313,18.24,10,1,1,24,747
316,332,15.6,10,1,1,23,748
274,293,16.04,10,1,0,21,749
200,321,18.53,10,1,1,22,750
266,282,15.27,10,0,1,23,751
324,353,17.39,10,1,0,22,752
304,330,19.21,10,0,2,24,753
334,374,18.1,6,1,0,22,754
392,278,21.35,10,1,1,24,755
367,314,17.44,10,0,0,21,756
413,339,20.38,10,1,1,23,757
369,298,19.89,10,0,1,23,758
397,311,20.98,10,0,1,22,759
353,326,14.21,10,1,0,27,760
342,311,19.19,10,1,1,23,761
361,313,15.65,10,1,1,25,762
383,321,19.43,9,0,0,22,763
365,339,14.65,9,1,0,24,764
350,262,15.84,9,1,1,22,765
339,301,14.19,9,0,1,24,766
384,292,17.96,9,1,1,31,767
400,270,16.26,9,1,1,24,768
362,270,20.51,8,1,0,23,769
355,277,17.09,9,1,0,24,770
367,240,19.39,9,1,1,20,771
376,237,16.26,9,1,1,22,772
365,268,15.99,9,1,2,25,773
345,275,14.86,9,1,0,26,774
382,248,17.39,9,1,0,21,775
357,270,16.89,9,1,0,22,776
361,246,22.36,8,1,0,19,777
377,280,18.18,9,1,1,21,778
386,293,24.41,9,1,0,21,779
382,221,21.16,9,2,0,21,780
361,272,21.56,9,1,0,17,781
382,260,16.88,9,1,0,21,782
340,255,27.89,9,1,0,21,783
299,264,15.08,9,0,1,21,784
368,244,28.69,9,0,0,21,785
391,243,20.12,9,0,0,21,786
352,269,19.98,9,1,1,12,787
