core1,core2,core3,core4,mem,gpu,norm_ex_time
39.87,1.39,2.32,1.39,266.65,3.35,403
39.74,1.08,2.32,1.48,266.95,3.29,404
39.73,1.49,2.4,1.25,266.53,3.33,405
39.59,1.51,2.0,1.64,266.85,3.39,406
39.7,1.65,2.46,1.37,266.68,3.2,407
39.63,1.48,2.3,1.54,266.67,3.3,408
39.77,1.34,2.27,1.51,258.26,3.42,409
39.68,1.49,2.24,1.42,266.32,3.42,410
40.27,1.12,2.27,1.48,266.42,3.26,411
39.97,1.32,2.13,1.39,266.86,3.58,412
39.95,1.16,2.12,1.35,266.54,3.43,413
39.6,1.46,2.29,1.32,257.99,2.9,414
40.13,1.36,2.13,1.38,264.19,3.31,415
40.07,1.49,2.11,1.63,266.5,3.3,416
39.95,1.79,2.36,1.14,266.48,3.25,417
39.77,1.24,2.35,1.32,266.56,3.5,418
39.87,1.54,2.2,1.31,266.45,3.56,419
39.84,1.23,2.31,1.46,266.84,3.31,420
39.83,1.35,2.24,1.45,266.76,3.42,421
39.65,1.58,2.21,1.18,266.48,3.69,422
40.07,1.42,2.36,1.38,266.67,3.45,423
39.78,1.13,2.42,1.32,266.82,3.93,424
40.03,1.25,1.94,1.61,266.65,3.93,425
34.48,1.59,2.46,1.22,266.81,3.29,426
33.87,1.77,2.73,1.43,271.51,3.27,427
34.63,1.65,2.64,1.42,266.49,3.64,428
33.75,0.96,2.68,1.28,266.53,3.29,429
32.6,1.67,2.46,1.34,266.47,3.57,430
32.71,1.17,2.26,1.27,290.92,3.13,431
34.06,1.57,2.75,1.25,291.65,3.35,432
32.8,1.89,2.65,1.18,297.23,3.27,433
33.6,1.33,2.52,1.2,291.11,4.12,434
33.45,1.4,2.84,1.26,291.12,3.55,435
33.47,1.41,2.5,1.32,295.55,4.21,436
34.31,1.33,2.43,1.09,281.32,4.05,437
32.95,1.63,2.57,1.08,293.88,3.58,438
34.99,1.47,2.74,1.17,288.06,3.35,439
34.8,1.56,2.76,0.99,286.07,3.77,440
33.75,1.39,2.42,1.26,293.46,3.58,441
33.1,1.93,2.32,1.19,290.69,3.94,442
33.2,1.36,2.21,1.5,288.86,3.53,443
35.41,1.43,2.39,1.28,301.05,3.51,444
33.53,0.5,2.84,1.37,291.53,3.75,445
34.14,1.51,2.66,1.4,296.35,3.61,446
32.97,1.4,2.64,1.18,298.22,3.79,447
33.3,1.39,2.66,1.16,298.97,4.0,448
45.5,1.43,3.07,1.31,297.78,3.42,449
36.92,1.61,2.39,1.09,294.02,3.84,450
37.14,1.14,2.49,1.12,292.18,4.07,451
41.71,1.48,2.48,1.43,308.66,3.97,452
46.34,1.26,2.3,1.8,292.96,3.53,453
38.52,1.77,2.72,1.34,285.13,3.02,454
41.35,1.18,2.08,1.36,288.31,4.34,455
45.16,1.6,2.4,1.33,298.83,3.65,456
40.01,1.74,2.53,1.34,292.74,3.68,457
30.8,1.82,2.09,1.21,295.51,3.58,458
39.98,1.67,2.36,1.35,284.02,4.02,459
40.57,1.58,2.41,1.28,281.42,4.01,460
35.91,1.9,2.59,1.32,286.51,3.74,461
45.93,1.63,2.41,1.37,283.94,4.07,462
48.28,1.69,2.07,1.08,285.63,3.41,463
44.05,1.88,2.45,1.41,287.61,2.92,464
40.79,1.65,2.56,1.13,287.5,5.45,465
36.4,1.49,2.16,1.26,287.42,3.84,466
34.59,1.79,2.4,1.33,282.36,3.67,467
40.45,1.97,2.58,1.27,286.25,3.73,468
34.4,1.75,2.42,1.11,288.51,3.65,469
