core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
38.68,3.45,2.3,1.32,2.12,1.08,2.38,2.6,262.11,3.53,381
37.44,3.58,2.0,1.1,1.76,1.54,2.5,2.45,266.03,3.08,382
33.79,3.53,2.03,1.44,1.81,1.41,2.51,3.02,264.5,3.55,383
36.57,3.42,2.13,1.6,1.59,2.24,2.97,2.84,258.72,3.37,384
39.47,3.49,1.96,1.21,1.51,1.47,2.7,3.15,267.84,3.42,385
32.59,3.24,2.42,1.43,1.76,1.37,2.43,3.22,264.84,3.22,386
36.13,3.61,2.35,1.69,1.87,1.36,2.7,3.09,265.09,3.52,387
35.26,3.72,2.42,1.46,1.82,1.11,2.52,2.39,263.29,3.8,388
40.58,3.11,2.01,1.33,1.81,1.16,2.4,2.58,265.3,3.38,389
30.44,3.17,2.0,0.01,1.82,1.6,2.23,3.2,262.82,3.78,390
31.14,3.52,2.11,1.62,1.64,1.36,2.56,3.37,259.94,3.63,391
34.64,3.47,1.87,1.4,1.5,1.18,2.29,2.57,259.9,3.3,392
28.1,3.12,2.41,1.26,1.6,1.13,2.51,2.64,266.59,3.28,393
33.76,3.65,2.25,1.4,1.6,1.28,2.69,2.54,265.52,3.54,394
30.05,3.45,2.05,1.89,1.63,1.48,2.5,2.94,259.31,3.79,395
32.22,3.54,2.1,1.27,1.41,1.12,2.52,3.36,264.11,3.9,396
40.29,3.58,2.46,1.51,1.62,1.95,2.38,3.02,264.84,3.45,397
38.92,3.89,1.98,1.72,1.49,1.38,2.5,3.01,260.93,3.42,398
36.49,3.39,1.87,1.33,1.69,0.82,2.48,2.71,264.88,3.49,399
31.98,3.4,2.34,1.3,1.59,1.37,2.36,3.07,262.03,3.3,400
40.84,3.52,2.06,1.13,1.35,1.36,2.4,2.64,262.76,3.63,401
35.67,3.3,2.14,1.33,1.69,1.62,2.41,2.7,266.42,3.77,402
41.91,5.01,2.34,1.69,1.75,1.47,2.23,2.94,260.49,3.34,403
35.59,3.17,2.24,1.64,1.62,1.13,2.57,2.92,261.09,3.64,404
37.37,3.35,2.27,1.49,2.14,1.27,2.31,2.82,262.0,3.47,405
34.55,3.46,2.4,1.02,2.27,1.26,2.8,2.63,267.88,3.22,406
37.89,3.26,2.06,1.06,1.94,1.33,2.48,2.7,259.67,3.15,407
37.09,3.45,2.0,1.23,2.06,1.34,2.19,2.79,261.07,3.24,408
39.98,3.69,2.26,1.28,2.26,1.4,2.66,1.91,262.8,3.3,409
37.8,3.51,2.05,1.45,2.06,1.42,2.4,3.07,263.77,3.4,410
37.4,3.39,2.33,1.4,2.35,1.18,2.53,2.89,200.3,3.52,411
33.94,3.12,2.05,1.26,2.13,1.51,3.19,2.74,264.82,3.56,412
42.52,3.12,1.89,1.36,2.22,1.53,2.97,2.79,262.75,3.35,413
36.9,3.34,1.79,1.0,1.89,1.17,1.94,2.49,264.49,3.32,414
40.51,3.34,1.84,1.21,1.96,1.37,2.65,2.48,276.5,3.28,415
31.65,3.4,1.95,1.47,2.34,1.09,2.44,3.05,215.15,3.62,416
36.74,3.54,1.98,1.39,1.95,1.2,2.29,2.74,259.77,3.52,417
36.86,3.38,1.8,1.11,2.31,1.51,2.54,2.75,305.13,3.33,418
34.69,3.15,1.97,1.2,1.91,1.11,2.78,1.96,289.84,3.69,419
35.56,3.36,1.67,1.16,1.94,1.16,2.18,2.57,285.01,3.94,420
38.21,3.08,1.73,1.49,1.79,1.28,3.35,2.99,308.33,3.85,421
39.2,3.19,2.26,1.73,2.2,1.25,3.15,2.88,276.39,3.69,422
35.08,2.87,1.84,1.29,2.19,1.35,2.73,2.17,237.39,3.54,423
36.53,3.37,2.15,1.44,1.9,1.02,2.57,2.52,294.2,3.89,424
36.22,3.46,2.48,1.17,1.82,1.41,2.34,2.34,268.19,3.52,425
38.37,3.22,1.97,1.25,1.71,1.22,2.62,2.23,225.96,3.48,426
39.2,2.86,1.89,1.48,1.92,1.22,2.9,2.34,295.91,3.66,427
37.63,2.98,1.97,1.19,2.04,0.96,2.82,2.02,320.76,3.82,428
38.79,3.38,2.04,1.25,2.04,0.92,3.39,2.1,323.45,3.69,429
35.0,3.28,2.07,1.55,2.15,1.55,2.47,2.09,241.91,3.51,430
39.79,3.11,1.86,1.57,2.53,1.26,2.94,2.36,232.52,3.52,431
35.78,3.14,1.87,1.48,2.16,1.34,2.9,2.6,258.44,3.54,432
37.08,3.42,2.15,2.61,2.09,0.99,2.47,2.36,276.65,3.65,433
32.27,3.1,2.02,1.54,2.46,1.23,3.26,2.62,253.24,3.66,434
39.82,3.11,1.7,1.49,2.12,1.04,2.63,2.16,310.88,3.7,435
35.77,2.91,2.05,1.14,2.09,1.19,3.46,2.34,233.83,3.5,436
38.33,3.1,1.84,1.44,1.85,1.19,2.95,2.37,254.8,3.54,437
39.02,3.01,1.94,1.11,2.46,1.5,2.44,2.33,260.56,3.59,438
36.67,3.32,1.63,1.36,1.92,1.06,2.95,2.58,271.53,3.67,439
35.11,3.19,1.55,1.43,2.18,1.1,3.25,2.6,274.17,3.55,440
34.19,2.59,1.97,1.27,2.41,1.19,2.89,2.56,279.23,3.63,441
34.44,2.76,1.88,1.39,2.16,1.3,2.99,2.35,290.42,3.96,442
39.84,3.01,1.83,1.49,1.84,0.86,2.68,2.53,286.72,3.29,443
38.83,2.71,1.72,1.44,1.71,1.36,2.69,3.98,239.64,3.41,444
37.77,3.08,1.99,1.85,2.24,1.13,3.16,3.99,291.31,4.99,445
41.42,2.93,2.12,1.56,2.01,1.16,2.87,3.81,316.2,3.56,446
33.28,2.78,2.17,1.53,1.96,1.2,2.74,4.14,248.38,3.37,447
37.9,2.71,2.1,1.57,2.19,1.04,2.76,3.69,291.54,3.6,448
34.67,3.03,2.18,1.66,2.09,1.41,2.86,3.85,288.13,3.67,449
33.81,2.28,2.07,1.43,2.3,1.02,2.91,3.76,285.16,3.47,450
39.17,2.83,1.85,1.62,2.13,1.25,2.73,4.1,282.41,3.5,451
