response_time,norm_time
0.058,414.798
0.052,415.0
0.055,415.161
0.067,415.396
0.046,415.583
0.041,415.827
0.049,416.03
0.058,416.179
0.059,416.403
0.063,416.6
0.034,416.781
0.061,416.951
0.066,417.124
0.059,417.47
0.064,417.586
0.044,417.765
0.06,417.987
0.087,418.215
0.067,418.357
0.052,418.577
0.037,418.781
0.05,418.991
0.083,419.095
0.062,419.273
0.037,419.559
0.04,419.611
0.072,419.706
0.046,419.835
0.061,420.029
0.051,420.148
0.074,420.303
0.079,420.516
0.071,420.687
0.048,420.908
0.097,421.083
0.058,421.161
0.059,421.326
0.073,421.47
0.052,421.621
0.051,421.832
0.073,421.981
0.056,422.177
0.065,422.339
0.063,422.518
0.038,422.594
0.035,422.757
0.07,422.959
0.038,423.126
0.066,423.277
0.045,423.515
0.059,423.681
0.059,423.966
0.05,424.151
0.056,424.377
0.05,424.563
0.042,424.802
0.047,424.942
0.036,425.119
0.07,425.305
0.062,425.476
0.063,425.662
0.064,425.779
0.045,425.965
0.039,426.24
0.058,426.401
0.071,426.603
0.047,426.813
0.062,426.999
0.051,427.199
0.051,427.373
0.045,427.63
0.06,427.881
0.071,428.045
0.054,428.193
0.056,428.428
0.057,428.595
0.047,428.796
0.064,429.008
0.069,429.162
0.07,429.31
0.051,429.583
0.046,429.772
0.047,429.955
0.071,430.2
0.052,430.429
0.087,430.596
0.065,430.743
0.052,430.958
0.048,431.235
0.058,431.448
0.053,431.692
0.046,431.875
0.053,432.079
0.06,432.272
0.053,432.434
0.037,432.626
0.07,432.777
0.055,433.052
0.059,433.286
0.053,433.536
0.071,433.772
0.051,433.972
0.042,434.15
0.045,434.396
0.075,434.497
0.051,434.739
0.069,434.938
0.079,435.093
0.042,435.272
0.056,435.49
0.038,435.608
0.038,435.711
0.049,435.866
0.07,436.037
0.047,436.171
0.057,436.389
0.068,436.616
0.047,436.816
0.046,437.026
0.054,437.217
0.064,437.389
0.055,437.546
0.064,437.67
0.065,437.863
0.066,438.041
0.106,438.238
0.05,438.426
0.066,438.725
0.071,439.02
0.06,439.177
0.052,439.336
0.075,439.496
0.049,439.758
0.049,439.942
0.069,440.133
0.042,440.265
0.049,440.497
0.062,440.791
0.04,440.908
0.062,441.076
0.055,441.29
0.045,441.359
0.04,441.457
0.045,441.627
0.055,441.776
0.082,441.994
0.04,442.147
0.053,442.349
0.04,442.617
0.052,442.803
0.051,443.067
0.067,443.267
0.071,443.528
0.07,443.711
0.06,443.893
0.038,444.091
0.055,444.258
0.069,444.467
0.047,444.536
0.07,444.68
0.051,444.857
0.055,445.036
0.047,445.186
0.043,445.368
0.05,445.583
0.064,445.76
0.049,445.96
0.057,446.231
0.062,446.45
0.056,446.672
0.068,446.844
0.063,446.922
0.051,447.036
0.062,447.257
0.058,447.474
0.064,447.643
0.046,447.801
0.061,447.966
0.058,448.292
0.043,448.453
0.053,448.671
0.04,448.851
0.052,449.009
0.053,449.183
0.042,449.349
0.056,449.705
0.064,449.906
0.066,450.139
0.054,450.422
0.049,450.618
0.05,450.857
0.053,451.0
0.045,451.179
0.039,451.341
0.069,451.444
0.064,451.708
0.074,451.905
0.056,452.066
0.06,452.256
0.057,452.405
0.074,452.561
0.079,452.735
0.062,452.905
0.046,453.124
0.035,453.294
0.038,453.464
0.068,453.655
0.056,453.865
0.069,453.964
0.068,454.169
0.049,454.398
0.047,454.639
0.04,454.82
0.051,454.951
0.054,455.18
0.057,455.333
0.041,455.58
0.068,455.779
0.061,455.915
0.071,456.173
0.051,456.345
0.077,456.531
0.058,456.682
0.043,456.904
0.054,457.067
0.065,457.241
0.034,457.409
0.04,457.669
0.071,457.766
0.043,457.93
0.055,458.193
0.05,458.377
0.039,458.508
0.043,458.665
0.052,458.821
0.072,459.08
0.057,459.341
0.053,459.541
0.042,459.686
0.053,459.861
0.065,460.072
0.051,460.237
0.056,460.374
0.058,460.616
0.072,460.768
0.058,460.924
0.06,461.122
0.052,461.307
0.047,461.488
0.059,461.659
0.069,461.819
0.065,461.975
0.043,462.207
0.043,462.429
0.058,462.8
0.041,462.979
0.085,463.192
0.052,463.299
0.057,463.428
0.051,463.594
0.051,463.755
0.067,463.887
0.049,464.017
0.059,464.127
0.056,464.322
0.058,464.551
0.065,464.745
0.042,464.929
0.046,465.145
0.07,465.26
0.056,465.447
0.058,465.655
0.062,465.853
0.045,466.06
0.058,466.222
0.043,466.379
0.062,466.476
0.046,466.69
0.068,466.867
0.041,467.068
0.042,467.211
0.048,467.417
0.077,467.628
0.071,467.791
0.046,467.948
0.069,468.161
0.055,468.401
0.05,468.595
0.063,468.794
0.061,468.911
0.055,469.01
