response_time,norm_time
0.039,589.982
0.043,590.112
0.036,590.262
0.034,590.368
0.03,590.626
0.039,590.802
0.034,590.934
0.036,591.103
0.037,591.295
0.039,591.434
0.032,591.613
0.041,591.757
0.041,591.917
0.037,592.073
0.036,592.246
0.034,592.428
0.032,592.656
0.043,592.84
0.044,593.048
0.037,593.196
0.037,593.355
0.037,593.502
0.039,593.738
0.037,593.851
0.041,594.008
0.033,594.161
0.033,594.295
0.04,594.485
0.036,594.691
0.041,594.801
0.037,594.985
0.033,595.163
0.038,595.343
0.041,595.489
0.041,595.715
0.032,595.853
0.038,596.097
0.037,596.242
0.036,596.425
0.04,596.608
0.04,596.759
0.038,596.84
0.042,597.01
0.038,597.173
0.035,597.319
0.035,597.514
0.03,597.65
0.035,597.765
0.035,597.875
0.039,597.993
0.031,598.126
0.035,598.266
0.05,598.407
0.035,598.52
0.039,598.624
0.041,598.81
0.031,598.988
0.03,599.097
0.038,599.326
0.036,599.544
0.041,599.68
0.038,599.842
0.039,599.921
0.038,600.052
0.04,600.225
0.038,600.374
0.039,600.518
0.037,600.72
0.047,600.913
0.036,601.12
0.044,601.346
0.041,601.48
0.045,601.573
0.037,601.732
0.035,601.867
0.035,602.086
0.034,602.299
0.037,602.521
0.033,602.723
0.04,602.869
0.04,603.017
0.047,603.137
0.038,603.305
0.045,603.482
0.032,603.602
0.041,603.677
0.032,603.916
0.035,604.111
0.046,604.251
0.037,604.415
0.043,604.566
0.038,604.825
0.044,604.997
0.046,605.225
0.042,605.343
0.041,605.462
0.038,605.568
0.036,605.688
0.038,605.839
0.038,606.032
0.042,606.162
0.035,606.294
0.041,606.43
0.04,606.634
0.038,606.757
0.043,606.948
0.034,607.054
0.042,607.202
0.031,607.465
0.041,607.594
0.046,607.745
0.038,607.868
0.036,607.952
0.041,608.084
0.039,608.255
0.034,608.407
0.032,608.508
0.043,608.722
0.034,608.952
0.031,609.085
0.039,609.154
0.039,609.3
0.04,609.481
0.041,609.673
0.038,609.861
0.047,610.029
0.038,610.193
0.036,610.414
0.039,610.597
0.048,610.793
0.04,610.955
0.036,611.167
0.045,611.384
0.039,611.553
0.032,611.724
0.036,611.858
0.042,612.129
0.032,612.307
0.036,612.413
0.04,612.634
0.042,612.756
0.034,612.899
0.033,613.071
0.041,613.22
0.045,613.403
0.04,613.573
0.032,613.785
0.039,613.992
0.034,614.147
0.04,614.331
0.043,614.438
0.041,614.563
0.038,614.741
0.039,614.991
0.043,615.186
0.041,615.294
0.04,615.426
0.042,615.577
0.038,615.745
0.041,615.901
0.04,615.995
0.038,616.288
0.048,616.462
0.032,616.599
0.04,616.722
0.038,616.891
0.034,617.105
0.039,617.313
0.033,617.491
0.034,617.677
0.04,617.888
0.036,618.03
0.04,618.193
0.037,618.45
0.044,618.612
0.047,618.875
0.045,618.958
0.036,619.141
0.042,619.322
0.042,619.54
0.043,619.729
0.037,619.835
0.035,620.014
0.044,620.129
0.036,620.315
0.047,620.375
0.034,620.565
0.04,620.755
0.037,620.957
0.036,621.283
0.046,621.44
0.038,621.616
0.04,621.73
0.04,621.925
0.038,622.133
0.044,622.374
0.036,622.521
0.041,622.657
0.032,622.835
0.038,622.997
0.04,623.119
0.046,623.261
0.033,623.447
0.037,623.522
0.033,623.645
0.034,623.8
0.041,624.051
0.037,624.167
0.03,624.377
0.041,624.563
0.033,624.76
0.045,624.896
0.044,625.038
0.038,625.205
0.036,625.438
0.033,625.59
0.035,625.871
0.038,626.022
0.037,626.115
0.043,626.304
0.045,626.473
0.035,626.634
0.035,626.727
0.042,626.856
0.031,627.012
0.031,627.212
0.03,627.342
0.043,627.516
0.036,627.763
0.035,627.908
0.036,628.071
0.035,628.23
0.039,628.354
0.033,628.573
0.03,628.706
0.04,628.9
0.045,628.976
0.036,629.087
0.034,629.194
0.036,629.351
0.045,629.585
0.038,629.746
0.04,630.044
0.036,630.18
0.04,630.316
0.037,630.545
0.037,630.675
0.035,630.79
0.032,630.975
0.04,631.162
0.036,631.278
0.04,631.422
0.039,631.539
0.039,631.729
0.039,631.891
0.036,632.016
0.03,632.354
0.041,632.445
0.035,632.601
0.033,632.754
0.029,632.939
0.04,633.07
0.032,633.252
0.035,633.415
0.042,633.538
0.038,633.768
0.033,633.957
0.04,634.185
0.039,634.326
0.04,634.444
0.037,634.59
0.036,634.728
0.03,634.904
0.043,635.053
0.039,635.273
0.037,635.416
0.039,635.507
0.044,635.714
0.041,635.892
0.035,636.054
0.038,636.23
0.044,636.424
0.04,636.741
0.041,637.061
0.04,637.204
0.044,637.37
0.037,637.504
0.031,637.655
0.041,637.797
0.036,637.947
0.038,638.081
0.038,638.315
0.048,638.522
0.043,638.607
0.041,638.779
0.041,639.014
0.039,639.287
0.044,639.476
0.042,639.642
0.034,639.863
0.043,640.051
0.039,640.362
0.038,640.526
0.034,640.743
0.036,640.936
0.035,641.076
0.037,641.29
0.033,641.478
