cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
379,51,3.56,7,1,22,14,330
458,54,3.7,7,1,24,8,331
403,50,3.79,7,2,23,10,332
380,50,3.09,7,1,18,11,333
321,49,4.39,7,1,25,13,334
382,40,3.69,7,2,25,9,335
345,52,3.57,7,1,17,8,336
366,48,3.11,7,1,11,12,337
387,35,3.84,7,1,18,12,338
417,45,3.65,7,1,10,11,339
308,55,4.0,7,2,22,13,340
367,40,3.7,7,1,18,11,341
338,65,3.55,7,1,20,10,342
360,43,3.65,7,2,14,12,343
318,43,3.84,7,2,30,9,344
360,56,3.81,7,2,19,8,345
391,58,3.85,7,2,44,13,346
368,55,3.06,7,1,27,11,347
375,55,3.2,7,2,16,10,348
397,52,3.9,7,2,14,9,349
322,56,3.36,7,1,21,6,350
338,42,3.14,7,2,29,5,351
394,59,3.61,7,2,24,8,352
359,35,3.64,7,2,20,6,353
377,48,3.72,7,1,26,9,354
346,56,3.12,7,2,26,8,355
243,50,4.0,7,2,28,9,356
440,60,4.12,7,2,19,8,357
389,43,4.36,6,2,28,6,358
387,47,4.23,7,2,22,10,359
376,39,3.64,7,2,21,14,360
417,67,3.51,7,3,24,11,361
374,49,4.24,7,2,25,12,362
383,55,3.01,7,2,23,11,363
392,43,3.47,7,2,19,8,364
367,33,3.05,7,2,21,12,365
392,48,3.49,7,2,30,9,366
372,52,3.21,7,2,21,8,367
387,45,3.31,7,2,25,9,368
360,52,3.33,7,2,27,11,369
417,53,3.38,7,2,22,10,370
369,47,3.19,7,2,25,10,371
413,42,3.45,7,2,26,12,372
417,53,3.53,7,2,24,7,373
417,61,3.53,7,2,22,8,374
332,48,3.56,5,2,21,12,375
395,48,3.42,9,1,22,11,376
387,51,4.22,6,2,20,14,377
409,56,3.4,6,1,24,15,378
363,67,3.34,7,2,18,9,379
417,60,3.77,6,2,22,11,380
397,55,3.69,7,2,25,16,381
410,60,3.17,6,2,25,11,382
382,57,3.91,7,2,20,8,383
385,57,3.89,7,2,23,16,384
402,66,3.46,6,2,26,13,385
326,49,4.2,6,1,26,11,386
342,64,4.82,7,1,24,15,387
327,58,3.76,5,1,20,11,388
335,62,3.4,7,1,21,15,389
331,51,3.05,7,2,23,6,390
335,48,3.64,5,2,23,12,391
340,47,3.11,6,2,21,9,392
327,48,3.74,7,2,18,16,393
336,52,3.57,7,1,23,10,394
331,57,3.94,6,1,22,7,395
377,48,3.76,8,2,20,9,396
327,45,3.69,10,2,12,12,397
339,39,3.08,8,1,32,9,398
379,59,3.18,9,2,23,10,399
332,49,3.49,8,1,24,10,400
332,39,3.36,7,1,27,8,401
322,52,3.76,8,1,27,19,402
337,38,3.75,7,2,23,19,403
329,55,3.33,8,1,22,15,404
337,53,3.5,7,1,29,16,405
333,47,3.26,8,1,25,7,406
333,52,3.85,8,1,24,14,407
339,40,3.78,9,2,24,10,408
326,42,3.97,7,1,24,13,409
325,36,3.57,8,1,27,8,410
335,48,3.98,9,2,28,10,411
335,51,3.26,7,1,29,10,412
334,51,3.12,7,2,24,11,413
314,51,3.35,7,1,30,8,414
314,55,3.65,7,1,15,9,415
314,58,3.96,7,1,29,13,416
314,50,4.02,8,1,28,12,417
314,55,3.12,6,1,20,9,418
314,54,3.27,6,1,23,10,419
314,56,3.93,6,1,23,5,420
314,51,3.96,6,1,19,9,421
314,57,3.15,6,1,19,8,422
314,62,3.42,6,1,23,11,423
314,53,3.55,6,1,22,11,424
314,60,3.25,6,1,18,5,425
314,55,3.55,6,1,21,14,426
314,59,3.33,6,1,23,11,427
314,58,3.55,6,1,22,11,428
314,65,3.83,6,1,22,7,429
314,52,3.08,6,1,19,5,430
271,58,3.32,6,2,19,9,431
313,44,3.45,6,1,20,6,432
314,53,4.02,6,1,9,11,433
314,50,3.64,7,1,20,12,434
314,55,3.12,10,1,19,11,435
314,59,3.79,6,1,22,16,436
314,48,3.38,6,1,21,6,437
314,61,3.34,6,1,17,8,438
313,55,3.57,5,1,22,8,439
314,59,3.81,6,1,20,9,440
314,58,3.73,6,1,17,9,441
311,75,3.91,6,1,20,13,442
365,58,3.69,6,1,20,11,443
369,72,3.63,6,1,24,11,444
314,55,4.08,6,1,25,18,445
312,73,3.46,6,1,20,10,446
328,73,3.96,6,1,21,17,447
336,75,3.87,6,1,23,10,448
319,71,3.96,6,1,27,9,449
332,60,3.14,6,1,22,10,450
305,61,3.91,3,1,25,2,451
311,62,3.74,6,1,22,11,452
306,61,3.74,6,1,18,9,453
312,71,3.9,6,1,24,13,454
319,62,3.07,6,1,17,6,455
323,75,3.7,6,1,24,11,456
291,56,3.15,7,1,23,5,457
322,67,3.62,6,1,26,11,458
327,51,3.49,6,1,20,5,459
336,58,3.7,6,1,22,9,460
313,67,3.29,6,1,21,4,461
346,59,3.2,6,1,23,14,462
333,65,3.72,7,1,25,10,463
307,61,3.77,7,1,31,8,464
332,56,3.01,7,2,32,8,465
348,62,3.82,7,1,20,12,466
327,61,3.34,7,1,28,9,467
324,48,3.79,7,1,27,7,468
349,55,3.65,6,1,24,9,469
367,61,3.31,6,1,26,11,470
352,59,3.48,7,1,29,8,471
356,66,3.53,6,1,28,9,472
363,52,3.55,7,2,23,10,473
358,54,3.74,7,1,21,10,474
370,62,3.91,6,1,24,11,475
362,67,3.27,6,1,29,8,476
351,59,3.8,7,1,29,7,477
351,59,3.67,7,1,28,10,478
420,59,3.58,7,1,23,9,479
350,50,3.18,6,2,21,10,480
270,57,4.03,6,1,20,12,481
347,61,4.03,8,1,25,7,482
340,49,3.76,7,1,22,7,483
347,60,3.18,7,2,16,11,484
349,55,3.76,7,1,33,8,485
328,54,3.72,8,1,17,12,486
361,58,4.09,8,2,25,12,487
337,46,3.91,7,1,21,9,488
364,64,4.31,8,2,27,16,489
350,62,3.7,7,1,28,12,490
335,56,3.92,7,1,24,11,491
343,52,3.4,7,1,28,12,492
351,55,3.2,7,1,23,6,493
341,51,3.62,8,1,18,6,494
367,69,3.04,7,2,25,10,495
349,63,3.69,8,2,26,11,496
347,63,3.19,8,1,26,14,497
396,61,3.52,8,2,32,13,498
411,50,3.65,7,2,35,4,499
421,56,3.71,8,0,30,9,500
402,53,4.05,7,1,17,5,501
393,61,3.39,7,2,16,14,502
421,55,3.55,8,2,22,7,503
419,55,4.59,8,1,30,6,504
419,63,3.58,7,1,32,5,505
418,48,3.33,3,2,25,17,506
399,43,3.28,8,1,22,4,507
416,50,3.03,8,1,23,9,508
421,41,3.23,8,1,28,10,509
356,52,3.56,8,2,25,11,510
421,37,3.71,8,1,18,10,511
420,43,3.42,8,2,25,11,512
395,47,3.22,8,1,20,10,513
365,57,3.6,8,1,27,9,514
381,43,3.86,8,2,19,10,515
415,56,3.4,8,1,26,15,516
421,44,3.49,8,1,27,15,517
406,48,3.33,8,1,26,15,518
421,42,3.33,8,2,25,19,519
409,50,3.3,8,2,22,16,520
421,56,3.67,8,1,28,15,521
394,56,3.81,8,1,22,14,522
390,36,3.74,8,1,23,17,523
379,55,3.11,8,1,20,17,524
415,50,3.47,8,1,28,16,525
323,39,3.72,8,1,24,8,526
323,52,3.31,8,1,24,15,527
322,57,3.77,9,1,30,14,528
322,43,3.33,9,2,26,13,529
323,47,3.35,9,2,26,3,530
323,42,3.92,9,1,31,7,531
322,42,3.78,9,1,29,10,532
323,48,3.14,9,2,25,11,533
323,53,3.92,9,1,30,13,534
323,43,3.39,9,2,25,13,535
323,45,3.72,9,1,22,5,536
320,54,3.2,9,1,25,11,537
324,44,3.35,9,1,31,9,538
324,43,3.3,9,2,28,8,539
322,47,3.11,9,1,26,9,540
322,49,3.73,9,2,30,11,541
324,46,3.7,9,2,28,7,542
321,48,3.71,9,1,25,12,543
321,45,3.65,9,1,28,8,544
322,51,3.4,9,1,27,5,545
322,48,3.6,9,1,24,11,546
324,49,3.12,9,1,30,5,547
323,43,3.86,9,2,28,9,548
321,42,3.27,9,2,25,9,549
320,44,3.37,7,1,18,19,550
323,50,3.96,7,2,20,5,551
322,39,4.0,7,1,19,9,552
322,51,3.5,7,1,19,8,553
353,48,3.59,6,1,22,18,554
359,51,3.18,7,1,23,16,555
357,55,3.51,7,2,19,10,556
338,47,3.15,7,2,25,16,557
346,41,3.73,7,2,24,11,558
363,50,3.86,5,1,18,12,559
353,50,3.94,7,1,21,0,560
358,53,3.8,7,1,25,9,561
350,44,4.0,7,1,19,10,562
354,39,3.23,7,1,20,14,563
354,52,4.26,7,1,23,9,564
351,48,3.68,7,1,15,7,565
356,50,3.37,7,1,21,16,566
358,47,3.7,7,1,20,11,567
370,38,3.6,5,1,20,9,568
359,50,3.34,7,1,22,18,569
344,47,3.95,7,1,21,13,570
361,50,3.26,7,1,19,10,571
355,48,3.4,7,1,22,5,572
362,48,3.96,7,1,19,12,573
356,53,3.46,7,1,18,11,574
355,55,3.42,7,1,22,11,575
403,57,3.41,7,1,21,12,576
351,50,3.79,7,1,19,11,577
381,42,3.37,7,1,19,11,578
363,50,3.78,7,1,20,10,579
343,54,3.23,7,1,22,9,580
362,52,4.17,7,1,20,11,581
330,60,3.9,7,1,25,12,582
335,60,3.26,7,1,22,12,583
343,54,3.88,7,1,19,13,584
336,51,3.77,7,1,23,11,585
334,45,3.39,7,1,22,12,586
336,52,4.03,7,1,21,0,587
357,47,3.28,7,1,19,11,588
331,38,3.19,7,1,22,13,589
343,52,3.25,7,2,22,14,590
331,37,3.08,7,1,20,12,591
347,49,3.35,7,1,24,9,592
331,50,3.64,7,1,26,12,593
334,55,3.45,7,1,26,8,594
334,45,3.52,7,1,19,10,595
356,57,3.9,7,1,22,11,596
326,45,3.18,7,1,24,11,597
333,46,3.93,7,2,24,6,598
345,64,4.14,7,1,23,14,599
339,45,3.56,7,1,26,10,600
334,52,3.17,7,2,22,15,601
339,58,3.01,3,1,24,7,602
338,0,3.24,8,2,20,16,603
331,51,3.34,7,2,15,11,604
339,44,3.44,8,2,20,7,605
341,45,3.63,7,2,25,13,606
337,50,3.98,7,1,23,9,607
342,38,3.73,7,1,25,11,608
334,40,3.03,7,1,25,13,609
396,46,3.73,7,2,21,17,610
422,39,3.81,7,2,24,11,611
406,56,3.52,7,1,23,11,612
393,52,3.46,7,1,24,9,613
409,40,3.38,7,2,22,9,614
430,56,3.56,7,1,22,5,615
431,51,4.15,7,2,26,17,616
384,45,3.05,8,2,22,13,617
445,47,3.65,7,1,21,8,618
403,45,3.11,8,1,14,12,619
395,61,3.74,8,2,22,14,620
379,46,3.9,7,2,18,14,621
403,56,3.47,8,2,26,19,622
369,52,3.52,8,2,22,11,623
403,52,3.72,8,2,20,17,624
424,43,3.0,8,1,26,8,625
404,43,3.1,8,2,18,11,626
385,55,4.17,8,1,28,5,627
400,47,3.74,7,1,17,7,628
418,57,3.28,7,1,18,8,629
414,46,3.61,8,2,30,19,630
434,54,3.88,8,1,23,13,631
390,54,3.33,8,1,31,9,632
396,65,3.46,7,1,18,13,633
421,46,3.93,8,1,22,11,634
415,46,3.81,8,1,27,11,635
406,46,3.95,8,2,22,14,636
363,52,3.51,8,1,22,13,637
303,41,3.52,7,1,17,9,638
332,43,3.63,7,1,20,15,639
361,53,3.2,7,1,26,0,640
389,56,3.56,7,1,15,11,641
352,45,3.76,7,2,20,12,642
274,39,3.7,7,1,23,13,643
262,38,3.02,7,2,28,10,644
349,37,3.43,7,1,20,6,645
355,38,3.84,7,1,24,12,646
308,44,3.77,7,1,33,12,647
291,49,3.82,7,2,20,8,648
325,46,3.61,7,1,30,8,649
238,38,3.25,7,1,15,10,650
333,43,3.6,7,1,18,13,651
340,38,4.08,7,2,20,6,652
293,45,4.02,7,2,21,12,653
337,42,3.71,7,2,23,14,654
301,37,3.61,7,2,22,12,655
326,45,3.28,8,2,17,12,656
258,49,3.43,7,2,18,10,657
328,47,3.44,7,2,17,8,658
260,46,3.42,7,2,22,11,659
275,60,3.98,9,2,18,13,660
262,47,3.14,8,1,16,9,661
293,57,4.61,9,2,21,7,662
278,71,3.39,9,1,17,10,663
339,52,3.56,9,2,23,11,664
218,48,3.43,8,2,16,7,665
352,52,3.37,9,2,19,9,666
350,50,3.91,9,1,20,9,667
357,50,4.19,9,3,16,8,668
355,45,4.04,9,2,19,11,669
353,47,3.14,9,1,23,11,670
357,60,3.71,8,2,23,10,671
340,37,3.71,9,2,22,11,672
345,58,3.91,9,1,19,8,673
348,42,3.72,9,2,19,10,674
351,54,4.1,9,2,14,8,675
351,54,4.05,8,1,17,9,676
346,50,4.21,9,1,16,9,677
353,46,3.62,9,1,19,7,678
358,49,3.43,9,1,18,0,679
353,50,3.56,9,1,23,14,680
352,46,3.21,9,2,20,8,681
349,55,3.75,8,1,25,8,682
359,60,3.64,8,2,27,7,683
352,54,3.36,8,2,22,11,684
356,33,3.39,8,1,29,12,685
352,50,3.82,8,1,23,8,686
351,66,3.27,8,1,23,12,687
339,60,3.56,8,1,20,11,688
354,60,3.81,8,1,27,12,689
351,60,3.84,8,2,22,4,690
345,54,3.9,8,1,23,11,691
351,53,3.78,8,1,21,7,692
369,58,3.62,5,1,25,11,693
339,57,3.1,8,2,27,9,694
334,57,3.91,7,1,22,8,695
339,55,3.58,8,1,25,9,696
373,54,3.29,8,1,24,11,697
283,50,3.44,8,1,29,6,698
345,69,3.85,12,1,23,10,699
357,56,3.69,8,1,21,13,700
334,47,3.35,8,1,24,7,701
336,55,3.17,8,2,23,12,702
325,59,3.6,8,1,24,12,703
337,50,3.36,8,1,25,11,704
362,48,3.11,8,2,28,13,705
326,54,3.4,8,1,24,10,706
341,49,3.67,8,2,23,11,707
327,47,3.06,8,1,24,7,708
334,51,3.79,8,1,18,7,709
350,39,4.0,8,1,23,10,710
339,52,3.69,8,1,22,7,711
332,50,3.84,8,1,23,23,712
337,43,3.75,8,1,15,14,713
350,49,3.33,8,1,22,13,714
352,52,3.59,8,1,21,24,715
334,49,3.21,8,2,20,10,716
329,42,3.32,8,1,24,11,717
328,49,3.72,8,1,26,12,718
361,34,3.68,8,1,19,4,719
346,46,3.85,8,1,24,12,720
338,51,3.79,8,1,25,12,721
399,48,3.65,8,2,21,14,722
347,43,3.82,8,1,25,9,723
348,43,3.67,8,2,16,10,724
348,50,3.76,8,2,21,9,725
347,51,3.07,7,2,21,3,726
347,49,3.73,7,2,25,0,727
347,50,3.83,6,2,21,8,728
347,35,3.69,7,2,28,9,729
348,39,3.83,7,1,24,14,730
347,33,3.4,7,2,22,6,731
348,50,4.23,7,2,21,13,732
