core1,core2,core3,core4,mem,gpu,norm_ex_time
29.71,8.41,7.91,1.35,46.17,3.49,370
29.79,9.5,8.01,1.27,46.06,3.19,371
29.83,9.38,7.81,1.04,46.14,3.55,372
29.99,9.5,7.75,1.34,46.05,3.7,373
29.99,8.78,7.48,0.78,46.1,3.68,374
29.81,8.35,7.13,1.6,45.89,3.55,375
29.65,9.16,8.18,0.08,45.84,3.45,376
29.55,9.5,7.84,1.29,46.05,3.7,377
29.82,9.2,7.95,1.26,46.11,3.33,378
30.07,9.21,8.02,2.59,46.04,3.4,379
29.77,9.29,10.96,0.51,45.98,3.16,380
29.63,8.92,7.51,1.28,46.28,3.56,381
29.89,9.12,8.22,1.0,46.09,3.41,382
29.94,8.77,11.33,1.11,45.61,3.79,383
29.91,8.02,8.48,1.25,45.92,3.75,384
29.66,9.21,7.45,1.46,45.97,2.88,385
29.86,8.39,8.14,1.23,46.07,3.69,386
29.98,8.93,7.51,1.5,46.13,3.37,387
29.85,8.87,7.83,0.94,45.78,3.3,388
29.77,9.64,7.94,1.16,46.19,3.29,389
29.66,8.66,8.11,1.54,45.92,3.44,390
29.91,9.01,8.24,1.19,46.03,3.69,391
29.64,9.49,8.04,1.71,41.95,1.89,392
29.68,9.04,7.39,1.16,42.52,3.45,393
19.11,8.96,8.25,1.2,40.96,3.78,394
29.52,9.16,7.84,1.03,43.97,3.14,395
29.73,9.47,10.05,1.44,41.55,3.12,396
29.84,9.57,9.85,1.54,43.11,3.3,397
30.46,9.43,10.35,1.4,41.71,3.31,398
29.97,8.82,10.21,1.47,42.9,3.21,399
29.37,9.03,10.37,1.33,23.52,3.32,400
29.8,9.29,10.31,1.46,43.38,3.4,401
30.1,9.51,9.88,1.48,41.48,3.43,402
28.67,9.5,10.19,2.23,43.31,3.29,403
29.38,9.47,10.07,1.68,40.13,3.25,404
28.61,8.67,9.87,1.33,41.91,4.61,405
29.48,9.27,9.93,1.24,41.81,3.3,406
29.57,10.28,10.01,1.26,40.81,3.28,407
28.98,9.17,10.04,1.42,41.63,3.16,408
29.82,8.93,9.79,1.29,41.34,3.11,409
32.2,7.02,10.16,1.6,41.79,3.28,410
29.19,6.64,10.06,1.67,41.54,3.24,411
30.23,6.6,10.09,1.69,41.83,3.3,412
29.43,6.76,9.79,1.57,41.45,3.36,413
29.95,6.58,10.19,1.49,49.45,3.3,414
29.58,6.8,10.19,1.46,50.57,3.35,415
29.74,6.71,10.12,1.46,48.47,3.26,416
29.69,6.77,9.76,1.65,47.92,3.2,417
28.78,6.66,10.03,1.65,49.29,3.35,418
29.92,6.53,10.0,1.64,48.38,3.12,419
29.57,6.31,9.3,1.45,47.56,3.0,420
29.51,6.15,10.33,1.47,47.49,2.71,421
29.88,6.38,8.29,1.48,47.63,2.9,422
28.93,6.33,9.57,1.26,48.6,2.85,423
29.66,6.67,9.5,1.64,49.19,0.55,424
29.68,6.27,9.83,1.83,47.71,2.97,425
32.03,6.74,9.17,1.59,47.49,2.76,426
31.78,6.65,8.6,1.43,47.83,2.78,427
31.83,6.53,9.45,1.47,47.37,2.92,428
31.99,6.34,9.27,1.31,47.92,2.82,429
31.73,6.42,9.41,1.36,47.9,2.84,430
32.21,6.54,9.49,1.12,49.37,3.21,431
32.21,6.42,9.09,1.08,47.27,2.77,432
32.1,6.58,10.16,1.38,48.81,2.83,433
31.96,6.71,9.76,1.31,48.09,3.12,434
32.01,6.71,9.92,1.35,48.99,2.95,435
32.02,6.55,9.65,0.86,46.41,2.77,436
31.93,6.74,9.5,1.43,46.01,2.69,437
35.71,6.79,8.54,1.03,45.93,2.87,438
32.06,6.45,9.64,1.19,46.08,2.61,439
32.1,6.52,9.42,0.81,45.9,2.73,440
31.93,6.52,9.03,1.48,45.88,2.95,441
32.29,6.86,9.09,1.28,45.96,2.98,442
32.16,6.54,9.6,1.1,46.02,2.92,443
32.2,6.65,9.52,1.17,46.4,2.67,444
32.11,6.72,9.36,1.16,46.09,2.93,445
32.18,6.41,8.98,1.08,45.71,3.01,446
23.93,6.91,8.6,1.29,46.25,3.04,447
32.15,6.51,8.94,1.26,45.98,2.71,448
31.76,6.49,8.84,1.22,45.27,2.9,449
32.09,6.85,8.61,1.66,46.27,3.11,450
32.02,6.92,9.06,1.68,46.18,2.83,451
32.03,7.17,9.32,1.37,46.25,2.89,452
32.07,6.96,8.94,1.82,45.91,2.75,453
31.32,6.94,9.26,1.47,46.09,2.79,454
31.26,7.0,8.67,1.67,45.92,3.26,455
31.26,7.22,9.3,1.58,46.22,2.93,456
31.4,6.93,8.81,1.98,46.15,3.05,457
31.57,7.36,8.63,1.49,56.35,2.91,458
31.45,6.87,9.64,1.82,55.0,3.21,459
31.35,7.08,8.82,1.52,50.62,2.84,460
31.41,6.97,9.08,1.66,44.42,3.19,461
36.07,7.04,8.98,2.42,43.1,3.06,462
31.51,7.22,9.24,1.64,45.22,2.99,463
31.71,7.2,9.49,1.42,52.89,3.17,464
31.23,7.21,7.66,1.7,47.82,2.98,465
31.6,7.13,9.17,1.66,48.14,3.06,466
31.54,7.7,9.34,1.67,50.79,3.08,467
31.37,6.66,9.11,1.42,56.95,3.08,468
31.4,6.78,8.75,1.34,47.81,3.06,469
31.68,7.04,9.03,1.33,52.21,2.99,470
31.49,7.3,9.03,0.73,48.25,2.8,471
31.49,7.2,9.42,1.74,42.11,3.3,472
31.36,7.18,8.77,1.5,37.83,3.03,473
31.54,7.11,11.58,1.34,47.11,3.11,474
31.52,7.02,11.44,1.49,40.41,3.01,475
31.6,7.03,10.59,1.19,40.84,3.01,476
31.36,7.39,11.54,1.48,55.39,3.0,477
31.4,7.02,11.76,1.33,83.5,2.99,478
31.26,7.26,11.32,1.27,52.78,3.12,479
31.48,7.04,10.67,1.63,49.2,2.97,480
31.64,7.33,11.1,1.24,54.18,2.98,481
30.97,7.24,11.88,1.21,52.22,3.0,482
32.25,6.93,11.52,1.18,48.74,3.29,483
32.13,7.24,12.74,1.75,53.09,3.16,484
31.86,7.29,11.23,1.43,53.41,2.7,485
32.04,6.75,11.26,1.6,48.26,2.85,486
32.17,6.64,11.16,0.91,50.59,3.12,487
30.5,7.27,10.35,1.25,52.96,2.79,488
32.88,7.01,11.03,1.29,54.5,3.27,489
30.13,8.57,12.78,1.05,51.79,2.86,490
32.67,8.34,11.83,1.51,46.71,3.27,491
31.09,8.74,12.06,1.48,46.19,3.09,492
32.11,8.81,10.82,1.56,52.15,3.04,493
31.66,8.36,10.81,1.46,54.5,3.09,494
33.27,8.63,11.15,1.59,50.39,3.11,495
30.27,8.57,10.52,1.5,51.99,2.51,496
32.69,8.4,11.06,1.62,52.02,2.73,497
32.97,8.28,11.49,1.27,50.81,3.04,498
30.65,8.47,10.88,1.62,51.58,2.79,499
31.01,8.55,7.43,1.7,52.41,2.88,500
30.11,8.65,7.43,1.08,49.13,3.03,501
32.4,8.55,7.51,1.39,52.65,3.03,502
32.37,8.52,7.61,1.41,51.51,3.18,503
32.04,8.66,7.8,1.41,46.12,2.86,504
31.98,8.89,7.48,1.54,52.45,2.86,505
28.74,8.45,7.62,1.5,47.96,2.78,506
32.41,8.68,7.6,1.33,43.66,2.98,507
31.49,9.94,7.81,1.37,47.68,2.92,508
31.42,9.02,7.55,1.45,55.17,2.93,509
30.27,8.4,7.63,1.6,45.55,2.78,510
30.17,8.66,7.49,1.06,46.22,3.08,511
30.33,8.54,7.4,1.46,47.94,2.89,512
30.17,8.65,7.64,1.23,44.42,2.73,513
30.2,8.65,7.42,1.16,43.46,2.72,514
30.03,8.19,7.69,1.4,50.91,2.83,515
30.62,8.51,7.87,1.16,47.38,2.98,516
30.15,8.67,7.55,1.47,46.0,3.22,517
30.45,8.5,7.51,1.11,46.15,2.78,518
30.09,8.77,7.62,1.17,49.43,2.93,519
30.05,8.89,7.52,1.42,46.62,3.2,520
30.54,8.34,7.58,1.24,41.18,3.47,521
30.54,8.67,7.61,1.82,54.52,3.1,522
30.48,11.28,7.77,1.53,51.64,3.36,523
28.65,8.53,7.62,1.74,53.7,3.14,524
30.38,8.77,7.63,1.18,53.7,3.26,525
36.16,8.62,9.38,0.95,53.7,3.38,526
30.5,8.64,8.4,1.49,53.7,3.24,527
35.37,8.32,9.08,1.36,53.7,3.35,528
30.06,8.5,9.3,1.23,53.7,2.9,529
30.23,8.46,9.81,1.44,53.7,3.43,530
30.79,8.43,8.07,1.46,53.7,3.42,531
29.94,8.39,8.94,1.24,53.7,3.19,532
30.34,8.37,2.6,1.23,53.7,3.17,533
