core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
25.22,9.16,7.98,2.02,0.99,1.45,1.24,1.19,58.2,2.77,420
25.39,9.57,6.83,1.83,1.09,2.29,1.01,0.83,58.4,3.34,421
25.52,9.76,9.98,1.32,1.03,1.71,1.58,0.9,58.38,3.23,422
25.21,9.59,7.94,1.86,1.22,1.58,0.98,1.08,56.24,3.16,423
25.16,9.62,8.15,1.81,1.07,1.52,1.03,1.34,58.61,3.24,424
24.92,9.41,8.0,1.67,1.22,1.8,1.09,1.18,58.24,3.34,425
25.38,9.54,8.3,2.02,1.26,2.01,1.02,0.98,58.13,2.67,426
25.53,10.16,7.93,1.9,0.98,2.11,0.9,1.05,58.59,3.32,427
25.38,9.67,9.26,2.03,1.13,2.2,1.18,0.85,58.38,3.15,428
25.28,9.51,7.87,2.08,1.29,2.14,1.24,1.08,58.32,3.24,429
25.43,9.69,7.89,1.58,1.21,1.78,1.04,1.01,58.03,2.33,430
25.4,9.68,10.15,2.3,0.82,2.4,0.95,1.33,58.15,2.96,431
25.67,9.5,8.67,1.78,1.04,2.34,1.26,1.3,58.61,2.99,432
25.56,9.36,6.74,2.01,1.11,2.09,1.42,1.4,58.65,3.02,433
25.22,9.14,8.32,1.77,1.2,2.34,1.25,1.25,58.18,3.54,434
19.69,9.63,7.22,2.33,2.14,1.67,1.35,0.86,58.17,3.04,435
25.28,9.48,8.57,2.04,1.32,1.72,1.3,1.2,58.23,3.4,436
25.04,9.76,9.33,1.96,1.04,2.13,1.09,1.12,58.15,3.19,437
25.39,9.38,3.66,2.18,1.17,1.75,1.29,1.2,58.43,3.35,438
25.8,10.19,9.28,2.02,1.17,1.9,1.17,1.15,58.07,3.21,439
25.43,9.26,7.7,1.96,1.02,1.94,1.02,1.33,58.29,3.17,440
25.3,9.55,7.5,1.77,1.36,1.68,1.15,1.19,58.36,2.5,441
25.42,9.9,7.99,1.86,1.39,1.81,1.14,1.14,46.14,2.76,442
25.46,9.39,9.82,1.77,1.24,1.88,1.0,0.77,46.03,3.43,443
25.12,8.95,9.64,1.85,1.42,1.86,1.15,1.01,45.79,2.97,444
30.93,9.78,7.77,1.92,1.59,1.96,0.93,1.13,46.2,2.91,445
30.99,9.66,7.29,1.96,1.37,2.19,1.31,1.48,46.05,2.86,446
31.3,9.76,9.55,2.01,1.24,1.87,1.3,1.13,46.19,3.12,447
30.74,8.76,8.75,1.83,1.31,2.08,1.02,1.06,46.0,2.89,448
30.62,8.59,6.63,2.87,1.34,1.7,0.85,0.96,41.97,2.8,449
31.39,8.85,9.34,1.75,1.4,1.89,1.26,0.8,45.94,2.8,450
28.24,9.21,9.04,1.8,2.16,1.92,1.04,1.01,45.79,2.79,451
30.79,8.65,7.99,1.92,1.55,1.7,0.77,1.0,45.91,3.05,452
31.12,9.22,9.19,2.1,0.88,1.99,1.43,1.13,46.14,2.35,453
30.72,8.65,8.25,1.77,1.27,1.75,1.19,1.12,45.84,2.86,454
30.8,8.74,10.35,1.91,1.21,1.74,1.14,0.97,46.05,2.85,455
30.95,8.8,8.88,1.94,1.18,1.97,1.15,1.34,45.8,3.16,456
31.04,8.81,9.99,1.96,1.33,1.99,1.09,0.86,45.61,2.52,457
30.85,8.77,8.0,2.1,1.02,2.14,0.65,1.04,46.17,3.09,458
31.07,9.11,8.88,1.89,1.39,1.82,0.88,1.12,45.74,2.74,459
30.79,8.81,6.75,1.83,1.44,2.04,1.24,1.08,46.0,2.81,460
30.66,9.2,6.97,2.18,1.17,1.88,0.79,1.24,45.9,2.89,461
30.84,9.23,8.98,2.08,1.37,2.19,1.03,1.27,45.9,3.03,462
30.77,8.89,5.63,2.0,1.3,1.8,0.97,0.88,45.87,2.88,463
30.93,8.83,6.84,1.97,1.26,2.02,1.25,1.24,45.78,3.19,464
31.03,9.08,6.85,1.76,1.26,1.91,1.12,1.23,45.63,3.28,465
30.51,8.95,6.94,2.29,1.75,1.4,1.07,0.95,45.54,3.02,466
31.18,8.98,6.97,2.2,1.25,1.26,1.35,0.45,45.39,3.38,467
31.04,8.65,7.64,1.93,1.36,2.96,0.77,1.22,45.48,2.84,468
30.62,8.96,6.93,1.95,0.88,1.7,1.34,1.08,45.62,3.27,469
34.57,8.98,7.12,1.87,1.26,1.58,0.99,1.13,45.59,3.15,470
34.37,8.62,7.09,1.88,1.28,1.99,1.46,0.93,45.48,3.16,471
34.45,8.4,5.85,1.89,1.23,1.57,0.94,1.24,45.41,3.16,472
34.52,9.24,6.93,2.01,1.36,1.25,1.07,0.96,45.38,3.23,473
34.41,8.58,6.8,1.05,1.3,1.67,0.78,1.34,45.19,3.47,474
34.65,9.44,6.68,2.01,1.21,1.43,1.34,0.89,45.55,3.02,475
34.06,12.21,7.27,2.37,1.69,1.54,1.22,1.18,45.5,3.16,476
34.36,12.03,7.18,1.75,1.24,1.55,1.24,1.66,45.41,2.99,477
34.44,11.7,7.45,1.86,1.5,1.33,1.14,0.83,45.58,3.31,478
34.42,11.95,7.5,2.07,1.32,1.26,1.18,1.1,45.73,2.9,479
34.52,12.11,7.18,1.95,0.88,1.31,0.87,1.38,45.59,3.25,480
34.75,11.59,7.2,1.85,0.86,1.46,1.0,1.32,45.49,3.16,481
34.44,11.87,7.39,2.32,1.12,1.64,1.37,1.28,45.58,2.57,482
34.44,11.92,7.54,1.7,1.11,1.76,0.97,1.35,45.92,2.92,483
34.42,12.2,6.95,1.9,0.89,1.56,1.31,1.33,45.61,2.81,484
34.38,11.94,7.39,1.82,0.85,1.36,1.07,1.53,45.48,2.61,485
34.52,11.57,6.96,2.22,1.01,1.48,1.33,0.9,52.46,2.98,486
34.5,12.04,7.16,2.06,0.97,1.28,1.19,1.26,51.6,2.61,487
34.65,11.88,7.17,2.06,0.8,1.43,1.22,1.44,50.54,2.77,488
34.55,11.5,7.56,1.86,0.96,1.02,1.31,1.41,49.73,2.82,489
34.52,12.08,7.49,1.93,1.01,1.83,1.08,1.58,51.32,1.63,490
34.18,11.59,7.43,1.99,0.75,1.56,1.07,1.35,51.82,2.66,491
34.52,11.61,6.93,1.84,0.78,1.3,1.73,1.14,51.16,2.64,492
34.64,12.05,7.56,1.49,0.74,1.45,0.97,1.24,51.45,2.77,493
34.55,12.21,7.66,1.7,0.85,1.33,1.44,1.55,52.11,2.79,494
24.88,11.68,7.27,1.74,1.01,1.99,1.32,1.36,51.52,2.58,495
25.25,11.55,7.65,1.6,0.73,1.43,1.21,1.6,49.68,2.65,496
25.1,11.77,6.92,1.87,0.84,1.92,0.98,1.39,52.27,2.82,497
25.31,11.93,7.33,1.8,0.66,1.59,1.19,1.43,49.82,2.82,498
25.09,12.21,7.54,1.68,0.88,1.43,1.2,1.46,51.84,2.82,499
25.36,11.65,7.71,1.68,1.51,2.06,1.21,1.18,51.89,2.73,500
25.47,12.21,7.54,1.67,1.07,1.19,1.1,1.04,53.67,3.09,501
25.11,11.67,7.8,1.47,1.04,1.33,2.33,1.41,51.03,2.43,502
25.3,11.29,7.84,1.54,1.43,1.97,1.2,1.4,50.95,2.9,503
25.0,11.28,8.08,1.85,1.12,2.07,0.84,1.07,49.97,3.3,504
