response_time,norm_time
0.208,493.948
0.233,494.625
0.192,495.203
0.27,495.699
0.236,496.488
0.31,497.131
0.192,497.792
0.185,498.543
0.306,499.109
0.189,499.617
0.239,500.018
0.235,500.499
0.218,501.189
0.277,501.751
0.283,502.434
0.181,502.882
0.231,503.29
0.332,503.813
0.31,504.758
0.204,505.253
0.278,505.961
0.242,506.82
0.283,507.899
0.3,508.595
0.212,508.903
0.215,509.305
0.232,509.67
0.302,509.876
0.131,510.735
0.253,511.624
0.24,512.244
0.255,512.893
0.185,513.396
0.131,514.091
0.3,514.782
0.283,515.773
0.254,516.359
0.275,517.22
0.133,517.585
0.142,518.018
0.251,518.971
0.2,519.733
0.263,520.313
0.208,521.463
0.281,521.992
0.252,522.592
0.337,523.081
0.203,523.764
0.294,524.462
0.176,525.188
0.166,525.841
0.185,526.564
0.271,526.808
0.192,527.556
0.163,528.024
0.287,528.839
0.249,529.5
0.3,530.325
0.352,530.998
0.162,531.854
0.217,532.619
0.185,533.41
0.336,534.184
0.267,534.956
0.359,535.478
0.302,536.015
0.209,537.077
0.212,537.641
0.19,538.584
0.272,539.195
0.232,539.695
0.244,540.118
0.248,540.81
0.242,541.47
0.241,541.871
0.18,542.315
0.231,542.922
0.238,543.428
0.255,544.034
0.258,544.43
0.25,545.001
0.283,545.907
0.175,546.539
0.404,547.072
0.269,547.664
0.235,548.192
0.291,548.817
0.212,549.264
0.142,549.669
0.225,550.018
0.241,550.475
0.265,551.147
0.213,551.769
0.143,552.293
0.344,552.74
0.286,553.257
0.201,553.916
0.237,554.46
0.186,555.333
0.145,556.22
0.301,557.152
0.197,557.863
0.262,558.422
0.28,559.317
0.27,559.996
0.233,560.81
0.166,561.576
0.253,562.029
0.241,562.613
0.235,563.125
0.149,563.685
0.179,564.453
0.2,565.344
0.207,566.376
0.21,567.126
0.36,567.753
0.164,568.377
0.27,568.624
0.217,569.282
0.285,569.921
0.174,570.642
0.24,571.13
0.185,571.915
0.167,572.567
0.349,573.249
0.182,574.064
0.29,574.456
0.31,575.473
0.214,576.253
0.284,576.899
0.241,577.431
0.275,578.095
0.313,579.001
0.264,579.685
0.267,580.496
0.192,581.125
0.328,581.662
0.192,582.035
0.163,582.47
0.194,583.115
0.22,583.959
0.25,584.995
0.25,585.959
0.198,586.591
0.132,587.329
0.266,587.923
0.207,588.839
0.181,589.48
0.232,590.236
0.275,591.045
0.261,591.566
0.161,591.963
0.289,592.61
0.25,593.132
0.174,593.835
0.186,594.609
0.287,595.127
0.299,595.629
0.254,596.218
0.267,596.971
0.19,597.75
0.277,598.197
0.24,599.184
0.311,600.0
0.171,600.9
0.18,601.588
0.207,602.29
0.199,602.95
0.209,603.379
0.28,604.042
0.284,604.788
0.252,605.297
0.299,605.988
0.19,606.78
0.136,607.42
0.261,607.971
0.192,608.484
0.226,609.397
0.248,609.943
0.216,610.663
0.241,611.195
0.262,611.855
0.26,612.731
0.237,613.315
0.26,613.926
0.144,614.45
0.265,615.081
0.284,615.875
0.294,616.529
0.189,617.188
0.189,617.729
0.286,618.25
0.169,618.852
0.248,619.429
0.249,620.241
0.248,620.831
0.246,621.689
0.218,622.855
0.191,623.146
0.251,623.711
0.232,624.331
0.197,625.028
0.224,626.174
0.325,627.023
0.288,628.115
0.193,628.376
0.274,628.948
0.234,629.555
0.163,630.443
0.37,631.091
0.288,631.976
0.281,632.327
0.273,633.451
0.358,633.975
0.161,634.812
0.149,635.313
0.186,635.972
0.311,636.372
0.257,637.233
0.26,638.068
0.295,638.561
0.238,639.296
0.174,640.095
0.28,640.455
0.265,641.186
0.224,641.919
0.326,642.682
0.288,643.389
0.21,643.958
0.237,644.631
0.175,645.101
0.305,645.679
0.274,646.372
0.259,646.882
0.287,647.501
0.256,648.009
0.299,648.548
