response_time,norm_time
0.19,376.192
0.251,376.718
0.117,377.146
0.154,377.741
0.153,378.017
0.127,378.413
0.16,378.819
0.151,379.336
0.138,379.939
0.195,380.24
0.156,380.571
0.222,381.07
0.225,381.383
0.246,381.831
0.276,382.257
0.159,382.777
0.232,383.35
0.165,383.769
0.191,384.358
0.149,384.822
0.125,385.261
0.186,385.719
0.218,386.334
0.277,386.846
0.175,387.318
0.225,387.775
0.158,388.438
0.157,388.888
0.18,389.39
0.119,389.988
0.264,390.285
0.132,390.764
0.191,391.256
0.169,391.74
0.128,392.343
0.151,392.826
0.194,393.238
0.13,393.62
0.173,394.186
0.227,394.707
0.274,395.003
0.141,395.299
0.123,395.817
0.186,396.596
0.212,397.288
0.188,397.519
0.158,398.094
0.214,398.606
0.121,399.069
0.239,399.483
0.217,399.778
0.131,400.304
0.283,400.785
0.183,401.167
0.228,401.473
0.194,402.083
0.234,402.639
0.21,403.058
0.154,403.612
0.133,404.347
0.223,404.918
0.211,405.33
0.22,405.662
0.238,406.161
0.217,406.865
0.168,407.14
0.109,407.48
0.134,407.984
0.21,408.45
0.174,408.92
0.209,409.487
0.193,409.966
0.13,410.477
0.185,410.977
0.133,411.226
0.11,411.47
0.11,411.942
0.233,412.66
0.135,413.278
0.191,413.864
0.267,414.465
0.216,414.828
0.213,415.337
0.253,415.935
0.187,416.369
0.187,416.769
0.222,417.04
0.199,417.375
0.17,417.747
0.232,418.278
0.243,418.591
0.161,418.887
0.247,419.291
0.185,419.619
0.166,420.024
0.215,420.363
0.142,420.947
0.219,421.451
0.139,421.907
0.203,422.406
0.21,422.777
0.19,423.338
0.199,423.757
0.223,424.29
0.196,424.638
0.222,425.308
0.157,425.858
0.148,426.347
0.109,426.848
0.205,427.126
0.189,427.818
0.166,428.388
0.221,428.82
0.275,429.131
0.256,429.545
0.136,429.863
0.169,430.379
0.157,430.812
0.23,431.368
0.181,431.933
0.187,432.368
0.139,432.769
0.166,433.257
0.252,433.657
0.223,434.053
0.111,434.483
0.24,434.875
0.145,435.317
0.21,435.795
0.229,436.248
0.125,436.793
0.152,437.144
0.19,437.471
0.202,437.859
0.117,438.296
0.207,438.849
0.266,439.234
0.183,439.686
0.155,440.214
0.23,440.561
0.211,441.019
0.249,441.549
0.197,442.027
0.277,442.657
0.136,443.065
0.146,443.406
0.147,443.808
0.22,444.336
0.26,444.692
0.215,445.151
0.205,445.465
0.214,445.768
0.145,446.234
0.202,446.586
0.203,447.115
0.217,447.417
0.289,448.075
0.188,448.622
0.11,449.194
0.224,449.858
0.145,450.144
0.178,450.583
0.134,450.889
0.171,451.394
0.179,451.741
0.227,452.251
0.22,452.848
0.225,453.404
0.183,453.772
0.175,454.165
0.141,454.623
0.199,454.958
0.197,455.391
0.116,455.804
0.158,456.118
0.216,456.588
0.226,457.0
0.193,457.449
0.163,457.714
0.21,458.239
0.199,458.735
0.242,459.179
0.2,459.552
0.208,459.967
0.162,460.493
0.235,461.059
0.18,461.601
0.121,461.984
0.243,462.586
0.194,462.944
0.178,463.438
0.203,463.875
0.235,464.223
0.205,464.653
0.209,465.19
0.121,465.724
0.201,466.463
0.17,466.819
0.165,467.097
0.256,467.485
0.114,467.78
0.238,468.037
0.178,468.603
0.241,468.855
0.218,469.327
0.129,469.87
0.203,470.372
0.193,470.886
0.221,471.246
0.237,471.774
0.11,472.437
0.218,472.668
0.269,473.099
0.216,473.522
0.212,474.141
0.191,474.388
0.222,474.617
0.193,475.245
0.203,475.778
0.123,476.128
0.192,476.676
0.225,477.276
0.168,477.924
0.158,478.502
0.137,478.951
0.162,479.494
0.208,480.023
0.283,480.429
0.2,480.821
0.249,481.394
0.135,481.902
0.134,482.279
0.247,482.923
0.163,483.517
0.186,483.801
0.113,484.243
0.218,484.623
0.253,484.934
0.247,485.333
0.207,485.883
0.181,486.235
0.181,486.546
0.139,486.954
0.247,487.184
0.217,487.931
0.137,488.375
0.164,488.798
0.246,489.16
0.134,489.545
0.139,489.79
0.233,490.273
0.186,490.801
0.161,491.157
0.231,491.702
0.176,491.995
0.236,492.603
0.146,493.229
0.19,493.537
0.166,493.908
0.267,494.34
0.243,494.775
0.141,495.01
0.182,495.499
0.185,495.889
0.235,496.545
0.215,497.0
0.19,497.582
0.151,498.091
0.179,498.621
0.243,499.151
0.242,499.479
0.235,499.93
0.213,500.484
0.224,500.95
0.15,501.403
0.211,501.967
0.228,502.578
0.144,502.792
0.161,503.113
0.207,503.438
0.144,503.894
0.146,504.411
0.192,504.552
0.141,505.029
0.182,505.621
0.211,505.843
0.156,506.502
0.172,506.903
0.263,507.338
0.222,507.607
0.19,508.397
0.208,508.669
0.166,508.871
0.214,509.472
0.135,509.91
0.122,510.484
0.143,510.887
0.157,511.401
0.16,511.627
0.263,512.159
0.233,512.48
0.157,512.87
0.139,513.347
0.189,513.761
0.132,514.351
0.177,514.761
0.175,515.132
0.207,515.486
0.226,515.84
0.215,516.085
0.132,516.508
0.237,516.901
0.221,517.504
0.216,517.947
0.22,518.481
0.184,518.911
0.117,519.263
0.118,519.689
0.122,520.139
0.166,520.678
0.22,521.07
0.141,521.554
0.218,521.951
0.194,522.428
0.179,522.794
0.164,523.242
0.281,523.622
0.179,523.972
0.134,524.604
0.217,525.216
0.212,525.803
0.2,526.179
0.135,526.499
0.189,526.888
0.251,527.39
0.129,527.697
0.176,528.128
0.218,528.446
0.13,528.856
0.191,529.479
0.24,530.107
0.165,530.515
0.186,530.993
0.221,531.623
0.157,532.011
0.181,532.45
0.197,532.917
0.228,533.374
0.287,533.938
0.255,534.21
0.209,534.625
0.254,534.935
0.228,535.443
0.248,535.955
0.155,536.486
0.203,537.094
0.172,537.486
0.201,537.758
0.203,538.291
0.208,538.63
0.194,538.974
0.145,539.405
0.135,539.912
0.197,540.321
0.166,540.572
0.137,540.881
0.114,541.527
0.116,542.033
0.189,542.53
0.196,542.844
0.202,543.212
0.221,543.589
0.208,544.281
0.175,544.538
0.211,545.101
0.176,545.464
0.134,545.82
0.206,546.24
0.249,546.689
0.132,547.022
0.244,547.407
0.21,547.839
0.143,548.375
0.261,548.784
0.247,549.429
0.236,549.719
0.166,550.041
0.2,550.434
0.208,551.082
0.154,551.559
0.261,552.198
0.287,552.691
0.192,553.071
0.169,553.452
0.196,553.693
0.222,554.268
0.139,554.774
0.201,555.182
0.11,555.608
0.211,556.102
0.106,556.511
0.193,557.039
0.203,557.322
0.225,557.802
0.147,558.315
0.227,558.756
0.19,559.228
0.175,559.722
0.215,560.078
0.159,560.776
0.137,561.244
0.242,561.576
0.175,561.874
0.239,562.11
0.142,562.754
0.132,563.35
0.143,563.993
0.233,564.564
0.13,565.149
0.196,565.606
0.202,565.983
0.209,566.498
0.146,566.989
0.212,567.439
0.188,567.975
0.228,568.519
0.226,569.081
0.228,569.525
0.251,569.942
0.157,570.31
0.148,570.713
0.111,571.175
0.181,571.511
0.135,571.876
0.187,572.24
0.17,573.059
0.261,573.699
0.146,574.183
0.241,574.469
0.118,574.861
0.163,575.215
0.253,575.582
0.194,575.998
0.175,576.455
0.268,576.63
0.161,577.323
0.18,577.762
0.225,578.295
0.173,578.497
0.163,578.955
0.141,579.381
0.112,579.997
0.123,580.59
0.26,581.004
0.159,581.593
0.218,582.048
0.161,582.822
0.161,583.021
0.119,583.491
0.144,583.9
0.261,584.486
0.134,584.958
0.2,585.251
0.245,585.748
0.208,586.182
0.124,586.848
0.183,587.274
0.208,587.543
0.194,587.939
0.158,588.292
0.162,588.775
0.17,589.164
0.181,589.675
0.216,589.987
0.245,590.53
0.189,590.937
0.175,591.637
0.148,591.98
0.205,592.603
0.165,593.03
0.188,593.484
0.144,593.984
0.227,594.448
0.206,594.928
0.209,595.285
0.192,595.944
0.195,596.349
0.176,596.649
0.232,597.011
0.216,597.654
0.167,598.177
0.172,598.745
0.23,599.251
0.156,599.704
0.137,600.13
0.229,600.538
0.183,600.728
0.168,601.034
0.146,601.468
0.138,601.978
0.121,602.398
0.211,602.722
0.204,603.117
0.251,603.432
0.226,604.067
0.165,604.559
0.128,604.891
0.247,605.423
0.246,606.116
0.186,606.711
0.186,607.187
0.154,607.778
0.159,608.036
0.186,608.45
0.151,608.831
0.166,609.214
0.132,609.848
0.234,610.284
0.136,610.805
0.186,611.087
0.175,611.692
0.183,611.945
0.149,612.235
0.181,612.698
0.193,613.371
0.305,613.697
0.216,613.926
0.225,614.201
0.212,614.737
0.212,615.134
0.148,615.517
0.134,616.025
0.147,616.446
0.239,616.916
0.184,617.507
0.125,617.874
0.18,618.652
0.165,619.278
0.138,619.698
0.138,620.046
0.18,620.445
0.127,620.841
0.161,621.389
0.218,621.643
0.232,621.879
0.151,622.203
0.223,622.694
0.225,623.205
0.22,623.734
0.224,624.321
0.236,624.664
0.239,625.002
0.195,625.357
0.146,625.896
0.284,626.346
0.177,626.782
0.232,627.345
0.163,627.652
0.148,628.078
0.256,628.527
0.209,628.778
0.252,629.217
0.166,629.774
0.234,630.286
0.108,630.81
0.208,631.188
0.174,631.672
0.181,632.178
0.25,632.711
0.24,633.004
0.205,633.5
0.166,633.817
0.126,634.2
0.205,634.776
0.154,635.14
0.169,635.608
0.182,635.832
0.201,636.229
0.121,636.762
0.178,637.295
0.178,637.718
0.173,638.106
0.216,638.514
0.205,638.822
0.12,639.116
0.173,639.768
0.208,640.5
0.162,640.895
0.232,641.331
0.113,641.608
0.248,642.15
0.122,642.592
0.19,642.974
0.222,643.577
0.175,643.931
0.166,644.503
0.181,644.958
0.139,645.26
0.168,645.662
0.204,646.334
0.186,646.756
0.155,647.23
0.135,647.712
0.214,648.223
0.201,648.608
0.314,648.86
0.139,649.369
0.199,649.84
0.234,650.388
0.139,650.794
0.13,651.564
0.242,651.972
0.163,652.231
0.162,652.663
0.214,653.325
0.186,653.993
0.12,654.415
0.228,654.92
0.171,655.271
0.252,655.769
0.184,656.416
0.146,656.896
0.197,657.09
0.247,657.648
0.219,658.055
0.234,658.624
0.141,659.052
0.186,659.488
0.107,660.166
0.19,660.626
0.118,660.875
0.169,661.525
0.139,662.006
0.232,662.641
0.207,662.963
0.163,663.442
0.221,663.871
0.148,664.596
0.23,665.247
0.171,665.714
0.251,666.212
0.171,666.644
0.236,667.135
0.169,667.621
0.155,667.992
0.154,668.478
0.204,669.1
0.197,669.863
0.144,670.327
0.196,670.627
0.107,670.859
0.237,671.37
0.178,671.904
0.155,672.482
0.168,673.03
0.117,673.513
0.266,673.983
0.18,674.398
0.209,674.852
0.122,675.324
0.22,675.853
0.167,676.049
0.199,676.797
0.184,677.48
0.221,678.207
0.231,678.671
0.19,679.07
0.316,679.601
0.147,680.063
0.177,680.348
0.179,680.794
0.237,681.281
0.131,681.703
0.15,682.324
0.203,683.074
0.223,683.65
0.199,684.191
0.245,684.676
0.229,685.351
0.199,686.005
0.247,686.559
0.245,686.923
0.174,687.399
0.2,687.959
0.168,688.387
0.129,688.713
0.241,689.221
0.181,689.631
0.231,690.024
0.228,690.534
0.249,690.881
0.218,691.321
0.209,691.97
0.23,692.488
0.202,692.932
0.186,693.4
0.162,693.802
0.131,694.497
0.145,694.918
0.142,695.369
0.142,695.796
0.197,696.264
0.228,696.814
0.208,697.209
0.204,697.65
0.143,698.056
0.232,698.377
0.15,698.688
0.164,699.275
0.159,699.441
0.143,699.662
0.226,699.933
0.147,700.4
0.229,700.977
0.143,701.588
0.166,701.964
0.238,702.421
0.218,702.909
0.154,703.483
0.224,703.909
0.239,704.438
0.169,704.923
0.194,705.297
0.208,705.678
0.239,706.08
0.186,706.377
0.151,706.859
0.122,707.248
0.138,707.68
0.238,708.042
0.21,708.379
0.209,708.867
0.237,709.29
0.17,709.652
0.144,709.97
0.164,710.342
0.253,711.157
0.202,711.796
0.125,712.289
0.119,712.717
0.194,713.127
0.206,713.604
0.219,714.045
0.157,714.421
0.174,714.981
0.143,715.275
0.242,715.805
0.185,716.423
0.142,716.722
0.143,717.236
0.209,717.823
0.109,718.284
0.249,718.709
0.279,719.027
0.145,719.46
0.227,720.094
0.212,720.643
0.204,721.092
0.142,721.425
0.179,721.968
0.225,722.321
0.164,722.794
0.202,723.43
0.176,723.848
0.165,724.265
0.165,724.763
0.174,725.271
0.13,725.539
0.162,725.871
0.159,726.218
0.134,726.895
0.144,727.391
0.163,727.891
0.173,728.471
0.162,728.957
0.205,729.383
0.184,729.923
0.158,730.277
0.136,730.623
0.262,730.982
0.261,731.385
0.139,731.761
0.138,732.158
0.144,732.429
0.129,732.804
0.169,733.238
0.22,733.686
0.205,734.071
0.245,734.411
0.234,734.701
0.198,735.242
0.224,735.862
0.147,736.521
0.212,737.011
0.167,737.334
0.174,737.68
0.174,738.279
0.195,738.645
0.21,739.083
0.136,739.638
0.192,740.091
0.184,740.445
0.214,740.986
0.159,741.578
0.272,742.215
0.271,742.617
0.17,743.095
0.135,743.552
0.194,744.111
0.154,744.717
0.226,745.339
0.144,745.751
0.179,746.128
0.121,746.59
0.219,747.121
0.225,747.488
0.192,748.024
0.224,748.674
0.131,749.12
0.183,749.282
0.167,749.454
0.149,749.929
0.186,750.358
0.173,751.057
0.144,751.61
0.162,751.94
0.121,752.404
0.276,752.954
0.238,753.476
0.254,753.944
0.185,754.554
0.217,755.075
0.144,755.477
0.138,755.793
0.189,756.168
0.238,756.675
0.159,757.239
0.115,757.714
0.229,758.114
0.238,758.681
0.185,759.116
0.2,759.533
0.212,759.889
0.159,760.368
0.177,760.877
0.155,761.57
0.255,761.966
0.206,762.377
0.201,762.982
0.219,763.403
0.133,763.8
0.203,764.193
0.243,764.511
0.136,764.945
0.175,765.359
0.177,765.888
0.16,766.169
0.113,766.64
0.166,767.041
0.176,767.555
0.279,768.149
0.13,768.858
0.138,769.434
0.188,769.916
0.235,770.614
0.153,770.922
0.157,771.519
0.115,771.968
0.177,772.604
0.231,773.031
0.173,773.527
0.251,774.051
0.201,774.368
0.203,774.782
0.167,775.166
0.194,775.648
0.139,775.906
0.16,776.319
0.155,776.863
0.19,777.364
0.201,777.733
0.17,778.167
0.218,778.423
0.18,778.974
0.209,779.356
0.251,779.705
0.144,779.921
0.211,780.44
0.169,781.114
0.131,781.467
0.168,781.801
0.252,782.402
0.158,782.887
0.169,783.286
0.24,783.69
0.128,784.19
0.215,784.633
0.207,785.27
0.155,785.785
0.161,786.262
0.213,786.525
0.261,786.915
0.158,787.266
0.174,787.617
0.187,788.029
0.237,788.498
0.158,788.998
0.189,789.358
0.18,789.713
0.234,790.113
0.18,790.698
0.219,791.119
0.139,791.453
0.268,792.085
0.197,792.475
0.178,793.273
0.187,793.998
0.185,794.412
0.128,794.761
0.227,795.466
0.166,795.886
0.147,796.258
0.179,796.671
0.134,797.329
0.151,797.762
0.153,798.228
0.184,798.575
0.203,798.759
0.198,799.183
0.215,799.771
0.197,800.307
0.116,800.816
0.171,801.359
0.244,801.854
0.261,802.473
0.131,803.041
0.157,803.344
0.19,803.597
0.217,803.921
0.271,804.353
0.211,804.942
0.182,805.523
0.205,806.027
0.154,806.273
0.225,806.628
0.15,807.157
0.188,807.528
0.189,807.974
0.219,808.497
0.227,809.18
0.178,809.667
0.205,810.199
0.114,810.763
0.13,811.381
0.211,811.875
0.134,812.108
0.168,812.64
0.171,813.214
0.261,813.774
0.165,814.247
0.262,814.756
0.169,815.104
0.24,815.59
0.156,816.062
0.215,816.524
0.179,816.732
0.17,817.114
0.172,817.535
0.19,817.891
0.199,818.491
0.225,819.026
0.236,819.352
0.164,819.765
0.143,820.238
0.114,820.475
0.159,820.837
0.168,821.385
0.133,821.662
0.148,822.368
0.214,822.793
0.199,823.249
0.263,823.815
0.158,824.313
0.121,824.604
0.187,825.001
0.126,825.548
0.199,825.88
0.161,826.192
0.197,826.725
0.213,827.093
0.188,827.649
0.193,828.034
0.179,828.408
0.272,828.942
0.108,829.573
0.136,829.983
0.211,830.462
0.179,830.669
0.199,831.092
0.212,831.48
0.188,831.852
0.228,832.427
0.127,832.895
0.193,833.159
0.188,833.541
0.24,833.909
