cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
62,42,3.5,8,0,0,3,391
100,44,3.75,8,0,1,4,392
87,46,3.29,8,0,1,6,393
115,39,3.51,8,0,0,7,394
104,43,3.48,8,0,0,1,395
110,44,4.1,8,0,1,4,396
61,54,4.01,8,1,1,6,397
106,42,3.93,8,0,0,0,398
98,48,3.37,8,1,1,2,399
111,33,3.41,8,1,1,5,400
104,44,3.12,8,0,0,6,401
114,45,3.05,8,0,2,6,402
110,46,3.97,8,1,1,10,403
106,43,4.12,8,1,0,8,404
119,42,3.31,8,0,1,9,405
117,45,3.37,9,0,1,3,406
83,44,3.68,11,0,1,0,407
107,42,3.16,8,1,0,6,408
129,46,3.58,8,0,0,3,409
83,37,3.72,8,1,0,3,410
102,30,3.18,8,1,1,2,411
94,37,4.03,8,0,1,5,412
122,32,3.16,8,0,0,5,413
111,45,4.53,8,1,2,7,414
65,43,4.02,9,0,0,2,415
72,41,3.74,8,0,0,4,416
113,41,3.4,8,1,2,2,417
95,38,3.5,8,0,0,0,418
116,50,3.47,8,0,1,4,419
115,53,3.81,8,0,0,2,420
48,42,3.53,8,1,1,6,421
72,50,3.81,8,0,0,4,422
82,40,3.96,7,0,0,5,423
123,37,3.23,8,0,2,3,424
110,42,3.78,7,0,3,3,425
122,30,3.42,8,1,0,4,426
96,43,3.4,8,1,0,5,427
94,43,4.01,7,0,0,4,428
90,43,4.18,8,0,1,4,429
90,43,3.81,7,0,0,3,430
87,27,3.63,8,0,1,4,431
112,43,3.75,7,0,1,4,432
107,43,3.18,7,1,1,5,433
81,43,4.06,7,0,0,4,434
72,43,3.35,8,1,1,9,435
94,43,3.58,8,1,1,6,436
90,43,4.21,7,0,0,5,437
88,43,3.3,10,1,0,4,438
83,43,3.31,7,1,0,3,439
101,43,3.94,7,0,0,7,440
79,43,3.45,7,1,1,4,441
86,43,3.3,7,0,1,5,442
90,43,3.25,7,0,0,3,443
99,43,3.07,8,0,0,7,444
82,50,3.47,7,1,1,6,445
115,39,3.91,7,0,0,11,446
102,39,3.9,7,1,1,3,447
82,56,3.06,8,0,0,3,448
94,43,3.89,7,0,0,2,449
104,38,3.71,7,0,0,3,450
100,48,3.58,7,1,0,7,451
103,44,3.56,7,0,2,0,452
151,45,3.24,7,0,1,5,453
110,43,3.59,7,0,1,9,454
115,49,3.92,9,0,2,4,455
112,51,3.89,10,0,1,5,456
98,44,3.55,10,1,1,0,457
114,44,3.73,9,0,2,4,458
80,47,3.11,9,1,1,1,459
85,45,3.21,9,0,2,3,460
121,46,3.16,9,0,0,3,461
120,48,3.67,9,0,1,0,462
126,53,3.1,10,0,1,1,463
83,50,3.59,9,0,1,3,464
87,53,3.36,9,0,2,6,465
68,49,4.06,10,0,1,5,466
53,51,4.0,9,1,1,5,467
75,54,4.0,10,1,0,7,468
63,52,3.18,10,1,0,1,469
107,46,3.88,9,1,0,0,470
83,37,3.52,10,0,1,4,471
97,60,4.12,10,1,1,6,472
78,46,3.24,10,1,0,3,473
80,54,3.19,9,1,0,1,474
98,48,3.92,10,0,0,1,475
81,75,3.32,10,1,0,1,476
72,52,3.88,10,0,1,4,477
67,41,3.12,10,2,0,1,478
206,45,3.67,10,0,0,1,479
66,39,3.47,9,0,1,4,480
103,39,3.66,10,1,0,5,481
68,40,3.25,9,1,1,5,482
106,39,3.33,9,1,1,2,483
98,44,3.8,10,0,1,5,484
88,28,4.02,9,0,1,4,485
99,40,3.88,10,1,1,8,486
95,45,3.33,7,1,1,5,487
93,45,3.12,7,1,0,0,488
82,44,3.84,6,1,0,3,489
108,38,3.57,7,1,0,0,490
88,46,3.63,7,1,1,0,491
87,39,3.42,7,1,0,5,492
88,44,3.78,7,1,3,7,493
92,35,3.88,7,1,1,8,494
87,42,3.13,7,1,0,5,495
110,43,3.69,7,1,0,5,496
90,45,3.23,7,1,1,4,497
101,40,3.11,7,1,1,5,498
77,50,3.34,8,1,1,4,499
79,47,3.54,7,0,0,8,500
85,49,3.6,7,1,3,0,501
115,47,3.57,6,1,2,12,502
102,51,3.74,7,1,1,3,503
63,45,3.67,6,1,0,1,504
89,48,3.69,7,1,0,7,505
77,48,3.39,7,0,0,5,506
79,47,3.39,7,0,0,9,507
80,47,3.4,7,1,1,0,508
93,46,3.93,7,1,0,5,509
102,47,3.44,7,0,1,5,510
89,50,3.43,7,1,0,3,511
81,48,3.69,7,0,1,2,512
87,48,3.25,6,0,1,2,513
76,45,3.73,7,1,1,2,514
89,50,3.99,7,0,1,4,515
83,49,3.69,7,1,1,4,516
119,50,3.44,7,0,0,0,517
87,54,3.74,7,0,1,8,518
123,51,3.96,8,1,0,6,519
128,59,4.27,8,1,1,3,520
120,54,3.33,8,1,1,5,521
110,56,3.42,8,1,1,5,522
96,51,3.47,8,1,1,2,523
94,50,3.44,8,0,0,5,524
80,48,3.26,8,1,1,8,525
92,55,3.96,8,0,0,0,526
103,57,3.54,8,0,1,1,527
101,51,3.03,8,1,0,3,528
69,52,3.68,8,1,0,0,529
120,48,3.28,8,1,0,4,530
92,50,3.87,8,1,1,2,531
106,40,3.29,8,0,1,5,532
109,57,3.75,8,0,1,2,533
94,58,3.33,8,1,1,4,534
100,56,3.15,8,0,1,5,535
117,56,3.39,8,1,0,0,536
107,56,3.65,8,1,0,7,537
99,56,3.9,8,1,1,6,538
101,56,4.04,8,1,0,6,539
108,56,3.63,8,0,2,2,540
106,56,3.19,8,0,0,1,541
92,56,3.02,8,1,1,2,542
101,56,3.25,8,0,1,6,543
118,56,3.13,8,0,0,3,544
109,56,3.09,8,1,1,3,545
113,56,3.4,8,0,0,5,546
113,56,3.74,8,1,0,3,547
110,56,3.46,8,1,1,0,548
122,56,3.41,7,0,0,2,549
96,56,4.08,8,0,0,3,550
101,56,3.73,9,1,1,0,551
114,56,3.49,8,1,1,5,552
68,46,3.67,9,0,0,5,553
70,46,3.95,9,0,0,2,554
70,48,3.41,9,0,0,1,555
75,45,4.14,9,0,0,3,556
56,45,3.41,8,0,1,2,557
107,46,3.72,9,0,0,5,558
103,47,3.77,9,1,0,4,559
76,47,4.71,9,0,0,3,560
57,46,4.06,9,1,0,4,561
104,45,3.27,8,1,1,10,562
103,46,3.1,9,1,0,3,563
108,48,3.08,9,0,0,7,564
95,45,3.61,9,1,1,7,565
110,48,3.18,9,0,1,1,566
110,47,3.7,9,0,1,2,567
84,49,3.51,9,0,0,5,568
101,46,3.13,10,1,1,5,569
111,47,4.04,9,0,1,4,570
70,46,3.43,9,1,1,8,571
75,52,3.54,9,0,1,0,572
44,45,3.92,9,0,0,3,573
76,51,3.7,9,0,0,3,574
77,45,3.75,11,1,1,2,575
96,57,3.07,9,0,1,2,576
106,48,3.77,9,0,0,2,577
79,50,3.97,9,1,1,6,578
80,45,3.99,9,0,0,5,579
98,46,3.88,9,1,1,7,580
110,50,3.2,9,1,1,6,581
76,52,3.28,9,0,1,1,582
111,47,3.63,7,1,0,2,583
84,48,3.37,7,1,0,5,584
96,53,3.08,7,1,0,7,585
70,47,3.56,7,1,0,2,586
95,47,3.78,7,1,1,0,587
74,47,3.54,7,1,1,7,588
95,47,4.14,7,1,1,3,589
78,46,3.93,7,1,0,3,590
97,46,4.05,7,0,0,5,591
76,46,3.65,7,1,1,3,592
97,47,3.26,7,1,1,0,593
86,46,3.65,7,1,1,3,594
80,47,3.68,7,1,1,8,595
75,46,3.63,8,1,1,3,596
97,46,3.65,7,1,1,4,597
89,47,3.81,7,1,0,6,598
84,46,3.5,7,1,0,3,599
79,46,3.41,7,1,1,2,600
105,47,3.45,7,1,1,4,601
79,46,3.15,7,0,1,0,602
81,46,3.41,7,0,1,1,603
97,46,3.35,7,1,0,3,604
103,46,3.06,7,0,1,1,605
78,46,3.73,7,0,1,1,606
86,38,3.96,8,1,1,3,607
118,43,3.39,7,0,1,2,608
116,45,3.5,7,0,0,0,609
132,37,3.31,7,0,1,2,610
91,54,3.61,7,1,0,0,611
99,40,3.21,7,1,0,6,612
104,44,3.85,7,0,1,2,613
107,48,3.04,6,0,1,5,614
64,50,3.6,8,1,1,3,615
68,47,3.9,7,0,2,4,616
86,41,3.47,7,1,1,5,617
81,46,4.04,7,1,1,4,618
98,41,3.73,7,0,1,1,619
117,41,3.57,7,0,0,0,620
100,40,3.59,7,0,0,2,621
106,41,3.14,7,0,0,2,622
124,41,3.38,7,0,1,0,623
87,43,3.56,7,1,1,5,624
126,41,3.24,7,0,0,0,625
102,42,3.15,7,0,0,4,626
129,41,3.9,7,0,1,3,627
130,41,3.16,7,0,0,6,628
97,41,3.34,7,0,0,1,629
124,41,3.77,7,0,0,2,630
117,40,3.51,7,0,0,5,631
97,42,3.52,6,0,0,5,632
115,42,4.25,7,0,0,9,633
108,40,3.52,7,1,0,0,634
86,42,3.32,7,0,0,6,635
126,42,3.14,7,1,0,0,636
108,42,4.09,7,0,1,6,637
119,42,3.91,7,1,1,0,638
119,42,4.06,7,1,1,4,639
117,41,3.65,7,1,1,3,640
96,42,3.18,7,1,0,4,641
119,42,3.7,7,0,0,2,642
79,51,3.35,7,1,1,6,643
62,54,4.06,7,1,1,5,644
61,55,3.68,7,1,0,4,645
74,58,3.57,7,1,1,0,646
78,53,3.24,8,1,1,2,647
93,52,3.33,8,1,0,4,648
89,60,3.22,8,0,0,4,649
80,51,3.96,9,0,1,6,650
74,56,3.57,8,1,0,2,651
73,53,3.19,8,1,1,6,652
76,59,3.85,8,1,1,1,653
96,51,3.5,8,1,0,4,654
75,61,3.75,8,1,0,2,655
76,56,3.96,8,1,0,0,656
87,52,3.19,8,1,2,2,657
82,52,3.55,8,1,0,5,658
87,49,3.8,8,1,0,4,659
89,52,3.8,8,0,0,2,660
97,53,3.22,8,0,0,5,661
93,53,3.86,8,1,0,6,662
92,52,3.61,7,1,0,6,663
82,52,3.76,8,0,1,4,664
84,53,3.71,8,1,0,5,665
83,53,3.17,8,0,0,1,666
88,52,3.41,8,0,0,2,667
87,53,3.64,8,1,1,2,668
89,52,3.34,8,0,0,7,669
81,53,3.67,8,1,0,1,670
86,53,3.9,8,1,0,4,671
95,52,3.26,7,0,0,0,672
91,53,4.08,8,1,1,4,673
31,53,4.0,8,1,0,4,674
83,53,3.91,8,1,0,7,675
74,52,4.02,8,1,0,5,676
96,52,3.89,8,0,0,5,677
86,55,3.95,7,1,0,5,678
97,52,3.46,8,1,4,2,679
87,54,3.09,7,0,0,3,680
80,51,4.08,7,0,0,1,681
92,51,3.15,7,0,2,4,682
91,52,3.19,7,1,1,3,683
78,52,3.52,7,1,1,0,684
101,49,3.8,7,1,0,2,685
101,57,4.25,8,1,1,2,686
94,50,3.93,7,1,2,5,687
81,51,4.23,7,0,0,2,688
67,50,3.98,8,1,0,1,689
91,50,3.21,7,0,1,9,690
84,50,3.07,7,1,0,5,691
96,51,3.83,7,0,0,0,692
85,53,3.63,7,1,0,7,693
78,51,3.89,7,1,0,3,694
81,52,3.92,7,0,0,4,695
96,50,3.06,8,1,1,2,696
130,43,3.99,7,1,1,2,697
107,42,3.31,7,0,1,8,698
134,42,3.93,8,0,1,0,699
107,38,3.82,7,1,0,8,700
95,41,3.95,7,0,1,2,701
140,40,3.82,7,0,1,2,702
95,42,3.4,7,1,0,2,703
104,41,3.84,8,1,0,1,704
124,42,3.25,7,1,1,3,705
102,40,3.83,7,1,1,4,706
118,44,3.69,7,1,0,6,707
138,41,3.35,7,0,1,3,708
122,40,3.89,7,1,1,3,709
126,40,3.61,7,0,1,0,710
110,39,3.7,7,0,0,4,711
118,40,3.2,7,1,0,0,712
130,42,3.34,7,1,0,8,713
119,38,3.62,7,1,0,4,714
99,54,3.99,3,0,0,4,715
60,54,3.39,7,0,1,5,716
100,57,3.01,7,1,0,0,717
90,55,3.88,7,1,0,2,718
78,54,3.94,7,1,1,4,719
100,55,3.42,7,0,0,1,720
103,55,3.26,7,1,1,1,721
98,54,3.94,6,0,0,1,722
80,51,3.79,7,0,1,4,723
75,55,3.09,7,0,1,0,724
71,54,3.65,6,1,0,5,725
104,57,3.32,7,1,0,3,726
104,56,3.15,7,0,0,3,727
94,55,3.71,7,1,2,3,728
97,54,4.29,7,0,0,3,729
109,56,3.21,7,0,1,3,730
81,52,3.75,7,1,0,3,731
90,55,3.13,7,1,1,1,732
181,47,3.58,7,0,1,3,733
86,54,3.7,7,0,1,2,734
104,53,3.89,7,1,1,2,735
120,57,3.15,6,1,1,1,736
130,54,3.3,7,0,1,4,737
103,60,3.47,7,1,1,3,738
99,53,3.85,6,1,1,4,739
