core1,core2,core3,core4,mem,gpu,norm_ex_time
85.35,5.39,1.85,2.14,123.79,3.43,335
85.19,5.47,2.18,2.33,123.51,3.31,336
85.25,5.41,2.19,2.03,123.5,3.3,337
85.31,5.41,2.21,2.31,123.68,3.66,338
85.15,5.03,2.03,2.48,123.35,4.18,339
85.24,5.7,1.8,2.46,123.18,3.55,340
85.14,5.45,1.81,2.31,123.61,4.09,341
85.41,4.82,1.68,2.51,123.71,4.16,342
85.34,5.62,1.62,2.11,123.56,4.03,343
85.18,5.16,1.73,2.25,123.27,3.7,344
84.94,5.31,1.98,2.24,123.6,4.05,345
81.15,5.49,2.18,2.21,123.1,4.23,346
85.53,5.54,2.15,3.04,123.54,3.39,347
85.27,5.18,1.94,2.29,123.65,3.9,348
85.38,5.33,1.85,2.13,123.44,3.96,349
85.17,5.19,1.85,2.2,123.58,3.56,350
85.12,5.73,1.91,2.39,101.39,3.43,351
85.34,5.88,1.94,1.86,123.67,4.01,352
85.46,5.32,1.74,2.27,123.82,3.54,353
84.98,5.51,1.96,2.23,123.31,3.22,354
85.66,4.98,2.09,2.33,123.95,3.54,355
42.7,5.06,1.58,2.3,123.56,3.42,356
84.95,4.39,1.57,2.13,123.58,3.99,357
85.04,4.97,1.76,1.97,123.62,2.97,358
85.16,4.71,1.93,2.26,123.63,4.39,359
85.18,5.08,1.62,2.08,123.42,3.81,360
85.21,4.37,2.05,2.19,123.77,4.19,361
85.27,5.08,1.7,2.19,123.65,3.01,362
85.39,4.71,1.72,2.07,123.42,4.48,363
85.19,4.68,1.82,2.43,123.48,3.91,364
85.35,4.85,1.37,2.0,129.39,4.01,365
85.11,4.53,1.36,2.13,124.73,3.41,366
85.36,7.05,1.61,1.86,132.86,4.18,367
85.16,5.32,1.49,2.35,126.89,4.42,368
85.12,4.61,1.54,1.99,130.07,4.56,369
85.6,5.06,1.94,2.28,130.83,4.41,370
113.23,4.85,1.84,1.96,129.61,4.09,371
109.67,4.92,1.51,2.25,121.62,4.53,372
112.53,4.79,1.9,1.98,126.95,3.84,373
110.09,4.69,1.5,1.94,127.03,4.64,374
109.22,4.68,1.58,2.86,122.62,4.35,375
112.84,4.86,1.69,2.91,130.08,4.07,376
108.17,5.37,1.35,3.15,125.3,4.46,377
114.04,5.51,1.58,2.83,131.49,4.42,378
110.64,5.4,3.18,3.2,125.8,4.28,379
115.67,5.25,1.93,2.94,128.0,4.2,380
107.71,5.21,1.45,2.22,129.58,4.89,381
115.64,5.52,2.14,2.97,125.48,3.8,382
111.52,5.27,1.86,3.22,128.3,4.19,383
114.29,5.16,1.88,2.71,126.74,4.55,384
109.85,5.31,1.81,2.76,132.04,4.04,385
110.66,5.45,1.95,3.04,129.2,4.14,386
110.62,5.4,1.6,4.01,126.5,3.91,387
113.83,5.21,1.62,2.96,126.32,4.28,388
110.53,6.23,1.5,2.91,123.33,4.12,389
113.48,5.34,1.96,2.5,129.9,4.63,390
110.04,5.36,1.79,2.71,126.52,3.95,391
112.02,5.25,1.81,3.21,121.71,4.4,392
107.9,5.37,1.58,2.59,126.78,3.92,393
107.99,5.19,1.52,2.76,131.73,4.67,394
107.37,5.47,0.0,2.28,145.1,4.39,395
110.54,5.03,1.41,1.93,146.19,4.55,396
116.77,5.22,1.78,2.08,144.13,4.69,397
107.97,5.24,2.1,2.0,147.44,4.22,398
110.38,5.74,2.03,2.13,143.32,4.2,399
113.3,5.4,1.34,2.02,170.29,4.39,400
107.97,5.01,1.84,2.38,141.97,4.44,401
113.68,5.04,2.12,2.06,141.02,4.49,402
113.05,5.42,1.94,2.47,139.03,4.25,403
109.57,4.73,1.87,2.21,141.01,4.26,404
111.59,5.27,1.52,2.35,144.44,4.27,405
107.72,5.03,2.03,2.31,152.3,3.9,406
91.39,5.19,1.94,1.96,137.72,4.19,407
86.67,5.37,2.01,2.26,147.26,4.48,408
84.59,5.21,1.65,2.41,149.93,4.17,409
86.79,5.1,1.92,2.2,145.76,3.95,410
91.38,5.45,1.91,2.11,145.06,4.16,411
81.5,5.66,1.71,1.92,151.08,3.7,412
78.88,6.75,1.79,2.86,142.57,4.24,413
79.37,5.01,1.81,2.43,150.07,4.26,414
85.67,5.09,1.85,2.28,141.0,4.17,415
83.63,5.21,1.78,2.3,149.09,4.37,416
91.59,5.07,2.22,2.31,141.59,4.28,417
88.36,5.13,1.99,2.44,143.48,4.32,418
79.41,5.32,1.59,2.26,145.03,4.58,419
85.89,5.63,1.62,2.45,142.07,4.19,420
89.58,5.35,1.71,2.41,147.22,4.4,421
77.13,3.85,1.62,2.15,140.85,4.03,422
79.73,5.21,1.75,2.06,143.34,4.12,423
87.03,5.42,1.66,2.45,147.36,4.21,424
88.66,5.23,1.73,2.59,111.42,4.36,425
82.31,5.49,1.8,2.05,113.38,4.31,426
81.85,5.89,1.64,2.62,110.42,4.37,427
79.26,4.97,1.8,2.22,110.95,4.11,428
86.61,5.39,1.81,2.51,111.4,3.95,429
91.82,5.49,1.62,2.67,112.34,4.0,430
87.77,5.27,1.84,2.55,108.77,3.71,431
84.75,4.7,1.86,2.23,112.07,3.29,432
86.49,5.07,1.32,2.28,111.94,3.8,433
81.84,5.37,1.58,2.74,113.78,4.0,434
99.93,5.28,1.86,2.13,111.74,3.49,435
85.89,5.6,1.7,2.42,108.1,3.97,436
83.06,5.13,1.93,2.43,109.95,3.67,437
84.28,5.05,1.34,2.44,107.82,3.99,438
89.14,6.13,1.67,2.29,111.28,3.82,439
83.69,6.23,1.72,2.68,110.33,3.82,440
77.78,6.63,1.4,2.45,109.44,3.84,441
77.54,5.69,1.91,2.45,112.53,3.61,442
108.28,6.11,1.67,2.58,105.66,4.25,443
102.22,5.77,1.37,1.87,108.98,3.87,444
106.84,6.24,1.87,2.34,108.39,3.77,445
103.09,5.43,1.57,2.07,110.02,3.64,446
101.17,6.04,1.73,2.5,111.38,3.76,447
104.83,5.93,1.51,2.26,110.59,3.84,448
100.75,6.04,0.87,2.24,108.92,3.54,449
103.61,6.04,1.2,2.53,110.69,3.68,450
102.82,5.44,1.29,2.27,107.74,3.96,451
104.06,5.04,1.61,2.6,112.3,3.57,452
103.13,5.38,1.82,2.28,110.42,3.94,453
105.42,5.85,1.58,2.2,112.07,3.84,454
101.42,6.23,1.78,1.76,112.45,4.08,455
105.28,5.41,1.71,2.05,109.31,3.7,456
103.43,5.6,1.4,1.78,114.36,3.84,457
106.81,6.01,1.76,2.08,113.72,3.68,458
104.05,5.34,1.77,1.83,112.91,3.82,459
103.87,6.24,2.02,1.93,113.45,3.92,460
104.31,5.38,1.45,1.88,110.77,3.59,461
106.43,3.24,1.33,1.9,113.45,4.05,462
104.29,5.11,1.38,2.82,110.14,3.76,463
102.25,5.57,1.75,1.79,112.67,4.14,464
105.8,5.23,1.39,1.64,111.94,3.78,465
101.07,5.43,1.54,1.86,112.9,4.16,466
104.73,5.37,1.32,1.71,110.23,3.85,467
104.42,5.24,1.54,1.92,113.18,4.26,468
106.1,5.14,1.58,2.21,112.24,4.04,469
104.2,5.68,1.26,2.07,111.93,4.02,470
103.23,5.17,1.5,1.82,107.14,4.11,471
103.93,5.35,1.43,2.43,116.95,4.04,472
104.84,5.6,1.7,1.79,111.43,4.02,473
104.48,5.74,1.47,2.21,110.32,4.0,474
105.49,5.56,1.83,1.94,107.17,3.98,475
107.4,5.52,1.49,2.43,112.99,4.12,476
101.08,5.3,1.57,2.22,112.74,4.04,477
107.2,5.62,1.85,2.14,111.26,3.88,478
86.91,5.49,1.56,2.43,108.43,3.93,479
85.91,5.64,1.26,1.99,113.06,4.32,480
87.63,5.38,1.65,1.77,112.42,3.89,481
78.13,5.21,1.49,1.9,111.63,4.44,482
86.74,4.69,1.35,1.84,107.44,5.37,483
78.14,5.33,1.31,2.42,113.41,3.67,484
82.31,4.57,1.6,2.0,142.18,3.92,485
79.29,5.37,1.33,1.28,150.7,4.07,486
79.79,5.11,1.9,2.05,139.93,3.96,487
82.15,4.6,1.72,2.18,167.23,3.85,488
82.28,5.11,1.94,2.24,140.68,3.98,489
80.89,4.78,1.27,1.96,143.46,4.12,490
81.35,5.83,1.66,2.0,152.12,4.04,491
83.5,5.27,1.6,2.04,143.96,3.69,492
83.29,6.23,1.86,1.89,145.9,4.31,493
86.87,6.46,1.77,3.54,142.43,3.98,494
80.25,5.37,1.72,1.81,154.85,3.54,495
75.96,5.97,1.69,1.91,146.64,2.55,496
81.77,4.83,1.69,1.9,148.7,3.99,497
81.18,4.49,2.0,1.85,152.87,3.81,498
77.31,5.24,1.61,2.25,138.14,3.03,499
80.7,5.29,1.73,1.85,151.11,3.55,500
82.32,5.59,1.76,0.61,132.33,3.84,501
87.4,4.57,1.82,1.85,142.05,3.43,502
76.9,5.04,2.11,1.48,152.23,4.51,503
81.37,4.6,2.01,2.43,153.32,4.01,504
79.85,4.11,1.72,1.86,143.01,3.63,505
81.7,4.62,1.87,1.79,143.81,3.45,506
79.91,5.1,1.66,2.11,138.72,3.71,507
86.31,3.79,2.69,2.33,148.37,3.45,508
