core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
83.5,5.5,7.54,2.08,3.1,2.15,1.18,1.9,126.96,3.32,350
84.81,5.93,8.49,2.07,3.33,2.04,1.16,1.75,142.67,3.34,351
86.65,5.48,7.49,2.16,3.01,2.71,0.99,1.36,131.34,2.97,352
87.92,5.39,8.07,2.49,2.94,2.07,1.05,1.42,131.76,3.3,353
82.74,5.84,8.53,2.27,3.02,2.59,1.64,1.8,134.66,3.14,354
64.93,5.82,7.98,2.3,3.12,2.65,1.09,1.57,147.97,3.2,355
85.66,5.71,7.36,2.17,3.03,2.32,1.4,1.83,128.56,3.35,356
90.22,5.75,8.99,2.41,3.3,2.43,1.31,1.76,133.93,3.42,357
84.85,5.91,9.2,2.01,3.08,2.05,0.83,1.44,128.51,3.16,358
84.98,5.78,8.87,2.38,3.44,2.21,0.71,1.49,141.57,3.14,359
85.36,6.4,8.43,2.39,3.03,2.53,0.79,1.69,137.17,3.18,360
89.13,6.47,9.18,2.05,3.07,2.14,1.25,1.54,133.81,2.84,361
83.84,6.3,7.16,2.1,3.09,2.24,0.95,1.39,84.41,3.13,362
85.97,6.16,7.32,1.96,3.44,2.17,0.98,1.64,133.18,2.95,363
87.35,6.24,8.05,1.91,3.18,2.21,0.99,1.56,130.8,3.02,364
87.36,5.71,7.54,1.99,3.39,2.32,0.98,1.13,138.51,3.17,365
83.82,5.73,9.09,2.05,3.12,2.32,0.49,1.89,131.15,2.89,366
83.93,5.85,8.44,2.27,3.47,2.49,0.86,1.37,126.57,3.02,367
83.98,5.97,8.56,2.36,2.91,2.42,1.38,1.42,128.06,3.05,368
90.8,6.15,8.62,1.92,3.36,2.27,1.22,1.47,118.02,3.35,369
96.97,6.0,8.24,2.08,3.52,2.53,0.61,1.66,125.92,2.94,370
121.31,6.09,6.88,2.04,3.33,2.11,0.88,1.58,141.26,2.72,371
76.42,5.79,8.31,1.58,3.28,2.54,1.45,1.57,134.27,3.04,372
77.69,5.85,8.44,1.77,2.12,2.72,1.17,1.33,137.89,3.34,373
93.91,6.1,9.0,2.07,3.19,2.3,1.04,1.64,134.27,3.1,374
86.86,5.9,8.68,2.16,3.33,2.07,1.18,1.35,132.57,3.11,375
75.1,6.23,6.91,2.15,2.98,2.13,1.27,1.46,129.44,3.15,376
105.54,6.49,8.29,1.98,3.19,2.39,0.75,1.78,131.13,2.86,377
72.51,6.01,7.61,1.82,2.8,1.86,0.83,1.37,123.23,3.15,378
118.23,6.15,8.44,1.97,2.94,2.31,1.19,1.45,128.49,3.11,379
90.47,5.89,9.09,1.93,3.13,2.19,1.09,1.58,123.94,2.77,380
99.09,5.94,8.87,1.76,2.8,2.39,0.64,1.45,134.44,2.78,381
81.57,5.88,8.68,1.93,2.53,2.3,1.49,1.3,136.01,3.19,382
70.73,6.01,7.54,2.08,3.08,2.59,1.37,1.31,134.93,2.89,383
100.65,6.1,9.25,1.63,2.97,2.36,0.84,1.6,139.17,2.8,384
80.7,6.0,6.64,1.99,2.76,2.43,1.09,1.43,140.73,3.19,385
83.28,6.25,8.15,1.88,3.48,2.53,1.09,1.49,139.52,2.76,386
91.33,5.59,8.06,1.87,3.12,2.57,1.03,1.65,134.33,3.14,387
78.67,6.07,8.76,1.85,2.87,1.72,0.85,1.85,117.46,3.01,388
82.42,6.15,8.48,2.19,3.0,2.6,0.83,1.67,123.14,2.96,389
78.37,6.24,8.43,2.01,2.98,2.2,0.97,1.56,113.36,3.21,390
76.57,6.35,8.09,2.0,2.64,2.53,1.09,1.41,118.61,3.0,391
73.72,6.4,8.35,2.24,2.41,2.65,0.63,1.83,122.06,2.87,392
72.98,5.98,8.37,2.03,3.1,2.17,1.26,1.63,117.85,2.99,393
81.3,6.31,8.45,2.27,2.9,2.54,0.67,1.56,115.13,2.98,394
74.72,6.36,8.42,2.18,2.86,2.4,0.79,1.76,118.11,2.64,395
73.85,6.61,8.33,1.77,2.58,2.07,0.8,1.38,115.56,2.9,396
79.28,6.28,8.37,2.11,2.77,2.67,0.89,1.61,111.51,2.63,397
78.98,6.2,8.34,1.93,2.64,2.23,1.15,1.57,110.63,2.66,398
67.15,6.52,8.55,1.9,3.09,2.41,0.73,1.26,121.44,2.83,399
72.23,6.62,8.1,2.39,2.95,2.83,1.18,1.07,119.82,3.53,400
82.13,6.33,8.08,2.45,3.04,3.22,1.17,1.91,118.35,3.3,401
85.4,6.1,8.26,2.25,2.54,2.28,1.35,2.06,120.96,3.38,402
81.53,6.52,8.29,2.15,2.37,2.62,1.36,2.02,126.06,3.45,403
74.89,6.23,8.63,2.18,2.48,2.42,1.6,1.85,117.22,3.4,404
77.54,6.2,8.35,2.2,2.48,2.64,1.54,1.66,114.37,3.56,405
77.23,6.23,8.58,2.1,2.55,2.41,1.35,1.8,118.59,3.55,406
76.64,6.2,8.27,1.98,2.49,2.35,2.1,1.7,119.05,3.48,407
77.66,6.47,8.53,2.31,3.09,2.52,1.48,1.92,114.8,3.64,408
75.44,6.47,8.53,2.3,2.87,2.53,1.18,1.92,122.68,3.66,409
86.57,6.21,8.14,1.87,2.83,2.55,1.37,1.51,117.64,3.76,410
87.86,6.06,8.49,1.92,2.83,2.43,1.44,1.87,119.75,3.6,411
89.52,6.59,8.38,2.32,2.56,2.39,1.21,2.2,113.5,3.55,412
86.27,6.31,8.27,1.76,2.7,2.5,1.52,2.04,111.9,3.3,413
87.95,6.49,8.31,2.02,2.48,3.38,1.47,1.77,109.38,3.23,414
88.88,6.07,8.34,2.04,2.74,2.61,1.51,1.57,94.62,3.73,415
87.62,6.46,9.0,1.94,2.65,2.87,1.34,1.83,93.46,3.5,416
90.35,6.21,8.4,1.96,2.62,2.93,0.97,2.02,132.86,4.71,417
86.85,6.6,8.23,2.14,2.44,2.86,1.12,1.76,116.42,3.61,418
88.12,6.52,8.12,1.87,2.71,2.57,1.19,1.51,114.44,3.46,419
88.23,6.19,8.34,1.7,2.66,2.31,1.13,2.03,115.97,3.4,420
90.04,6.27,8.66,2.02,2.59,2.63,1.25,1.55,113.59,3.69,421
87.37,6.39,8.3,1.89,2.81,2.85,1.44,1.81,121.22,3.48,422
88.23,6.24,8.53,1.85,2.78,3.05,1.29,1.94,113.71,3.12,423
89.53,6.44,8.36,1.91,2.84,2.53,1.38,2.21,113.71,3.62,424
87.19,5.97,8.12,1.81,2.54,2.73,1.25,1.86,115.83,3.77,425
85.89,6.26,6.59,2.34,2.75,2.64,1.26,1.91,127.78,3.3,426
87.2,6.38,6.58,2.02,2.8,3.1,1.5,1.73,127.79,3.69,427
89.68,6.42,6.43,2.28,3.71,2.43,1.24,1.42,127.76,3.73,428
90.38,6.26,6.83,2.09,2.53,2.57,1.28,1.59,127.96,3.93,429
78.4,5.95,6.76,2.17,2.62,2.56,1.54,1.04,127.84,3.51,430
71.46,5.69,6.47,2.27,2.77,2.39,1.23,1.42,127.9,3.75,431
67.67,5.09,6.63,1.79,3.6,2.84,1.29,1.42,128.22,3.78,432
70.97,6.08,6.53,2.19,2.62,2.69,1.46,1.31,127.94,3.9,433
71.4,5.49,6.37,2.34,2.57,2.84,1.08,1.17,127.65,3.89,434
68.07,5.76,6.17,3.91,2.71,3.15,1.22,0.94,127.71,3.73,435
78.17,6.24,6.5,1.86,2.54,2.62,1.29,1.51,127.58,3.86,436
63.14,5.65,6.67,2.26,2.69,2.64,1.68,1.35,127.97,3.68,437
69.38,5.52,6.61,2.09,2.69,2.69,1.32,1.49,127.74,4.03,438
83.27,5.92,6.29,2.39,2.47,2.96,1.11,1.37,127.8,3.82,439
67.1,5.81,6.22,2.31,2.73,2.51,1.35,1.3,127.97,3.83,440
74.56,6.19,6.05,2.42,2.48,2.79,1.14,1.19,127.89,3.88,441
71.53,6.83,6.72,2.5,2.58,2.73,1.38,1.44,128.04,3.68,442
69.03,5.33,6.57,2.18,2.54,2.82,1.12,1.25,127.8,3.84,443
72.49,5.71,6.85,2.22,2.32,2.75,1.2,1.32,127.84,3.47,444
73.85,5.3,6.39,2.36,2.83,2.23,1.45,1.24,127.85,3.67,445
63.19,4.93,6.56,2.56,2.44,2.6,1.41,1.28,127.82,3.72,446
70.55,5.49,6.62,2.7,2.5,2.8,1.35,1.25,127.69,3.62,447
75.85,5.86,6.58,2.03,2.41,2.78,1.36,1.13,127.63,3.99,448
72.57,5.14,6.32,2.01,2.83,2.21,1.15,1.36,127.77,3.85,449
84.92,5.56,6.51,1.75,2.74,2.36,1.24,1.44,127.98,2.31,450
86.27,6.0,6.34,2.38,2.61,2.27,0.89,1.18,127.54,2.23,451
73.9,5.62,6.33,1.85,2.66,2.45,0.77,0.92,127.99,2.76,452
84.97,5.76,6.67,2.07,2.64,2.75,1.13,0.98,127.77,2.11,453
85.83,6.06,6.65,2.05,2.37,2.52,1.18,1.68,127.67,2.51,454
85.95,6.18,6.33,2.69,2.19,2.74,1.3,1.86,127.43,2.29,455
87.62,5.08,6.66,2.66,2.52,2.37,1.4,1.7,174.99,2.23,456
88.32,4.87,6.39,2.79,2.39,2.12,0.97,1.96,127.84,2.46,457
85.38,5.42,6.37,2.61,2.37,2.27,1.21,1.8,127.77,2.27,458
89.56,5.69,6.88,2.98,2.18,2.19,1.0,1.69,127.8,2.68,459
84.7,5.88,6.63,2.88,2.21,2.04,0.82,1.92,127.67,2.41,460
84.28,6.0,5.19,2.83,2.34,2.35,1.18,1.65,127.7,2.55,461
84.65,5.77,6.75,2.68,2.4,2.13,0.93,1.9,127.7,2.26,462
84.7,5.52,6.36,2.43,2.63,2.24,1.3,1.65,127.94,2.48,463
81.5,5.33,9.62,2.39,2.28,2.19,1.34,1.81,112.01,2.33,464
90.34,6.12,9.19,2.71,2.2,2.24,1.11,1.33,119.4,2.34,465
85.89,5.26,9.74,2.7,2.05,2.01,1.23,2.01,108.97,2.24,466
87.32,5.57,9.79,2.88,2.58,2.38,1.34,1.99,119.3,2.47,467
88.11,5.75,9.41,2.81,2.26,2.57,0.79,1.48,117.85,2.11,468
82.76,5.46,9.17,2.69,2.02,2.14,1.09,1.61,111.31,2.46,469
87.44,5.82,9.52,2.65,2.18,2.37,1.28,1.82,109.5,1.85,470
85.44,6.08,9.46,2.62,2.28,2.1,1.28,1.99,117.32,2.33,471
88.48,5.3,9.96,2.89,1.91,2.41,1.27,1.96,122.22,2.44,472
85.18,5.84,9.88,2.53,2.0,2.25,1.35,1.72,112.62,2.61,473
90.02,6.7,9.44,2.89,1.9,2.14,1.16,1.66,122.53,2.55,474
83.17,5.32,9.67,2.51,2.48,2.17,1.03,1.71,109.3,2.8,475
86.54,5.9,9.64,1.93,2.21,2.27,0.94,1.74,120.81,2.97,476
89.38,5.93,9.22,1.46,2.16,2.23,0.91,1.95,115.95,2.89,477
85.02,5.79,9.47,1.79,2.2,2.33,0.95,1.93,116.46,2.83,478
