response_time,norm_time
0.325,434.615
0.208,435.162
0.489,435.459
0.548,436.074
0.381,436.312
0.265,436.834
0.215,437.379
0.459,437.75
0.504,438.056
0.388,438.334
0.28,438.848
0.369,439.216
0.577,439.432
0.51,439.935
0.408,440.332
0.297,440.858
0.199,441.067
0.384,441.367
0.394,441.743
0.309,442.1
0.462,442.486
0.264,442.78
0.496,443.15
0.316,443.594
0.435,443.971
0.513,444.304
0.316,444.851
0.499,445.405
0.201,445.839
0.542,446.363
0.461,446.735
0.517,447.077
0.377,447.482
0.255,447.838
0.365,448.295
0.341,448.841
0.387,449.404
0.483,449.754
0.48,450.357
0.505,450.901
0.323,451.361
0.288,452.173
0.24,452.478
0.397,452.752
0.441,453.13
0.223,453.613
0.489,454.145
0.422,454.608
0.289,455.08
0.368,455.563
0.228,456.102
0.322,456.344
0.219,456.592
0.494,457.108
0.273,457.42
0.521,457.892
0.299,458.043
0.382,458.499
0.525,459.21
0.439,459.72
0.426,460.079
0.571,460.595
0.338,461.127
0.193,461.759
0.334,461.986
0.238,462.579
0.298,462.753
0.255,463.127
0.438,463.611
0.278,463.936
0.537,464.362
0.426,465.025
0.377,465.309
0.533,465.707
0.261,466.071
0.384,466.544
0.242,467.14
0.493,467.378
0.304,467.676
0.313,468.067
0.368,468.317
0.368,468.772
0.372,469.201
0.249,469.61
0.417,470.055
0.362,470.428
0.491,470.7
0.386,471.258
0.245,471.752
0.465,472.382
0.272,472.996
0.371,473.511
0.292,473.952
0.24,474.193
0.195,474.521
0.391,474.943
0.458,475.297
0.291,475.65
0.323,476.029
0.275,476.408
0.51,476.945
0.572,477.247
0.489,477.583
0.601,477.802
0.437,478.296
0.391,478.681
0.527,479.097
0.363,479.48
0.557,479.79
0.383,480.157
0.499,480.743
0.257,481.15
0.399,481.378
0.347,481.662
0.348,482.078
0.591,482.491
0.526,482.829
0.478,483.714
0.363,484.272
0.382,484.536
0.21,485.027
0.347,485.394
0.374,485.734
0.498,486.455
0.294,486.936
0.398,487.285
0.343,487.508
0.241,488.182
0.332,488.539
0.248,489.105
0.382,489.419
0.275,489.69
0.409,490.387
0.361,490.821
0.444,491.356
0.535,491.827
0.408,492.316
0.238,492.581
0.436,492.825
0.399,493.268
0.294,493.628
0.401,494.139
0.507,494.592
0.312,495.031
0.469,495.53
0.38,495.822
0.406,496.128
0.242,496.866
0.213,497.275
0.402,497.684
0.301,498.048
0.492,498.377
0.278,498.742
0.323,499.296
0.282,499.991
0.54,500.633
0.266,500.985
0.401,501.499
0.308,501.757
0.186,502.1
0.291,502.551
0.362,502.831
0.365,503.166
0.608,503.749
0.584,504.214
0.188,504.595
0.406,504.931
0.563,505.339
0.358,505.745
0.245,506.274
0.409,506.546
0.348,506.854
0.292,507.37
0.225,507.846
0.274,508.162
0.494,508.56
0.299,508.889
0.301,509.536
0.5,509.936
0.206,510.147
0.45,510.537
0.435,510.914
0.55,511.275
0.292,511.918
0.233,512.452
0.503,512.977
0.281,513.462
0.303,513.92
0.441,514.13
0.199,514.492
0.538,514.981
0.483,515.526
0.322,515.903
0.407,516.353
0.3,516.66
0.416,517.08
0.3,517.39
0.232,517.809
0.476,518.06
0.368,518.45
0.537,518.856
0.432,519.408
0.287,519.637
0.522,520.091
0.411,520.597
0.358,521.106
0.287,521.658
0.276,522.162
0.36,522.757
0.389,523.19
0.328,523.625
0.382,524.191
0.356,524.589
0.495,524.838
0.476,525.421
0.263,526.005
0.32,526.451
0.345,527.039
0.412,527.293
0.376,527.701
0.334,528.145
0.567,528.396
0.488,528.74
0.295,529.052
0.555,529.47
0.371,529.757
0.404,530.085
0.385,530.535
0.33,531.084
0.268,531.475
0.455,531.66
0.486,532.437
0.57,533.008
0.255,533.533
0.276,533.961
0.439,534.346
0.27,535.125
0.284,535.368
0.265,535.689
0.381,536.264
0.221,536.683
0.503,536.967
0.63,537.354
0.36,537.776
0.269,538.128
0.309,538.451
0.417,538.922
0.521,539.324
0.437,539.753
0.469,540.154
0.42,540.585
0.388,540.951
0.518,541.375
0.391,541.737
0.604,542.122
0.287,542.469
0.441,542.922
0.432,543.334
0.325,543.725
0.549,544.108
0.248,544.56
0.338,544.967
0.196,545.322
0.311,545.666
0.249,546.17
0.53,546.63
0.341,547.195
0.448,547.648
0.463,548.154
0.408,548.558
0.36,549.048
0.381,549.601
0.376,550.071
0.341,550.794
0.291,551.24
0.333,551.675
0.308,552.087
0.45,552.531
0.401,552.711
0.352,553.177
0.22,553.553
0.239,554.074
0.386,554.408
0.365,555.056
0.527,555.388
0.315,555.853
0.385,556.517
0.342,556.895
0.588,557.402
0.27,557.644
0.419,557.833
0.494,558.136
0.44,558.485
0.329,558.907
0.326,559.295
0.265,559.746
0.356,560.16
0.279,560.704
0.421,560.837
0.471,561.148
0.587,561.371
0.343,561.74
0.426,562.008
0.502,562.491
0.357,562.698
0.561,562.923
0.423,563.477
0.255,563.751
0.28,564.13
0.463,564.344
0.309,564.76
0.342,565.092
0.551,565.404
0.268,565.709
0.464,566.201
0.466,566.518
0.392,566.852
0.423,567.29
0.333,567.722
0.589,568.126
0.481,568.339
0.488,568.755
0.609,569.347
0.411,569.768
0.65,570.353
0.439,570.929
0.306,571.373
0.489,571.891
0.345,572.348
0.393,572.777
0.397,573.353
0.343,573.931
0.548,574.368
0.374,574.727
0.467,575.232
0.411,575.774
0.328,576.22
0.456,576.443
0.353,577.073
0.444,577.522
0.217,577.831
0.285,578.142
0.194,578.795
0.237,579.25
0.439,579.716
0.519,580.098
0.281,580.484
0.4,580.885
0.668,581.305
0.225,581.591
0.339,581.95
0.231,582.518
0.557,582.859
0.339,583.202
0.356,583.583
0.593,584.082
0.286,584.449
0.201,584.76
0.432,585.373
0.287,586.049
0.539,586.434
0.296,586.739
0.528,587.094
0.49,587.555
0.295,587.82
0.246,588.211
0.425,588.679
0.357,589.248
0.34,589.768
0.447,590.259
0.295,590.648
0.442,591.287
0.448,591.821
0.375,592.171
0.192,592.708
0.287,593.158
0.43,593.444
