response_time,norm_time
0.232,372.764
0.213,373.087
0.205,373.533
0.21,373.826
0.236,374.137
0.219,374.618
0.221,375.007
0.232,375.292
0.211,375.691
0.221,375.957
0.229,376.252
0.225,376.505
0.218,376.816
0.226,377.151
0.201,377.503
0.238,377.966
0.222,378.44
0.213,378.791
0.219,379.083
0.235,379.371
0.224,379.738
0.236,380.319
0.232,380.708
0.233,381.209
0.241,381.601
0.243,382.039
0.215,382.372
0.217,382.757
0.226,383.244
0.229,383.646
0.245,383.915
0.236,384.316
0.225,384.608
0.232,385.019
0.209,385.407
0.244,385.722
0.211,386.028
0.224,386.392
0.207,386.782
0.231,387.168
0.223,387.616
0.234,387.952
0.216,388.278
0.244,388.432
0.24,388.742
0.239,389.197
0.231,389.608
0.257,389.934
0.231,390.346
0.227,390.831
0.219,391.032
0.245,391.397
0.209,391.692
0.217,392.253
0.226,392.441
0.227,392.714
0.245,392.998
0.241,393.354
0.231,393.745
0.23,394.052
0.226,394.395
0.24,394.693
0.225,394.933
0.222,395.308
0.242,395.534
0.232,395.845
0.241,396.326
0.226,396.564
0.22,396.949
0.255,397.267
0.232,397.521
0.231,397.904
0.245,398.102
0.25,398.446
0.215,398.882
0.214,399.152
0.208,399.416
0.234,399.58
0.232,399.922
0.245,400.353
0.253,400.802
0.251,401.068
0.235,401.358
0.219,401.814
0.216,402.278
0.228,402.514
0.239,402.821
0.21,403.268
0.239,403.578
0.206,403.99
0.219,404.302
0.221,404.79
0.218,405.181
0.245,405.479
0.221,405.711
0.235,405.95
0.218,406.377
0.217,406.611
0.228,406.722
0.23,407.043
0.226,407.703
0.23,408.068
0.219,408.459
0.242,409.026
0.214,409.168
0.238,409.506
0.231,409.807
0.243,410.12
0.213,410.457
0.234,410.728
0.216,411.041
0.235,411.278
0.229,411.602
0.229,411.897
0.216,412.253
0.215,412.499
0.238,412.849
0.243,413.165
0.238,413.59
0.234,413.9
0.242,414.214
0.236,414.494
0.231,414.687
0.226,415.034
0.236,415.312
0.225,415.559
0.24,415.985
0.232,416.209
0.23,416.442
0.227,416.799
0.205,417.171
0.246,417.283
0.231,417.498
0.216,417.877
0.24,418.094
0.217,418.363
0.204,418.621
0.21,419.199
0.236,419.537
0.21,419.915
0.242,420.176
0.205,420.566
0.225,420.822
0.23,421.258
0.221,421.569
0.239,421.892
0.236,422.324
0.224,422.554
0.226,422.837
0.236,423.242
0.231,423.689
0.246,424.148
0.22,424.5
0.25,424.795
0.255,425.087
0.227,425.447
0.228,425.921
0.224,426.324
0.243,426.732
0.231,427.0
0.237,427.206
0.243,427.525
0.25,428.003
0.208,428.342
0.237,428.608
0.235,428.943
0.24,429.256
0.225,429.537
0.231,429.934
0.228,430.149
0.223,430.43
0.226,430.792
0.24,431.281
0.239,431.593
0.241,431.856
0.252,432.221
0.232,432.428
0.233,432.816
0.221,433.146
0.235,433.407
0.234,433.835
0.236,434.226
0.235,434.648
0.22,434.945
0.214,435.305
0.223,435.692
0.211,436.06
0.225,436.408
0.238,436.844
0.236,437.095
0.243,437.44
0.243,437.604
0.222,438.099
0.219,438.393
0.229,438.689
0.24,438.996
0.231,439.357
0.208,439.638
0.229,440.017
0.24,440.491
0.222,440.913
0.234,441.173
0.238,441.681
0.206,441.866
0.204,442.192
0.226,442.579
0.213,443.028
0.235,443.21
0.247,443.607
0.236,444.057
0.231,444.429
0.25,444.895
0.226,445.315
0.225,445.615
0.216,445.973
0.222,446.246
0.231,446.598
0.219,446.932
0.206,447.339
0.221,447.635
0.241,447.886
0.258,448.133
0.243,448.532
0.223,448.985
0.248,449.389
0.223,449.723
0.218,449.929
0.227,450.319
0.238,450.732
0.241,451.252
0.229,451.578
0.206,451.962
0.234,452.488
0.247,452.663
0.242,453.001
0.231,453.305
0.226,453.654
0.23,454.062
0.203,454.485
0.228,454.907
0.226,455.393
0.236,455.848
0.257,456.288
0.241,456.661
0.224,456.957
0.24,457.364
0.226,457.796
0.218,458.04
0.217,458.366
0.233,458.706
0.208,459.019
0.224,459.311
0.224,459.674
0.206,460.023
0.214,460.327
0.219,460.562
0.235,460.851
0.218,461.19
0.232,461.539
0.22,461.851
0.231,462.118
0.212,462.456
0.22,462.816
0.239,463.156
0.219,463.333
0.229,463.668
0.231,463.915
0.212,464.16
0.214,464.47
0.243,464.771
0.234,465.071
0.229,465.406
0.217,465.665
0.234,465.934
0.223,466.095
0.225,466.502
0.227,466.904
0.222,467.401
0.225,467.672
0.225,467.995
0.22,468.391
0.237,468.715
0.212,468.959
0.219,469.283
0.235,469.555
0.23,469.828
0.235,470.273
0.221,470.687
0.221,471.144
0.22,471.584
0.246,471.815
0.223,472.325
0.229,472.835
0.226,473.168
0.219,473.538
0.236,473.769
0.229,474.155
0.236,474.606
0.233,474.842
0.233,475.36
0.236,475.649
0.232,475.854
0.221,476.256
0.25,476.592
0.237,477.059
0.24,477.25
0.214,477.588
0.244,477.891
0.235,478.375
0.228,478.66
0.235,478.957
0.246,479.169
0.214,479.484
0.245,479.753
0.229,480.053
0.231,480.334
0.253,480.855
0.238,481.175
0.199,481.375
0.219,481.579
0.233,482.131
0.225,482.345
0.212,482.641
0.211,483.105
0.216,483.691
0.228,483.954
0.24,484.294
0.222,484.606
0.229,484.908
0.224,485.095
0.222,485.423
0.23,485.77
0.211,485.978
0.228,486.261
0.236,486.615
0.227,486.825
0.251,487.111
0.248,487.302
0.243,487.794
0.23,488.14
0.215,488.418
0.241,488.859
0.251,489.167
0.241,489.48
0.213,489.793
0.225,490.035
0.235,490.265
0.241,490.545
0.247,490.973
0.242,491.293
0.241,491.679
0.249,492.079
0.241,492.471
0.23,492.774
0.254,492.926
0.234,493.122
0.225,493.564
0.25,494.106
0.226,494.514
0.217,494.867
0.227,495.17
0.234,495.533
0.225,495.845
0.209,496.231
0.235,496.462
0.24,496.683
0.222,496.949
0.231,497.189
0.243,497.539
0.236,497.81
0.21,498.216
0.236,498.672
0.206,499.063
0.254,499.422
0.223,500.045
0.242,500.481
0.225,500.827
0.204,501.09
0.211,501.316
0.21,501.717
0.24,502.008
0.218,502.196
0.232,502.501
0.228,502.75
0.202,503.112
0.231,503.364
0.218,503.644
0.216,503.949
0.229,504.22
0.235,504.826
0.231,505.086
0.227,505.452
0.242,505.7
0.244,506.13
0.217,506.54
0.2,507.078
0.228,507.282
0.24,507.707
0.239,507.955
0.237,508.119
0.242,508.451
0.202,508.733
0.224,509.057
0.243,509.55
0.211,509.876
0.214,510.111
0.227,510.383
0.22,510.879
0.235,511.288
0.247,511.812
0.236,512.097
0.228,512.385
0.229,512.689
0.221,513.13
0.244,513.582
0.214,513.878
0.227,514.255
0.248,514.55
0.227,514.889
0.22,515.266
0.213,515.671
0.208,516.06
0.239,516.525
0.216,516.946
0.229,517.242
0.238,517.559
0.211,517.74
0.222,518.106
0.223,518.459
0.221,518.824
0.204,519.253
0.241,519.494
0.232,519.725
0.242,519.982
0.238,520.442
0.219,520.742
0.217,520.997
0.207,521.271
0.217,521.57
0.236,521.91
0.223,522.328
0.232,522.565
0.214,523.041
0.219,523.437
0.217,523.782
0.232,524.097
0.23,524.541
0.239,524.944
0.237,525.175
0.244,525.398
0.237,525.682
0.226,525.986
0.214,526.289
0.217,526.614
0.211,527.162
0.22,527.406
0.224,527.792
0.241,528.056
0.225,528.27
0.237,528.582
0.219,528.863
0.207,529.088
0.214,529.511
0.223,529.877
0.267,530.093
0.216,530.333
0.245,530.552
0.23,530.918
0.201,531.219
0.239,531.758
0.226,531.988
0.227,532.195
0.228,532.471
0.229,532.725
0.214,533.094
0.221,533.27
