cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
2337,171,3.07,15,8,391,43,377
2987,170,4.12,15,8,395,39,378
3289,174,3.96,15,8,383,44,379
2964,172,3.28,15,8,392,50,380
3204,170,3.65,15,8,407,18,381
3260,174,3.53,15,8,385,43,382
2798,206,3.81,15,8,437,28,383
3116,157,3.66,15,8,444,29,384
3230,170,3.1,14,8,374,27,385
3001,173,3.22,15,8,383,38,386
3083,173,4.03,15,8,377,22,387
3256,169,3.83,15,8,393,37,388
3209,171,3.1,15,8,416,21,389
2954,170,3.49,15,8,383,22,390
2729,171,3.48,15,8,378,41,391
2145,171,3.85,15,8,377,41,392
3568,171,3.65,15,8,391,31,393
2628,170,3.55,15,8,395,49,394
2725,226,3.44,15,8,466,47,395
3473,227,3.03,15,8,444,27,396
3459,228,3.81,15,8,383,22,397
3773,226,3.95,15,7,450,48,398
3298,228,3.64,15,8,405,27,399
1394,230,3.8,15,8,463,26,400
3080,228,3.88,15,8,389,21,401
2599,231,3.34,15,8,430,24,402
3297,229,3.0,15,8,432,24,403
2763,230,3.89,10,8,460,32,404
3137,231,3.36,14,7,401,34,405
2883,228,3.45,15,8,363,31,406
2870,229,3.79,15,8,392,25,407
2791,228,3.72,14,8,460,21,408
2692,228,3.58,14,8,516,30,409
2975,230,3.08,14,9,408,38,410
3088,227,3.6,14,9,503,29,411
2796,229,3.54,15,9,475,17,412
3197,187,3.25,15,8,595,31,413
2705,167,3.25,15,8,394,29,414
2806,200,3.48,15,9,416,32,415
3111,186,3.42,15,9,413,39,416
2727,218,3.86,14,9,343,23,417
2805,214,4.14,14,9,572,24,418
3106,204,3.95,15,9,433,24,419
2718,3,3.8,15,8,337,39,420
2999,189,4.01,15,9,376,33,421
2679,220,3.19,17,8,398,7,422
1881,172,3.08,15,8,371,19,423
2042,183,3.43,15,8,408,67,424
2240,190,3.55,14,8,328,37,425
2256,199,3.58,15,8,503,22,426
2448,199,3.15,14,8,335,40,427
3747,186,3.91,14,8,509,22,428
2731,215,3.3,15,8,508,36,429
2203,189,3.4,15,7,480,29,430
2909,180,3.48,14,8,437,39,431
2778,217,3.42,15,8,475,28,432
1946,192,3.11,15,8,513,30,433
2273,190,3.65,15,8,428,67,434
2558,150,3.01,15,8,421,40,435
2128,192,3.92,15,8,480,17,436
3356,170,3.61,15,8,390,32,437
2994,175,3.94,15,8,436,32,438
2617,196,3.95,15,8,425,28,439
2558,201,3.04,15,8,465,30,440
2404,153,3.25,15,8,435,32,441
2065,147,4.14,15,8,455,32,442
