core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
76.09,97.19,70.97,9.94,9.31,9.12,9.94,6.85,196.95,3.02,383
84.61,96.92,66.32,11.61,9.13,7.76,9.62,7.17,197.28,3.03,384
84.02,97.3,68.2,11.09,9.58,9.35,10.45,7.81,197.1,3.14,385
85.67,97.0,60.16,11.2,11.35,8.34,10.27,7.68,196.82,3.26,386
72.76,97.15,68.77,11.23,9.8,9.12,10.48,6.35,197.51,3.15,387
84.05,97.29,62.76,10.83,9.44,8.3,9.98,7.33,197.0,2.83,388
80.16,97.34,70.22,10.17,9.92,8.75,9.23,6.88,197.27,3.17,389
84.73,97.24,66.33,11.91,9.13,9.2,11.07,6.56,197.24,3.14,390
82.62,97.06,64.41,11.57,9.39,9.3,9.79,6.94,197.3,3.05,391
80.32,97.06,78.75,11.2,9.7,9.12,8.54,7.41,197.1,3.23,392
83.03,97.18,60.27,11.51,9.28,8.44,9.23,7.61,197.2,3.13,393
85.25,97.11,68.88,10.63,9.23,9.13,5.94,7.34,197.2,3.16,394
86.17,97.32,65.42,11.87,9.48,8.17,10.01,6.82,197.37,3.35,395
75.64,97.21,67.73,11.27,9.01,8.25,10.91,7.19,197.37,3.17,396
83.57,97.36,65.88,10.56,9.61,9.58,10.43,6.8,197.12,3.59,397
82.12,97.31,50.91,10.28,9.53,8.86,9.15,6.47,197.26,3.76,398
83.34,97.34,69.07,10.99,9.18,8.26,9.67,7.19,197.21,3.45,399
83.7,97.21,64.63,11.77,9.87,8.94,10.48,7.43,197.25,3.01,400
81.22,97.15,65.86,10.16,9.45,8.69,10.02,6.94,197.43,3.21,401
86.17,97.11,65.04,11.18,9.84,10.01,10.39,7.2,197.16,2.91,402
78.52,97.04,69.09,10.88,9.79,8.24,10.76,8.19,244.22,2.86,403
85.68,96.97,68.56,10.27,9.43,8.8,9.59,6.82,193.19,3.21,404
79.77,83.38,62.18,10.64,9.76,9.17,9.4,7.25,201.74,3.72,405
83.24,83.52,62.26,10.98,9.77,9.04,10.66,7.31,157.8,3.13,406
82.62,83.38,62.17,11.86,9.98,9.03,9.35,7.45,211.64,3.6,407
117.88,83.46,62.48,12.01,9.74,8.65,10.01,7.25,197.6,2.58,408
117.88,83.3,62.14,10.34,9.2,9.21,13.69,7.66,202.09,3.12,409
117.88,83.25,61.85,11.19,9.86,8.6,10.13,6.82,196.39,3.52,410
117.88,83.31,61.94,10.55,9.43,9.51,10.66,6.58,206.35,3.37,411
117.88,83.37,62.14,11.02,9.62,9.12,11.7,7.67,193.69,3.34,412
117.88,83.53,62.23,11.15,9.78,9.19,10.28,7.57,196.0,3.06,413
117.88,83.32,62.27,10.88,9.33,9.05,10.28,6.81,195.31,3.15,414
117.88,83.47,62.07,10.53,9.54,11.72,10.99,7.44,205.46,2.61,415
117.88,83.39,62.22,10.31,9.61,9.15,10.87,7.6,192.33,2.86,416
117.88,83.59,62.3,9.28,9.59,9.05,10.49,7.2,192.03,3.28,417
117.88,83.59,61.76,11.08,9.4,8.99,10.36,7.07,207.54,3.59,418
117.88,83.47,62.24,10.48,9.44,9.07,9.81,7.55,207.3,3.72,419
117.88,83.38,62.23,9.87,9.5,8.81,9.94,7.95,195.93,3.91,420
117.88,83.68,62.15,11.43,9.13,9.11,9.38,7.88,203.71,2.89,421
117.88,83.42,61.97,9.14,9.41,8.74,10.95,7.46,198.64,2.75,422
117.88,83.32,61.99,10.94,9.44,9.02,10.55,7.24,194.81,3.0,423
117.88,83.52,62.01,12.78,9.73,9.51,9.99,7.03,187.86,2.8,424
117.88,83.36,62.04,10.63,9.7,8.96,9.78,7.53,180.87,2.89,425
117.88,83.61,81.76,10.85,9.7,9.75,10.49,7.91,221.48,2.74,426
117.88,80.34,65.76,11.04,9.23,9.08,10.29,7.0,226.56,2.6,427
117.88,80.34,64.14,7.89,9.6,10.18,10.4,7.3,194.67,2.65,428
117.88,80.43,64.96,10.42,9.71,10.1,9.69,6.85,209.24,2.31,429
117.88,80.72,64.51,10.03,9.44,9.18,10.08,7.82,228.78,3.27,430
117.88,80.47,66.59,8.54,9.14,10.61,10.8,7.51,181.23,2.98,431
117.88,80.46,63.95,11.53,9.57,8.68,10.01,7.37,205.78,3.21,432
83.0,80.49,62.99,9.81,9.54,9.8,11.59,7.57,173.37,2.61,433
82.87,80.81,63.0,10.04,9.44,8.96,10.25,7.76,161.63,3.19,434
83.1,80.46,63.56,10.17,9.16,9.48,10.73,7.69,214.82,3.46,435
82.9,84.75,64.39,10.72,9.49,8.94,10.36,7.48,193.98,2.35,436
82.85,80.65,63.32,10.98,9.88,9.08,10.32,7.51,154.92,1.86,437
83.04,80.94,65.54,10.48,9.56,9.42,10.72,7.05,208.66,3.01,438
82.88,80.57,64.95,10.52,9.59,10.04,10.69,7.93,214.85,1.72,439
83.26,80.63,63.84,10.09,9.93,9.59,10.3,8.13,215.4,2.91,440
101.35,80.92,63.66,11.19,9.27,9.62,10.71,7.22,215.21,2.8,441
83.43,85.44,68.02,11.83,9.01,10.72,10.42,7.21,187.53,2.62,442
83.24,80.67,79.11,10.4,10.0,9.22,10.25,7.53,166.74,3.09,443
83.16,80.52,67.81,11.04,9.73,9.51,11.2,6.75,182.99,3.32,444
82.96,80.51,67.34,10.71,9.57,10.27,10.68,7.67,160.5,1.03,445
82.93,80.61,64.13,10.78,9.51,8.01,10.5,7.95,168.09,2.45,446
82.9,80.61,64.36,11.58,9.65,8.7,10.36,10.26,176.17,2.24,447
83.05,80.65,64.23,11.26,9.3,8.45,10.21,10.39,202.03,2.07,448
82.84,77.13,63.06,10.96,9.34,9.35,11.16,10.74,252.43,2.95,449
82.74,75.06,73.29,11.19,9.91,8.53,10.8,10.29,170.37,2.65,450
83.21,73.49,74.18,11.29,9.54,9.4,10.83,10.1,148.78,2.83,451
56.15,71.92,94.17,11.25,9.24,7.72,10.49,10.94,169.9,2.95,452
82.88,81.68,74.91,10.97,9.4,8.94,10.48,10.57,202.5,2.67,453
83.18,67.41,63.3,11.0,9.48,8.72,10.51,9.35,193.4,3.19,454
83.07,72.6,69.52,11.02,10.69,9.67,10.42,9.32,178.22,2.86,455
