core1,core2,core3,core4,mem,gpu,norm_ex_time
63.49,56.85,24.04,23.23,117.91,3.85,424
64.18,56.01,24.24,23.16,147.45,3.02,425
58.77,56.65,24.01,24.07,170.62,3.51,426
69.91,56.79,24.39,24.56,180.11,3.44,427
54.56,57.25,24.04,22.37,83.97,3.88,428
70.82,56.77,24.22,25.61,172.19,3.38,429
53.3,57.23,24.64,23.07,85.26,3.61,430
71.65,57.31,24.17,24.92,174.33,3.7,431
64.68,57.1,23.97,22.7,127.77,4.15,432
58.33,56.82,24.43,24.93,147.61,3.72,433
61.49,57.03,24.23,24.07,163.9,3.82,434
66.19,56.93,24.08,25.09,137.24,4.07,435
74.48,56.79,24.28,22.76,190.73,3.29,436
66.84,57.39,24.21,24.23,202.04,3.68,437
58.03,56.63,24.44,24.07,172.96,3.93,438
56.45,56.57,24.01,23.65,141.2,3.28,439
82.62,57.08,24.27,25.23,202.6,3.61,440
69.02,56.29,23.92,24.57,163.55,3.61,441
51.36,56.98,24.34,23.9,212.45,3.25,442
62.57,56.95,24.46,24.41,294.86,3.8,443
70.31,80.23,23.84,24.1,150.39,3.87,444
63.86,73.14,25.02,25.2,149.42,4.02,445
77.66,78.45,24.71,25.53,146.03,0.0,446
70.23,82.98,24.04,24.05,151.14,3.25,447
55.93,82.51,24.87,26.84,162.79,3.91,448
55.05,72.94,23.66,24.44,165.36,2.47,449
66.29,77.49,24.65,25.18,144.91,3.52,450
65.84,75.05,24.76,23.56,187.12,2.82,451
67.23,74.39,24.94,25.66,187.65,3.83,452
68.43,76.86,24.31,24.09,195.61,1.8,453
67.52,78.93,25.31,24.97,195.88,3.75,454
68.83,71.11,24.15,25.47,203.66,3.09,455
71.67,81.17,22.6,26.0,200.59,2.69,456
62.9,77.28,23.99,24.53,198.58,3.81,457
66.53,79.75,22.47,27.3,196.98,3.25,458
64.98,77.21,24.44,25.38,200.07,3.52,459
69.06,74.9,20.28,25.86,216.34,3.72,460
66.95,72.42,24.67,25.01,192.8,3.61,461
67.28,72.67,24.65,22.72,175.83,2.94,462
68.18,77.55,24.67,22.67,195.77,3.09,463
66.7,62.36,23.78,22.27,198.13,2.92,464
68.66,62.43,24.16,23.55,189.18,2.47,465
65.75,62.37,21.77,23.82,209.34,3.17,466
72.04,62.55,22.14,25.56,178.67,2.66,467
64.91,62.51,21.47,23.73,196.64,4.04,468
76.35,62.32,21.95,23.55,193.63,3.96,469
71.31,62.53,22.04,25.64,186.71,3.71,470
65.15,62.72,21.49,24.76,186.81,4.14,471
67.73,62.99,21.66,25.28,187.38,4.04,472
72.86,62.37,22.38,25.9,189.74,3.98,473
69.97,62.32,21.82,24.31,193.84,4.22,474
65.72,62.74,20.77,23.36,217.14,4.18,475
57.73,62.36,21.97,25.09,201.65,4.01,476
57.57,62.57,21.59,25.84,196.0,3.96,477
57.39,62.37,20.86,26.5,188.78,4.1,478
57.42,62.6,21.46,26.24,195.63,3.99,479
72.92,62.73,20.0,24.54,196.6,4.16,480
57.42,62.38,21.47,25.77,189.61,3.78,481
57.73,62.39,21.27,25.0,194.09,3.69,482
57.62,62.2,21.09,25.76,186.68,4.29,483
57.61,55.6,21.37,25.01,193.14,4.1,484
57.34,55.58,22.35,25.39,188.73,3.85,485
57.79,61.5,21.41,26.1,184.75,3.72,486
57.61,51.41,21.29,24.93,194.9,3.9,487
57.41,78.35,21.21,24.66,189.08,4.03,488
57.6,56.54,20.85,26.02,199.3,3.89,489
57.67,51.96,21.22,25.33,194.31,4.35,490
57.61,49.77,21.22,25.01,190.22,3.91,491
57.62,68.67,21.24,25.28,184.92,3.91,492
57.8,55.56,21.22,22.04,192.69,4.08,493
57.6,52.75,20.89,22.42,175.4,4.02,494
57.6,54.03,21.19,20.49,252.81,3.54,495
57.85,54.53,21.02,19.14,190.38,3.62,496
57.94,79.66,21.58,20.2,196.66,3.85,497
57.83,61.95,21.13,20.82,191.59,3.46,498
57.78,57.92,21.27,22.89,209.79,4.43,499
57.71,49.63,21.01,19.94,184.89,3.95,500
57.24,63.09,21.03,21.2,199.29,3.83,501
72.58,58.35,20.93,19.23,189.0,4.06,502
73.49,58.03,21.5,22.89,200.4,3.58,503
72.13,65.06,21.34,20.74,202.3,3.78,504
73.39,63.66,20.77,22.08,195.01,3.65,505
73.54,64.61,20.89,20.69,184.75,3.93,506
72.56,64.37,21.16,21.62,185.42,3.56,507
72.42,63.8,22.89,21.28,199.25,3.55,508
72.62,60.63,24.48,21.76,200.5,3.9,509
72.33,68.07,23.41,19.61,214.19,3.51,510
74.28,66.82,20.98,22.92,206.9,3.53,511
72.14,62.35,22.54,20.54,212.73,2.81,512
71.77,63.82,22.48,21.61,182.14,3.24,513
72.55,63.62,23.86,21.68,231.64,2.63,514
73.58,62.94,23.61,21.1,195.33,2.83,515
72.7,65.72,22.71,22.94,201.69,2.89,516
72.89,61.57,19.85,23.55,177.46,3.13,517
73.76,63.59,22.24,23.55,226.73,2.98,518
72.55,64.01,23.05,26.18,192.61,2.94,519
73.44,68.76,23.61,24.85,159.45,2.81,520
72.73,63.26,23.37,22.84,204.8,2.72,521
72.44,68.95,23.84,23.36,114.0,2.83,522
73.12,64.48,24.13,23.25,229.39,2.77,523
72.86,63.58,22.44,24.67,172.99,2.62,524
72.73,64.45,23.96,22.84,199.13,2.73,525
72.08,64.15,22.76,21.52,153.31,2.84,526
73.03,67.04,22.93,21.88,210.95,2.82,527
80.43,64.46,22.84,23.26,181.54,2.71,528
80.94,66.26,30.41,23.19,192.05,2.91,529
80.86,79.28,25.87,23.35,181.74,2.85,530
80.77,64.42,27.55,24.05,218.65,2.64,531
80.59,67.3,30.38,22.98,205.29,2.77,532
80.64,75.03,28.24,23.19,194.85,2.73,533
80.61,67.82,28.52,23.86,212.52,3.39,534
80.56,63.05,26.58,23.25,243.97,4.13,535
