"Time","WithConsumerObjective","WithoutConsumerObjective"
2024-03-21 11:52:30,0.890,0.885
2024-03-21 11:52:45,0.890,0.885
2024-03-21 11:53:00,0.890,0.885
2024-03-21 11:53:15,0.890,0.885
2024-03-21 11:53:30,0.890,0.885
2024-03-21 11:53:45,0.890,0.885
2024-03-21 11:54:00,0.890,0.885
2024-03-21 11:54:15,0.890,0.885
2024-03-21 11:54:30,0.890,0.885
2024-03-21 11:54:45,0.890,0.885
2024-03-21 11:55:00,0.890,0.885
2024-03-21 11:55:15,0.890,0.885
2024-03-21 11:55:30,0.890,0.885
2024-03-21 11:55:45,0.890,0.885
2024-03-21 11:56:00,0.890,0.885
2024-03-21 11:56:15,0.890,0.885
2024-03-21 11:56:30,0.890,0.885
2024-03-21 11:56:45,0.890,0.885
2024-03-21 11:57:00,0.890,0.885
2024-03-21 11:57:15,0.890,0.863
2024-03-21 11:57:30,0.890,0.863
2024-03-21 11:57:45,0.861,0.863
2024-03-21 11:58:00,0.861,0.863
2024-03-21 11:58:15,0.861,0.863
2024-03-21 11:58:30,0.861,0.863
2024-03-21 11:58:45,0.861,0.863
2024-03-21 11:59:00,0.861,0.863
2024-03-21 11:59:15,0.861,0.863
2024-03-21 11:59:30,0.861,0.863
2024-03-21 11:59:45,0.861,0.863
2024-03-21 12:00:00,0.861,0.863
2024-03-21 12:00:15,0.861,0.863
2024-03-21 12:00:30,0.861,0.863
2024-03-21 12:00:45,0.861,0.863
2024-03-21 12:01:00,0.861,0.863
2024-03-21 12:01:15,0.861,0.863
2024-03-21 12:01:30,0.861,0.863
2024-03-21 12:01:45,0.861,0.863
2024-03-21 12:02:00,0.861,0.863
2024-03-21 12:02:15,0.861,0.863
2024-03-21 12:02:30,0.861,0.863
2024-03-21 12:02:45,0.861,0.863
2024-03-21 12:03:00,0.861,0.863
2024-03-21 12:03:15,0.861,0.863
2024-03-21 12:03:30,0.861,0.863
2024-03-21 12:03:45,0.861,0.863
2024-03-21 12:04:00,0.861,0.886
2024-03-21 12:04:15,0.861,0.886
2024-03-21 12:04:30,0.877,0.886
2024-03-21 12:04:45,0.877,0.886
2024-03-21 12:05:00,0.877,0.886
2024-03-21 12:05:15,0.877,0.886
2024-03-21 12:05:30,0.877,0.886
2024-03-21 12:05:45,0.877,0.886
2024-03-21 12:06:00,0.877,0.886
2024-03-21 12:06:15,0.877,0.886
2024-03-21 12:06:30,0.877,0.886
2024-03-21 12:06:45,0.877,0.886
2024-03-21 12:07:00,0.877,0.886
2024-03-21 12:07:15,0.877,0.886
2024-03-21 12:07:30,0.877,0.886
2024-03-21 12:07:45,0.877,0.886
2024-03-21 12:08:00,0.877,0.886
2024-03-21 12:08:15,0.877,0.886
2024-03-21 12:08:30,0.877,0.886
2024-03-21 12:08:45,0.877,0.886
2024-03-21 12:09:00,0.877,0.886
2024-03-21 12:09:15,0.877,0.886
2024-03-21 12:09:30,0.877,0.886
2024-03-21 12:09:45,0.877,0.886
2024-03-21 12:10:00,0.877,0.886
2024-03-21 12:10:15,0.877,0.886
2024-03-21 12:10:30,0.877,0.886
2024-03-21 12:10:45,0.877,0.882
2024-03-21 12:11:00,0.877,0.882
2024-03-21 12:11:15,0.877,0.882
2024-03-21 12:11:30,0.877,0.882
2024-03-21 12:11:45,0.877,0.882
2024-03-21 12:12:00,0.877,0.882
2024-03-21 12:12:15,0.877,0.882
2024-03-21 12:12:30,0.877,0.882
2024-03-21 12:12:45,0.877,0.882
2024-03-21 12:13:00,0.877,0.882
2024-03-21 12:13:15,0.877,0.882
2024-03-21 12:13:30,0.877,0.882
2024-03-21 12:13:45,0.877,0.882
2024-03-21 12:14:00,0.877,0.882
2024-03-21 12:14:15,0.877,0.882
2024-03-21 12:14:30,0.877,0.882
2024-03-21 12:14:45,0.877,0.882
2024-03-21 12:15:00,0.877,0.882
2024-03-21 12:15:15,0.877,0.882
2024-03-21 12:15:30,0.877,0.882
2024-03-21 12:15:45,0.877,0.882
2024-03-21 12:16:00,0.877,0.882
2024-03-21 12:16:15,0.877,0.882
2024-03-21 12:16:30,0.877,0.882
2024-03-21 12:16:45,0.877,0.882
2024-03-21 12:17:00,0.877,0.882
2024-03-21 12:17:15,0.877,0.882
2024-03-21 12:17:30,0.877,0.865
2024-03-21 12:17:45,0.877,0.865
2024-03-21 12:18:00,0.860,0.865
2024-03-21 12:18:15,0.860,0.865
2024-03-21 12:18:30,0.860,0.865
2024-03-21 12:18:45,0.860,0.865
2024-03-21 12:19:00,0.860,0.865
2024-03-21 12:19:15,0.860,0.865
2024-03-21 12:19:30,0.860,0.865
2024-03-21 12:19:45,0.860,0.865
2024-03-21 12:20:00,0.860,0.865
2024-03-21 12:20:15,0.860,0.865
2024-03-21 12:20:30,0.860,0.865
2024-03-21 12:20:45,0.860,0.865
2024-03-21 12:21:00,0.860,0.865
2024-03-21 12:21:15,0.860,0.865
2024-03-21 12:21:30,0.860,0.865
2024-03-21 12:21:45,0.860,0.865
2024-03-21 12:22:00,0.860,0.865
2024-03-21 12:22:15,0.860,0.865
2024-03-21 12:22:30,0.860,0.865
2024-03-21 12:22:45,0.860,0.865
2024-03-21 12:23:00,0.860,0.865
2024-03-21 12:23:15,0.860,0.865
2024-03-21 12:23:30,0.860,0.865
2024-03-21 12:23:45,0.860,0.865
2024-03-21 12:24:00,0.860,0.865
2024-03-21 12:24:15,0.860,0.867
2024-03-21 12:24:30,0.860,0.867
2024-03-21 12:24:45,0.878,0.867
2024-03-21 12:25:00,0.878,0.867
2024-03-21 12:25:15,0.878,0.867
2024-03-21 12:25:30,0.878,0.867
2024-03-21 12:25:45,0.878,0.867
2024-03-21 12:26:00,0.878,0.867
2024-03-21 12:26:15,0.878,0.867
2024-03-21 12:26:30,0.878,0.867
2024-03-21 12:26:45,0.878,0.867
2024-03-21 12:27:00,0.878,0.867
2024-03-21 12:27:15,0.878,0.867
2024-03-21 12:27:30,0.878,0.867
2024-03-21 12:27:45,0.878,0.867
2024-03-21 12:28:00,0.878,0.867
2024-03-21 12:28:15,0.878,0.867
2024-03-21 12:28:30,0.878,0.867
2024-03-21 12:28:45,0.878,0.867
2024-03-21 12:29:00,0.878,0.867
2024-03-21 12:29:15,0.878,0.867
2024-03-21 12:29:30,0.878,0.867
2024-03-21 12:29:45,0.878,0.867
2024-03-21 12:30:00,0.878,0.880
2024-03-21 12:30:15,0.881,0.880
2024-03-21 12:30:30,0.881,0.880
2024-03-21 12:30:45,0.881,0.880
2024-03-21 12:31:00,0.881,0.880
2024-03-21 12:31:15,0.881,0.880
2024-03-21 12:31:30,0.881,0.880
2024-03-21 12:31:45,0.881,0.880
2024-03-21 12:32:00,0.881,0.880
2024-03-21 12:32:15,0.881,0.880
2024-03-21 12:32:30,0.881,0.880
2024-03-21 12:32:45,0.881,0.880
2024-03-21 12:33:00,0.881,0.880
2024-03-21 12:33:15,0.881,0.880
2024-03-21 12:33:30,0.887,0.889
2024-03-21 12:33:45,0.887,0.889
2024-03-21 12:34:00,0.887,0.889
2024-03-21 12:34:15,0.887,0.889
2024-03-21 12:34:30,0.887,0.889
2024-03-21 12:34:45,0.887,0.889
2024-03-21 12:35:00,0.887,0.889
2024-03-21 12:35:15,0.887,0.889
2024-03-21 12:35:30,0.887,0.889
2024-03-21 12:35:45,0.887,0.889
2024-03-21 12:36:00,0.887,0.889
2024-03-21 12:36:15,0.887,0.889
2024-03-21 12:36:30,0.873,0.872
2024-03-21 12:36:45,0.873,0.872
2024-03-21 12:37:00,0.873,0.872
2024-03-21 12:37:15,0.873,0.872
2024-03-21 12:37:30,0.873,0.872
2024-03-21 12:37:45,0.873,0.872
2024-03-21 12:38:00,0.873,0.872
2024-03-21 12:38:15,0.873,0.872
2024-03-21 12:38:30,0.873,0.872
2024-03-21 12:38:45,0.873,0.872
2024-03-21 12:39:00,0.873,0.872
2024-03-21 12:39:15,0.873,0.872
2024-03-21 12:39:30,0.873,0.872
2024-03-21 12:39:45,0.890,0.895
2024-03-21 12:40:00,0.890,0.895
2024-03-21 12:40:15,0.890,0.895
2024-03-21 12:40:30,0.890,0.895
2024-03-21 12:40:45,0.890,0.895
2024-03-21 12:41:00,0.890,0.895
2024-03-21 12:41:15,0.890,0.895
2024-03-21 12:41:30,0.890,0.895
2024-03-21 12:41:45,0.890,0.895
2024-03-21 12:42:00,0.890,0.895
