"Time","WithConsumerObjective","WithoutConsumerObjective"
2024-03-20 23:52:30,0.600,0.625
2024-03-20 23:52:45,0.600,0.625
2024-03-20 23:53:00,0.600,0.625
2024-03-20 23:53:15,0.600,0.625
2024-03-20 23:53:30,0.600,0.625
2024-03-20 23:53:45,0.600,0.625
2024-03-20 23:54:00,0.600,0.625
2024-03-20 23:54:15,0.600,0.625
2024-03-20 23:54:30,0.600,0.625
2024-03-20 23:54:45,0.600,0.500
2024-03-20 23:55:00,0.600,0.500
2024-03-20 23:55:15,0.600,0.500
2024-03-20 23:55:30,0.600,0.500
2024-03-20 23:55:45,0.600,0.500
2024-03-20 23:56:00,0.600,0.500
2024-03-20 23:56:15,0.600,0.500
2024-03-20 23:56:30,0.600,0.500
2024-03-20 23:56:45,0.600,0.500
2024-03-20 23:57:00,0.600,0.500
2024-03-20 23:57:15,0.600,0.500
2024-03-20 23:57:30,0.600,0.500
2024-03-20 23:57:45,0.600,0.500
2024-03-20 23:58:00,0.600,0.500
2024-03-20 23:58:15,0.600,0.500
2024-03-20 23:58:30,0.600,0.500
2024-03-20 23:58:45,0.600,0.500
2024-03-20 23:59:00,0.746,0.500
2024-03-20 23:59:15,0.746,0.500
2024-03-20 23:59:30,0.746,0.500
2024-03-20 23:59:45,0.746,0.500
2024-03-21 00:00:00,0.746,0.500
2024-03-21 00:00:15,0.746,0.500
2024-03-21 00:00:30,0.746,0.500
2024-03-21 00:00:45,0.746,0.500
2024-03-21 00:01:00,0.746,0.500
2024-03-21 00:01:15,0.746,0.500
2024-03-21 00:01:30,0.746,0.625
2024-03-21 00:01:45,0.746,0.625
2024-03-21 00:02:00,0.746,0.625
2024-03-21 00:02:15,0.746,0.625
2024-03-21 00:02:30,0.746,0.625
2024-03-21 00:02:45,0.746,0.625
2024-03-21 00:03:00,0.746,0.625
2024-03-21 00:03:15,0.746,0.625
2024-03-21 00:03:30,0.746,0.625
2024-03-21 00:03:45,0.746,0.625
2024-03-21 00:04:00,0.746,0.625
2024-03-21 00:04:15,0.746,0.625
2024-03-21 00:04:30,0.746,0.625
2024-03-21 00:04:45,0.746,0.625
2024-03-21 00:05:00,0.746,0.625
2024-03-21 00:05:15,0.746,0.625
2024-03-21 00:05:30,0.746,0.625
2024-03-21 00:05:45,0.792,0.625
2024-03-21 00:06:00,0.792,0.625
2024-03-21 00:06:15,0.792,0.625
2024-03-21 00:06:30,0.792,0.625
2024-03-21 00:06:45,0.792,0.625
2024-03-21 00:07:00,0.792,0.625
2024-03-21 00:07:15,0.792,0.625
2024-03-21 00:07:30,0.792,0.625
2024-03-21 00:07:45,0.792,0.625
2024-03-21 00:08:00,0.792,0.625
2024-03-21 00:08:15,0.792,0.625
2024-03-21 00:08:30,0.792,0.250
2024-03-21 00:08:45,0.792,0.250
2024-03-21 00:09:00,0.792,0.250
