Time,Car_WithConsumerObjective,Car_WithoutConsumerObjective,Rider_WithConsumerObjective,Rider_WithoutConsumerObjective,generalAccuracy_with,generalAccuracy_without
20.3.2024 23:52,1,0.995,,,0.942,0.941
20.3.2024 23:52,1,0.995,,,0.942,0.941
20.3.2024 23:53,1,0.995,,,0.942,0.941
20.3.2024 23:53,1,0.995,,,0.942,0.941
20.3.2024 23:53,1,0.995,,,0.942,0.941
20.3.2024 23:53,1,0.995,,,0.942,0.941
20.3.2024 23:54,1,0.995,,,0.942,0.941
20.3.2024 23:54,1,0.995,,,0.942,0.941
20.3.2024 23:54,1,0.995,,,0.942,0.941
20.3.2024 23:54,1,0.993,,,0.942,0.943
20.3.2024 23:55,1,0.993,,,0.942,0.943
20.3.2024 23:55,1,0.993,,,0.942,0.943
20.3.2024 23:55,1,0.993,,,0.942,0.943
20.3.2024 23:55,1,0.993,,,0.942,0.943
20.3.2024 23:56,1,0.993,,,0.942,0.943
20.3.2024 23:56,1,0.993,,,0.942,0.943
20.3.2024 23:56,1,0.993,,,0.942,0.943
20.3.2024 23:56,1,0.993,,,0.942,0.943
20.3.2024 23:57,1,0.993,,,0.942,0.943
20.3.2024 23:57,1,0.993,,,0.942,0.943
20.3.2024 23:57,1,0.993,,,0.942,0.943
20.3.2024 23:57,1,0.993,,,0.913,0.943
20.3.2024 23:58,1,0.993,,,0.913,0.917
20.3.2024 23:58,1,0.993,,,0.913,0.917
20.3.2024 23:58,1,0.993,,,0.913,0.917
20.3.2024 23:58,1,0.993,,,0.913,0.917
20.3.2024 23:59,0.999,0.993,,,0.913,0.917
20.3.2024 23:59,0.999,0.993,,,0.913,0.917
20.3.2024 23:59,0.999,0.993,,,0.913,0.917
20.3.2024 23:59,0.999,0.993,,,0.913,0.917
21.3.2024 0:00,0.999,0.993,,,0.913,0.917
21.3.2024 0:00,0.999,0.993,,,0.913,0.917
21.3.2024 0:00,0.999,0.993,,,0.913,0.917
21.3.2024 0:00,0.999,0.993,,,0.913,0.917
21.3.2024 0:01,0.999,0.993,,,0.913,0.917
21.3.2024 0:01,0.999,0.993,,,0.913,0.917
21.3.2024 0:01,0.999,0.993,,,0.913,0.917
21.3.2024 0:01,0.999,0.993,,,0.913,0.917
21.3.2024 0:02,0.999,0.993,,,0.973,0.917
21.3.2024 0:02,0.999,0.993,,,0.973,0.917
21.3.2024 0:02,0.999,0.993,,,0.973,0.917
21.3.2024 0:02,0.999,0.993,,,0.973,0.917
21.3.2024 0:03,0.999,0.993,,,0.973,0.917
21.3.2024 0:03,0.999,0.993,,,0.973,0.917
21.3.2024 0:03,0.999,0.993,,,0.973,0.917
21.3.2024 0:03,0.999,0.993,,,0.973,0.917
21.3.2024 0:04,0.999,0.993,,,0.973,0.917
21.3.2024 0:04,0.999,0.993,,,0.973,0.917
21.3.2024 0:04,0.999,0.993,,,0.975,0.952
21.3.2024 0:04,0.999,0.993,,,0.975,0.952
21.3.2024 0:05,0.999,0.993,,,0.975,0.952
21.3.2024 0:05,0.999,0.993,,,0.975,0.952
21.3.2024 0:05,0.999,0.993,,,0.975,0.952
21.3.2024 0:05,1,0.993,,,0.975,0.952
21.3.2024 0:06,1,0.993,,,0.975,0.952
21.3.2024 0:06,1,0.993,,,0.975,0.952
21.3.2024 0:06,1,0.993,,,0.975,0.952
21.3.2024 0:06,1,0.993,,,0.975,0.952
21.3.2024 0:07,1,0.993,,,0.975,0.952
21.3.2024 0:07,1,0.993,,,0.975,0.952
21.3.2024 0:07,1,0.993,,,0.975,0.952
21.3.2024 0:07,1,0.993,,,0.975,0.952
21.3.2024 0:08,1,0.993,,,0.975,0.952
21.3.2024 0:08,1,0.993,,,0.975,0.952
