"Time","WithConsumerObjective","WithoutConsumerObjective"
2024-03-20 17:34:00,0.963,0.964
2024-03-20 17:34:15,0.963,0.964
2024-03-20 17:34:30,0.963,0.964
2024-03-20 17:34:45,0.963,0.964
2024-03-20 17:35:00,0.963,0.964
2024-03-20 17:35:15,0.963,0.964
2024-03-20 17:35:30,0.963,0.964
2024-03-20 17:35:45,0.963,0.964
2024-03-20 17:36:00,0.963,0.964
2024-03-20 17:36:15,0.963,0.964
2024-03-20 17:36:30,0.963,0.964
2024-03-20 17:36:45,0.963,0.964
2024-03-20 17:37:00,0.963,0.964
2024-03-20 17:37:15,0.963,0.964
2024-03-20 17:37:30,0.963,0.965
2024-03-20 17:37:45,0.963,0.965
2024-03-20 17:38:00,0.963,0.965
2024-03-20 17:38:15,0.963,0.965
2024-03-20 17:38:30,0.963,0.965
2024-03-20 17:38:45,0.963,0.965
2024-03-20 17:39:00,0.963,0.965
2024-03-20 17:39:15,0.963,0.965
2024-03-20 17:39:30,0.963,0.965
2024-03-20 17:39:45,1,0.965
2024-03-20 17:40:00,1,0.965
2024-03-20 17:40:15,1,0.965
2024-03-20 17:40:30,1,0.965
2024-03-20 17:40:45,1,0.965
2024-03-20 17:41:00,1,0.965
2024-03-20 17:41:15,1,0.965
2024-03-20 17:41:30,1,0.965
2024-03-20 17:41:45,1,0.965
2024-03-20 17:42:00,1,0.965
2024-03-20 17:42:15,1,0.965
2024-03-20 17:42:30,1,0.965
2024-03-20 17:42:45,1,0.965
2024-03-20 17:43:00,1,0.989
2024-03-20 17:43:15,1,0.989
2024-03-20 17:43:30,1,0.989
2024-03-20 17:43:45,1,0.989
2024-03-20 17:44:00,1,0.989
2024-03-20 17:44:15,1,0.989
2024-03-20 17:44:30,1,0.989
2024-03-20 17:44:45,1,0.989
2024-03-20 17:45:00,1,0.989
2024-03-20 17:45:15,1,0.989
2024-03-20 17:45:30,1,0.989
2024-03-20 17:45:45,1,0.989
2024-03-20 17:46:00,1.000,0.989
2024-03-20 17:46:15,1.000,0.989
2024-03-20 17:46:30,1.000,0.989
2024-03-20 17:46:45,1.000,0.989
2024-03-20 17:47:00,1.000,0.989
2024-03-20 17:47:15,1.000,0.989
2024-03-20 17:47:30,1.000,0.989
2024-03-20 17:47:45,1.000,0.989
2024-03-20 17:48:00,1.000,0.989
2024-03-20 17:48:15,1.000,0.989
2024-03-20 17:48:30,1.000,0.989
2024-03-20 17:48:45,1.000,0.989
2024-03-20 17:49:00,1.000,0.989
2024-03-20 17:49:15,1.000,0.989
2024-03-20 17:49:30,1.000,0.989
2024-03-20 17:49:45,1.000,0.989
2024-03-20 17:50:00,1.000,0.989
2024-03-20 17:50:15,1.000,0.989
2024-03-20 17:50:30,1.000,0.989
2024-03-20 17:50:45,1.000,0.989
2024-03-20 17:51:00,1.000,0.989
2024-03-20 17:51:15,1.000,0.989
2024-03-20 17:51:30,1.000,0.970
2024-03-20 17:51:45,1.000,0.970
2024-03-20 17:52:00,1.000,0.970
2024-03-20 17:52:15,1.000,0.970
2024-03-20 17:52:30,1.000,0.970
2024-03-20 17:52:45,1.000,0.970
2024-03-20 17:53:00,1.000,0.970
2024-03-20 17:53:15,1.000,0.970
2024-03-20 17:53:30,1.000,0.970
2024-03-20 17:53:45,1.000,0.970
2024-03-20 17:54:00,1.000,0.970
2024-03-20 17:54:15,1.000,0.970
2024-03-20 17:54:30,1.000,0.970
2024-03-20 17:54:45,1.000,0.970
2024-03-20 17:55:00,1.000,0.970
2024-03-20 17:55:15,1.000,0.970
2024-03-20 17:55:30,1.000,0.970
2024-03-20 17:55:45,1.000,0.970
2024-03-20 17:56:00,1.000,0.970
2024-03-20 17:56:15,1.000,0.972
2024-03-20 17:56:30,1.000,0.972
2024-03-20 17:56:45,1.000,0.972
2024-03-20 17:57:00,1.000,0.972
2024-03-20 17:57:15,1.000,0.972
2024-03-20 17:57:30,1.000,0.972
2024-03-20 17:57:45,1.000,0.972
2024-03-20 17:58:00,1.000,0.972
2024-03-20 17:58:15,1,0.972
2024-03-20 17:58:30,1,0.972
2024-03-20 17:58:45,1,0.972
2024-03-20 17:59:00,1,0.972
2024-03-20 17:59:15,1,0.972
2024-03-20 17:59:30,1,0.972
2024-03-20 17:59:45,1,0.972
2024-03-20 18:00:00,1,0.972
2024-03-20 18:00:15,1,0.972
2024-03-20 18:00:30,1,0.978
2024-03-20 18:00:45,1,0.978
2024-03-20 18:01:00,1,0.978
2024-03-20 18:01:15,1,0.978
2024-03-20 18:01:30,1,0.978
2024-03-20 18:01:45,1,0.978
2024-03-20 18:02:00,1,0.978
