"Time","WithConsumerObjective","WithoutConsumerObjective"
2024-03-20 17:34:00,0.861,0.862
2024-03-20 17:34:15,0.861,0.862
2024-03-20 17:34:30,0.861,0.862
2024-03-20 17:34:45,0.861,0.862
2024-03-20 17:35:00,0.861,0.862
2024-03-20 17:35:15,0.861,0.862
2024-03-20 17:35:30,0.861,0.862
2024-03-20 17:35:45,0.861,0.862
2024-03-20 17:36:00,0.861,0.862
2024-03-20 17:36:15,0.861,0.862
2024-03-20 17:36:30,0.861,0.862
2024-03-20 17:36:45,0.861,0.862
2024-03-20 17:37:00,0.861,0.862
2024-03-20 17:37:15,0.861,0.862
2024-03-20 17:37:30,0.861,0.858
2024-03-20 17:37:45,0.861,0.858
2024-03-20 17:38:00,0.861,0.858
2024-03-20 17:38:15,0.861,0.858
2024-03-20 17:38:30,0.861,0.858
2024-03-20 17:38:45,0.861,0.858
2024-03-20 17:39:00,0.861,0.858
2024-03-20 17:39:15,0.861,0.858
2024-03-20 17:39:30,0.861,0.858
2024-03-20 17:39:45,0.976,0.858
2024-03-20 17:40:00,0.976,0.858
2024-03-20 17:40:15,0.976,0.858
2024-03-20 17:40:30,0.976,0.858
2024-03-20 17:40:45,0.976,0.858
2024-03-20 17:41:00,0.976,0.858
2024-03-20 17:41:15,0.976,0.858
2024-03-20 17:41:30,0.976,0.858
2024-03-20 17:41:45,0.976,0.858
2024-03-20 17:42:00,0.976,0.858
2024-03-20 17:42:15,0.976,0.858
2024-03-20 17:42:30,0.976,0.858
2024-03-20 17:42:45,0.976,0.858
2024-03-20 17:43:00,0.976,0.907
2024-03-20 17:43:15,0.976,0.907
2024-03-20 17:43:30,0.976,0.907
2024-03-20 17:43:45,0.976,0.907
2024-03-20 17:44:00,0.976,0.907
2024-03-20 17:44:15,0.976,0.907
2024-03-20 17:44:30,0.976,0.907
2024-03-20 17:44:45,0.976,0.907
2024-03-20 17:45:00,0.976,0.907
2024-03-20 17:45:15,0.976,0.907
2024-03-20 17:45:30,0.976,0.907
2024-03-20 17:45:45,0.976,0.907
2024-03-20 17:46:00,0.982,0.907
2024-03-20 17:46:15,0.982,0.907
2024-03-20 17:46:30,0.982,0.907
2024-03-20 17:46:45,0.982,0.907
2024-03-20 17:47:00,0.982,0.907
2024-03-20 17:47:15,0.982,0.907
2024-03-20 17:47:30,0.982,0.907
2024-03-20 17:47:45,0.982,0.907
2024-03-20 17:48:00,0.982,0.907
2024-03-20 17:48:15,0.982,0.907
2024-03-20 17:48:30,0.982,0.907
2024-03-20 17:48:45,0.982,0.907
2024-03-20 17:49:00,0.982,0.907
2024-03-20 17:49:15,0.982,0.907
2024-03-20 17:49:30,0.982,0.907
2024-03-20 17:49:45,0.982,0.907
2024-03-20 17:50:00,0.982,0.907
2024-03-20 17:50:15,0.982,0.907
2024-03-20 17:50:30,0.982,0.907
2024-03-20 17:50:45,0.982,0.907
2024-03-20 17:51:00,0.982,0.907
2024-03-20 17:51:15,0.982,0.907
2024-03-20 17:51:30,0.982,0.883
2024-03-20 17:51:45,0.982,0.883
2024-03-20 17:52:00,0.982,0.883
2024-03-20 17:52:15,0.982,0.883
2024-03-20 17:52:30,0.982,0.883
2024-03-20 17:52:45,0.982,0.883
2024-03-20 17:53:00,0.982,0.883
2024-03-20 17:53:15,0.982,0.883
2024-03-20 17:53:30,0.982,0.883
2024-03-20 17:53:45,0.981,0.883
2024-03-20 17:54:00,0.981,0.883
2024-03-20 17:54:15,0.981,0.883
2024-03-20 17:54:30,0.981,0.883
2024-03-20 17:54:45,0.981,0.883
2024-03-20 17:55:00,0.981,0.883
2024-03-20 17:55:15,0.981,0.883
2024-03-20 17:55:30,0.981,0.883
2024-03-20 17:55:45,0.981,0.883
2024-03-20 17:56:00,0.981,0.883
2024-03-20 17:56:15,0.981,0.875
2024-03-20 17:56:30,0.981,0.875
2024-03-20 17:56:45,0.981,0.875
2024-03-20 17:57:00,0.981,0.875
2024-03-20 17:57:15,0.981,0.875
2024-03-20 17:57:30,0.981,0.875
2024-03-20 17:57:45,0.981,0.875
2024-03-20 17:58:00,0.981,0.875
2024-03-20 17:58:15,0.980,0.875
2024-03-20 17:58:30,0.980,0.875
2024-03-20 17:58:45,0.980,0.875
2024-03-20 17:59:00,0.980,0.875
2024-03-20 17:59:15,0.980,0.875
2024-03-20 17:59:30,0.980,0.875
2024-03-20 17:59:45,0.980,0.875
2024-03-20 18:00:00,0.980,0.875
2024-03-20 18:00:15,0.980,0.875
2024-03-20 18:00:30,0.980,0.867
2024-03-20 18:00:45,0.980,0.867
2024-03-20 18:01:00,0.980,0.867
2024-03-20 18:01:15,0.980,0.867
2024-03-20 18:01:30,0.980,0.867
2024-03-20 18:01:45,0.980,0.867
2024-03-20 18:02:00,0.980,0.867
